institute,city,url
20 August 1955 University of Skikda,Skikda,http://www.univ-skikda.dz
8 May 1945 University of Guelma,Guelma,http://www.univ-guelma.dz
Abbès Laghrour University of Khenchela,Khenchela,http://www.univ-khenchela.dz
Abdelhafid Boussouf University Centre of Mila,Mila,http://www.centre-univ-mila.dz
Abdelhamid Ibn Badis University of Mostaganem,Mostaganem,http://www.univ-mosta.dz
Abdelhamid Mehri University of Constantine 2,Constantine,http://www.univ-constantine2.dz
Abdellah Arbaoui National School of Hydraulic Engineering,Blida,http://www.ensh.dz
Abderahmane Mira University of Béjaïa,Béjaïa,http://www.univ-bejaia.dz
Abou Elkacem Saâdallah University of Algiers 2,Alger,http://www.univ-alger2.dz
Advanced School of Commerce,Kolea,http://www.esc-alger.dz
Ahmed Ben Bella University of Oran 1,Oran,http://www.univ-oran.dz
Ahmed Ben Yahia El Wancharissi University Centre of Tissemsilt,Tissemsilt,http://www.cuniv-tissemsilt.dz
Ahmed Draya University of Adrar,Adrar,http://www.univ-adrar.dz
Ahmed Zabana University Centre of Rélizane,Bormadia,http://www.cu-relizane.dz
Akli Mohand Oulhad University of Bouira,Bouira,http://www.univ-bouira.dz
Algerian Business School,Alger,http://www.esaa.dz
Algerian Petroleum Institute,Boumerdès,http://www.iap.dz
Amar Telidji University of Laghouat,Laghouat,http://www.lagh-univ.dz
Amine Elokkal El Hadj Moussa Egakhamouk University Centre of Tamanrasset,Tamanrasset,http://www.cu-tamanrasset.dz
Assia Djebar Teacher Training School of Constantine,Constantine,http://www.ensc.dz
Badji Mokhtar University of Annaba,Annaba,http://www.univ-annaba.dz
Belhadj Bouchaib University Centre of Ain Témouchent,Aïn Témouchent,http://www.cuniv-aintemouchent.dz
Benyoucef Benkhedda University of Algiers 1,Alger,http://www.univ-alger.dz
Chadli Bendjedid University of El Tarf,El Tarf,http://univ-eltarf.dz
"Chadli Bendjedid University of El Tarf
Mohamed Boudiaf University M'sila",M'sila,http://www.univ-msila.dz
Djilali Bounaama University of Khemis Miliana,Khemis Miliana,http://www.univ-km.dz
Djillali Liabes University of Sidi Bel Abbès,Sidi-Bel-Abbès,http://www.univ-sba.dz
Dr Tahar Moulay University of Saïda,Saïda,http://www.univ-saida.dz
Dr Yahia Farès University of Medea,Médéa,http://www.univ-medea.dz/fr
El Oued University,El Oued,http://www.univ-eloued.dz
Emir Abdelkader University of Islamic Sciences,Constantine,http://www.univ-emir.dz
Ferhat Abbas University of Sétif 1,Sétif,http://www.univ-setif.dz
