institute,city,url
Agostinho Neto University,Luanda,http://www.agostinhoneto.co.ao
Atlantis Polytechnic Institute,Luanda,http://institutosuperioratlantida.blogspot.fr
Belas University,Luanda,Webpage-Not-Found
Catholic University of Angola,Luanda,https://www.ucan.persistec.com
Gregorio Semedo Polytechnic Institute,Lubango,http://www.igs.ed.ao
Gregório Semedo University,Luanda,http://www.ugs.ed.ao
Higher Institute of Social Sciences and International Relations,Luanda,http://www.cis-edu.org
Higher Technical Institute of Angola,Luanda,http://www.ista-angola.com
Independent Polytechnic Institute,Lubango,http://ispi.ed.ao
Independent University of Angola,Luanda,http://www.unia.ao
Institute of Administrative Sciences and Humanities,Belas,http://iscah-angola.com
Institute of Angola,Luanda,https://is-angola.com
Institute of Educational Sciences,Luanda,http://isced.ed.ao
Institute of Educational Sciences of Huambo,Huambo,http://www.isced-hbo.ed.ao
Institute of Educational Sciences of Huila,Huíla,Webpage-Not-Found
Institute of Educational Sciences of Uíge,Uíge,http://isced-uige.co.ao
Institute of Social Services,Luanda,http://isss.co.ao
Jean Piaget University of Angola,Luanda,http://www.unipiaget-angola.org
Kalandula Polytechnic Institute,Luanda,Webpage-Not-Found
Katangoji Polytechnic Institute,Luanda,http://www.ispk.co.ao
Katyavala Bwila University,Benguela,www.ukb.ed.ao
Kimpa Vita University,Uíge,http://www.unikivi.com
Kwanza Norte Pedagogical School,Ndalatando,http://espkn.net
Lueji A'Nkonde University,Dundo,http://www.ulan.ed.ao
Lusiada University of Angola,Luanda,http://portal.ulangola.ed.ao
Mandume ya Ndemufayo University,Lubango,https://www.umn.ed.ao
Methodist University of Angola,Luanda,http://www.uma.co.ao/UMA
Metropolitan Polytechnic Institute of Angola,Luanda,http://www.imetroangola.com
November 11 University,Cabinda,http://www.uon.ed.ao
Oscar Ribas University,Luanda,http://www.uor.ed.ao
Pedagogical School,Bengo,Webpage-Not-Found
Pedagogical School of Bié,Bié,Webpage-Not-Found
Polytechnic Institute of Benguela,Benguela,http://www.ispbenguela.com
Polytechnic Institute of Cazenga,Luanda,http://www.ispoca.com
Polytechnic Institute of Kangonjo,Luanda,http://iska.co.ao
Polytechnic Institute of Kwanza Sul,Sumbe,Webpage-Not-Found
Polytechnic Institute of Malanje,Malanje,http://ispmalanje.ed.ao
Polytechnic Institute of Technologies and Sciences,Talatona,http://www.isptec.co.ao
Polytechnic School of Malanje,Malanje,http://espmalanje.net
Private University of Angola,Luanda,http://www.upra.ao
Technical University of Angola,Luanda,http://www.utanga.co.ao
Tundavala Polytechnic Institute,Lubango,www.isptundavala.ed.ao
University of José Eduardo dos Santos,Huambo,www.ujes-ao.org
Youth of Dawn Polytechnic Institute,Luanda Sul,http://www.ispaj.net
