institute,city,url
University of Salvador,Buenos Aires,https://www.usal.edu.ar
Argentine Business University,Buenos Aires,https://www.uade.edu.ar
Argentine School of Business - University Institute,Buenos Aires,https://www.ean.edu.ar
Arturo Jauretche National University,Florencia Valera,https://www.unaj.edu.ar
Atlántida Argentina University,Mar de Ajó,https://atlantida.edu.ar
Austral University,Buenos Aires,https://www.austral.edu.ar
Autonomous University of Entre Ríos,Paraná,http://www.uader.edu.ar
Blas Pascal University,Córdoba,https://www.ubp.edu.ar
Buenos Aires Institute of Technology,Buenos Aires,https://www.itba.edu.ar
Business University of the Twenty-First Century,Nueva Córdoba,https://21.edu.ar
CAECE University,Buenos Aires,https://www.ucaece.edu.ar
Catholic University of Argentina,Buenos Aires,http://www.uca.edu.ar
Catholic University of Córdoba,Córdoba,https://www.ucc.edu.ar
Catholic University of Cuyo,Rivadavia,http://www.uccuyo.edu.ar
Catholic University of La Plata,La Plata,https://www.ucalp.edu.ar
Catholic University of Las Misiones,Misiones,https://www.ucami.edu.ar
Catholic University of Salta,Campo Castañares,https://www.ucasal.edu.ar
Catholic University of Santa Fe,Santa Fé,https://www.ucsf.edu.ar
Catholic University of Santiago del Estero,Santiago del Estero,http://www.ucse.edu.ar
"Catholic University of Santiago del Estero
Buenos Aires Academic Department",Olivos,http://www.ucse.edu.ar/notiucse/?cat=21
"Catholic University of Santiago del Estero
Rafaela Academic Department",Rafaela,http://www.ucse.edu.ar/rafaela
"Catholic University of Santiago del Estero
San Salvador de Jujuy Academic Department",San Salvador de Jujuy,http://www.ucse.edu.ar/san-salvador-de-jujuy
CEMA University,Buenos Aires,https://ucema.edu.ar
CEMIC University Institute,Buenos Aires,https://www.cemic.edu.ar
Champagnat University,Godoy Cruz,https://uch.edu.ar
Del Plata Adventist University,Libertador San Martín,https://uap.edu.ar
Dr Placido Marin University of San Isidro,Beccar,https://usi.edu.ar
FASTA University,Mar del Plata,https://www.ufasta.edu.ar
Favaloro University,Buenos Aires,https://www.favaloro.edu.ar
Gastón Dachary University,Posadas,https://www.ugd.edu.ar
Gran Rosario University,Rosario,https://ugr.edu.ar
Interamerican Open University,Buenos Aires,https://uai.edu.ar
ISALUD University,Buenos Aires,https://www.isalud.edu.ar
Italian University Institute of Rosario,Rosario,https://www.iunir.edu.ar
John F. Kennedy Argentine University,Buenos Aires,https://www.kennedy.edu.ar
Juan Agustín Maza University,Guaymallén,https://www.umaza.edu.ar
Latin American Faculty of Social Sciences,Buenos Aires,https://www.flacso.org.ar
Maimónides University,Buenos Aires,https://www.maimonides.edu
Metropolitan University for Education and Labour,Buenos Aires,https://umetonline.com
National Defense University,Buenos Aires,https://www.undef.edu.ar
National Pedagogical University,Buenos Aires,https://unipe.edu.ar
National Technical University,Buenos Aires,https://www.utn.edu.ar
National University Institute of Human Rights Mothers of the Plaza de Mayo,Buenos Aires,http://www.iunma.edu.ar
National University of Alto Uruguay,San Vicente,https://www.unau.edu.ar
National University of Avellaneda,Buenos Aires,https://undav.edu.ar
National University of Catamarca,San Fernando del Valle de Catamarca,https://www.unca.edu.ar
National University of Chaco Austral,Sáenz Peña,https://uncaus.edu.ar
National University of Chilecito,Chilecito,https://www.undec.edu.ar
National University of Comahue,Neuquén,https://www.uncoma.edu.ar
"National University of Comahue
Zapala Branch",Zapala,https://auzaweb.uncoma.edu.ar
"National University of Comahue
Bariloche Regional University Centre",San Carlos de Bariloche,https://app.crub.uncoma.edu.ar
"National University of Comahue
Atlantic Area Regional University Centre",Viedma,https://web.curza.uncoma.edu.ar
National University of Córdoba,Córdoba,https://www.unc.edu.ar
National University of Cuyo,Mendoza,https://www.uncuyo.edu.ar
National University of Entre Ríos,Concepción del Uruguay,https://www.uner.edu.ar
National University of Formosa,Formosa,http://www.unf.edu.ar
National University of General Sarmiento,Los Polvorines,https://www.ungs.edu.ar
National University of Hurlingham,Buenos Aires,http://www.unahur.edu.ar
National University of José Clemente Paz,Buenos Aires,https://www.unpaz.edu.ar
National University of Jujuy,San Salvador de Jujuy,https://unju.edu.ar
National University of La Matanza,San Justo,https://www.unlam.edu.ar
National University of La Pampa,Santa Rosa,http://www.unlpam.edu.ar
National University of La Plata,La Plata,https://unlp.edu.ar
National University of La Rioja,La Rioja,https://www.unlar.edu.ar
National University of Lanús,Lanús,http://www.unla.edu.ar
National University of Lomas de Zamora,Buenos Aires,https://www.unlz.edu.ar
National University of Luján,Luján,http://www.unlu.edu.ar
National University of Mar del Plata,Mar del Plata,https://www.mdp.edu.ar
