institute,city,url
Yerevan State Medical University after Mkhitar Heratsi,Yerevan,https://www.ysmu.am
Yerevan State University,Yerevan,https://www.ysu.am
'Vanadzor State University after Hovhannes Tumanyan' Foundation,Vanadzor,https://www.vsu.am
American University of Armenia,Yerevan,http://www.aua.am
Anania Shirakatsi University of International Relations,Yerevan,http://shirakatsi.org
Armenian Medical Institute,Yerevan,http://www.armedin.am/en
Armenian National Agricultural University,Yerevan,http://www.anau.am
"Armenian National Agricultural University
Sisian Branch",Sisian,https://anau.am/education/educational-branches/sisian-branch
"Armenian National Agricultural University
Vanadzor Branch",Vanadzor,https://anau.am/en/education/educational-branches/vanadzor-branch
Armenian State Institute of Physical Culture and Sport,Yerevan,http://sportedu.am/index.php?lng=en
Armenian State Pedagogical University After Khachatur Abovyan,Yerevan,https://aspu.am
Armenian State University of Economics,Yerevan,http://www.asue.am
"Armenian State University of Economics
Gyumri Branch",Gyumri,http://asuegb.am
"Armenian State University of Economics
Yeghegnadzor Branch",Yeghegnadzor,Webpage-Not-Found
Armenian-Russian International University Mkhitar Gosh,Yerevan,http://mkhitargosh.am
Azpat-Veteran Yerevan Institute of Forensic Examination and Psychology,Yerevan,http://datporc.com
Crisis Management State Academy of the Republic of Armenia,Yerevan,http://cmsa.am
Eurasia International University,Yerevan,http://www.eiu.am
European University,Yerevan,https://eua.am
Financial Academy,Yerevan,http://www.finacademy.am
French University in Armenia,Yerevan,http://www.ufar.am
Gavar State University,Gavar,http://gsu.am
Goris State University,Goris,http://www.gorsu.am
Humanitarian Institute of Hrazdan,Hrazdan,http://www.hinstitute.am
International Accountancy Training Center Educational Fund,Yerevan,http://www.iatc.am
International Scientific Educational Center of the National Academy of Sciences of Republic of Armenia,Yerevan,http://www.isec.am
Komitas State Conservatory of Yerevan,Yerevan,http://www.conservatory.am
"Komitas State Conservatory of Yerevan
Gyumri Branch",Gyumri,Webpage-Not-Found
M. Nalbandyan State University of Shirak Foundation,Gyumri,http://shsu.am
Medical University after Saint Tereza,Yerevan,http://must.am
National Polytechnic University of Armenia,Yerevan,http://polytech.am
"National Polytechnic University of Armenia
Gyumri Branch",Gyumri,http://npuagb.am
"National Polytechnic University of Armenia
Kapan Branch",Kapan,http://www.haphkapan.com
"National Polytechnic University of Armenia
Vanadzor Branch",Vanadzor,http://polytechvan.am
National University of Architecture and Construction of Armenia,Yerevan,http://nuaca.am
Northern University,Yerevan,https://www.northern.am
Pedagogical Institute of Vardenis named after V. Hambardzumyan,Vardenis,Webpage-Not-Found
Not-Found,Not-found,Webpage-Not-Found
Public Administration Academy of the Republic of Armenia,Yerevan,http://paara.am
Russian-Armenian (Slavonic) University,Yerevan,https://www.rau.am/eng
State Academy of Fine Arts of Armenia,Yerevan,http://www.safa.am
"State Academy of Fine Arts of Armenia
Dilijan Branch",Dilijan,Webpage-Not-Found
"State Academy of Fine Arts of Armenia
Gyumri Branch of Academy of Fine Arts of Armenia",Gyumri,http://hgpa-gyumri.blogspot.com
University after Movses Khorenatsi,Yerevan,https://mkhu.am
University of Culture,Yerevan,http://education.am/culture.htm
University of Economy and Law after Avetik Mkrtchyan,Yerevan,http://mtih.am
University of International Economic Relations,Yerevan,http://uier-edu.am
University of Traditional Medicine,Yerevan,http://utm.am
Urartu University of Practical Psychology and Sociology,Yerevan,http://www.urartuuniversity.com
Yerevan Agricultural University,Yerevan,http://www.yau.am
Yerevan Galik University,Yerevan,http://galick.do.am
Yerevan Gladzor University,Yerevan,http://www.gladzor.am
Yerevan Haybusak University,Yerevan,http://www.academedu.org
Yerevan Mesrop Mashtots University,Yerevan,http://mashtotsuniversity.am
Yerevan State Institute of Theatre and Cinema,Yerevan,http://www.ysitc.am
"Yerevan State University
Ijevan Branch",Ijevan,http://ijevan.ysu.am
Yerevan State University of Languages and Social Sciences after V. Brusov,Yerevan,http://www.brusov.am/index.php
Yerevan University of Management,Yerevan,Webpage-Not-Found
