institute,city,url
Box Hill Institute,Box Hill,https://www.boxhill.edu.au
Monash University,Melbourne,https://www.monash.edu
Murdoch University,Murdoch,https://www.murdoch.edu.au
Western Sydney University,Penrith,https://www.westernsydney.edu.au
Adelaide Central School of Art,Fullarton,http://www.acsa.sa.edu.au
Alphacrucis College,Parramatta,http://ac.edu.au
Asia Pacific International College,Chippendale,http://www.apicollege.edu.au
Australian Academy of Music and Performing Arts,Surry Hills,http://www.ampa.edu.au
Australian Catholic University,North Sydney,http://www.acu.edu.au
Australian College of Applied Psychology,Sydney,http://www.acap.edu.au
Australian College of Nursing,Burwood,http://www.acn.edu.au
"Australian Film, Television, and Radio School",Sydney,http://www.aftrs.edu.au
Australian Institute for Relationship Studies,Macquarie Park,http://www.nsw.relationships.com.au
Australian Institute of Business,Adelaide,http://www.aib.edu.au
Australian Institute of Management - AIM Business School,Sydney,http://www.aim.com.au/business-school
Australian Institute of Police Management,Manley,http://www.aipm.gov.au
Avondale College of Higher Education,Cooranbong,http://www.avondale.edu.au
Batchelor Institute of Indigenous Tertiary Education,Batchelor,http://www.batchelor.edu.au
Blue Mountains International Hotel Management School,Sydney,http://www.bluemountains.edu.au/
Bond University,Robina,http://www.bond.edu.au
Carnegie Mellon University Australia,Adelaide,http://www.australia.cmu.edu/
Central Queensland University,Rockhampton,http://www.cqu.edu.au
Charles Darwin University,Darwin,http://www.cdu.edu.au
Charles Sturt University,Bathurst,http://www.csu.edu.au
Chisholm Institute,Dandenong,https://www.chisholm.edu.au
Christian Heritage College,Mansfield BC,http://www.chc.edu.au/
Curtin University,Perth,http://www.curtin.edu.au
Deakin University,Geelong,http://www.deakin.edu.au
Edith Cowan University,Joondalup,http://www.ecu.edu.au
Elite Education Institute,Sydney,https://www.ee.edu.au
Federation University Australia,Ballarat,http://federation.edu.au
Flinders University,Adelaide,http://www.flinders.edu.au
Griffith University,Southport,http://www.griffith.edu.au
Health Education and Training Institute,Gladesville,http://www.nswiop.nsw.edu.au
Holmes Institute,Melbourne,http://www.holmes.edu.au/
Holmesglen Institute,Holmesglen,http://www.holmesglen.edu.au/
Institute of Chartered Accountants in Australia,Sydney,http://www.charteredaccountants.com.au
International College of Management Sydney,Sydney,http://www.icms.edu.au
James Cook University,Townsville,http://www.jcu.edu.au
Kaplan Business School,Sydney,http://www.kbs.edu.au/
King's Own Institute,Sydney,http://koi.edu.au
La Trobe University,Melbourne,http://www.latrobe.edu.au
Le Cordon Bleu Australia,Regency Park,http://www.lecordonbleu.com.au/
Leo Cussen Centre For Law,Melbourne,http://www.leocussen.vic.edu.au/
Macquarie University,Sydney,http://www.mq.edu.au
Marcus Oldham College,Geelong,http://www.marcusoldham.vic.edu.au
Mayfield Education,Hawthorn,http://www.mayfield.edu.au/
Melbourne Institute of Technology,Melbourne,http://www.mit.edu.au/
Melbourne Polytechnic,Preston,https://www.melbournepolytechnic.edu.au
MIECAT - Melbourne Institute for Experiential and Creative Arts Therapy,Fitzroy,http://www.miecat.org.au/
"Montessori World Educational Institute, Australia",Ellenbrook,http://www.mwei.edu.au/
Nan Tien Institute,Berkeley,http://www.nantien.edu.au/
National Art School,Darlinghurst,http://www.nas.edu.au/
National Institute of Dramatic Art,Kensington,http://www.nida.edu.au/
Ozford Institute of Higher Education,Melbourne,https://ozford.edu.au
Queensland University of Technology,Brisbane,http://www.qut.edu.au
Raffles College of Design and Commerce,Syndey,http://www.raffles.edu.au/
RMIT University,Melbourne,http://www.rmit.edu.au
Southern Cross University,Lismore,http://www.scu.edu.au
SP Jain School of Global Management,Sydney,http://www.spjain.org/
Swinburne University of Technology,Hawthorn,https://www.swinburne.edu.au
Sydney College of Divinity,North Ryde,http://scd.edu.au/
TAFE NSW Higher Education,Sydney,http://www.highered.tafensw.edu.au/
The Australian College of Physical Education,Sydney Olympic Park,http://www.acpe.edu.au/
The Australian Institute of Music,Surry Hills,http://www.aim.edu.au/
The Australian National University,Canberra,http://www.anu.edu.au
The Cairnmillar Institute School of Psychology Counselling and Psychotherapy,Camberwell,http://www.cairnmillar.edu.au/
The College of Law,St Leonards,http://www.collaw.edu.au/
The Institute of Internal Auditors in Australia,Sydney,http://www.iia.org.au/
The University of Adelaide,Adelaide,http://www.adelaide.edu.au
The University of Newcastle,Callaghan,http://www.newcastle.edu.au
The University of Notre Dame Australia,Fremantle,http://www.nd.edu.au
The University of Queensland,Brisbane,http://www.uq.edu.au
The University of Sydney,Sydney,http://www.usyd.edu.au
The University of Western Australia,Crawley,http://www.uwa.edu.au
Think: Colleges,North Sydney,http://www.think.edu.au/
Top Education Institute,Eveleigh,http://www.top.edu.au/
Torrens University Australia,Adelaide,http://www.tua.edu.au/
Universal Business School,Sydney,http://www.ubss.edu.au
University of Canberra,Canberra,http://www.canberra.edu.au
University of Divinity,Kew,http://www.divinity.edu.au
University of Melbourne,Melbourne,http://www.unimelb.edu.au
University of New England,Armidale,https://www.une.edu.au
University of New South Wales,Kensington,http://www.unsw.edu.au
University of South Australia,Adelaide,http://www.unisa.edu.au
University of Southern Queensland,Toowoomba,http://www.usq.edu.au
University of Tasmania,Hobart,http://www.utas.edu.au
"University of Technology, Sydney",Ultimo,http://www.uts.edu.au
University of the Sunshine Coast,Maroochydore DC,http://www.usc.edu.au
University of Wollongong,Wollongong,https://www.uow.edu.au
Victoria University,Melbourne,http://www.vu.edu.au
Victorian Institute of Technology,Melbourne,https://www.vit.edu.au
Wesley Institute,Drummoyne,http://www.wi.edu.au
Whitehouse Institute of Design,Surry Hills,http://whitehouse-design.edu.au
