institute,city,url
Central European University,Wien,https://www.ceu.edu
MCI - The Entrepreneurial School,Innsbruck,https://www.mci.edu
Paris Lodron University of Salzburg,Salzburg,https://www.plus.ac.at
University of Graz,Graz,https://www.uni-graz.at
Vienna University of Economics and Business,Wien,https://www.wu.ac.at
Academy of Fine Arts Vienna,Wien,http://www.akbild.ac.at
Anton Bruckner Private University,Linz,http://www.bruckneruni.at
Campus 02 University of Applied Sciences,Graz,http://www.campus02.at
Carinthia University of Applied Sciences,Spittal an der Drau,http://www.fh-kaernten.at
Carinthian University of Education - Viktor Frankl University,Klagenfurt,https://www.ph-kaernten.ac.at
Catholic Private Theological University of Linz,Linz,http://www.ktu-linz.ac.at
Danube Private University,Krems-Stein,http://www.danube-private-university.at
Danube University Krems,Krems,http://www.donau-uni.ac.at
Ecclesiastical Pedagogical University Edith Stein,Innsbruck,https://www.kph-es.at
Ferdinand Porsche Fern FH,Wiener Neustadt,http://www.fernfh.ac.at
Graz University of Technology,Graz,http://www.tugraz.at
IMC University of Applied Sciences of Krems,Krems,http://www.fh-krems.ac.at
International Anti-Corruption Academy,Laxenburg,https://www.iaca.int
JAM MUSIC LAB Private University for Jazz and Popular Music Vienna,Vienna,https://www.jammusiclab.com
Johannes Kepler University Linz,Linz,http://www.jku.at
Karl Landsteiner Private University of Health Sciences,Krems,http://www.kl.ac.at
"Lauder Business School, University of Applied Sciences",Wien,http://www.lbs.ac.at
Medical University of Graz,Graz,http://www.meduni-graz.at
Medical University of Innsbruck,Innsbruck,http://www.i-med.ac.at
Medical University of Vienna,Wien,http://www.meduniwien.ac.at
MODUL University Vienna,Wien,https://www.modul.ac.at
Montan University Leoben,Leoben,http://www.unileoben.ac.at
Mozarteum University Salzburg,Salzburg,http://www.moz.ac.at
Music and Arts University of the City of Vienna,Wien,https://www.muk.ac.at
New Design University,St. Pölten,http://www.ndu.ac.at
Paracelsus Private Medical University,Salzburg,http://www.pmu.ac.at
Pedagogical University Tyrol,Innsbruck,https://www.ph-tirol.ac.at
Private University College of Teacher Education Diocese Graz-Seckau,Graz,https://www.kphgraz.augustinum.at
"Private University for Health Sciences, Medical Informatics and Technology GmbH",Hall,http://www.umit.at
Private University Schloss Seeburg,Seekirchen am Wallersee,http://www.uni-seeburg.at
"Private Univesity of Education, Diocese of Linz",Linz,https://www.phdl.at
Saint Pölten University of Applied Sciences,St. Pölten,https://www.fhstp.ac.at
Salzburg University of Applied Sciences,Puch,https://www.fh-salzburg.ac.at
Sigmund Freud University,Wien,http://sfu.ac.at
TU Wien,Wien,https://www.tuwien.at
Universität Innsbruck,Innsbruck,http://www.uibk.ac.at
University College of Teacher Education Vienna,Vienna,https://www.phwien.ac.at
University College of Teacher Education Vienna-Krems,Vienna,https://www.kphvie.ac.at
University of Agricultural and Environmental Education,Vienna,https://www.haup.ac.at
University of Applied Arts Vienna,Wien,http://www.dieangewandte.at
University of Applied Sciences BFI Vienna,Wien,http://www.fh-vie.ac.at
University of Applied Sciences Burgenland,Eisenstadt,http://www.fh-burgenland.at
University of Applied Sciences Campus Vienna,Wien,http://www.fh-campuswien.ac.at
University of Applied Sciences for Health - Tyrol,Innsbruck,https://www.fhg-tirol.ac.at
University of Applied Sciences for Health Professions - Upper Austria,Linz,http://www.fh-gesundheitsberufe.at
University of Applied Sciences for Management and Communication Vienna,Wien,http://www.fh-wien.ac.at
University of Applied Sciences Kufstein Tirol Bildungs GmbH,Kufstein,http://www.fh-kufstein.ac.at
University of Applied Sciences of Joanneum,Graz,http://www.fh-joanneum.at
University of Applied Sciences of Vorarlberg,Dornbirn,http://www.fhv.at
University of Applied Sciences Technikum Wien,Wien,http://www.technikum-wien.at
University of Applied Sciences Upper Austria,Wels,http://www.fh-ooe.at
University of Applied Sciences Wiener Neustadt,Wiener Neustadt,http://www.fhwn.ac.at
University of Art and Industrial Design Linz,Linz,http://www.ufg.ac.at
University of College Teacher Education Burgenland,Eisenstadt,https://www.ph-burgenland.at
University of Education Lower Austria,Baden,https://www.ph-noe.ac.at
University of Education Salzburg Stefan Zweig,Salzburg,https://www.phsalzburg.at
University of Klagenfurt,Klagenfurt am Wörthersee,http://www.aau.at
University of Music and Performing Arts Graz,Graz,http://www.kug.ac.at
University of Music and Performing Arts Vienna,Wien,http://www.mdw.ac.at
"University of Natural Resources and Life Sciences, Vienna",Wien,http://www.boku.ac.at
University of Teacher Education Styria,Graz,https://www.phst.at
University of Teacher Education Upper Austria,Linz,https://ph-ooe.at
"University of Veterinary Medicine, Vienna",Wien,http://www.vetmeduni.ac.at
University of Vienna,Wien,http://www.univie.ac.at
Vorarlberg University of Education,Feldkirch,https://www.ph-vorarlberg.ac.at
Webster Vienna Private University,Wien,http://www.webster.ac.at
