institute,city,url
Mingachevir State University,Mingachevir,https://mdu.edu.az
Western Caspian University,Baku,https://wcu.edu.az
Academy of State Customs Committee of Republic of Azerbaijan,Baku,http://ascca.gov.az
ADA University,Baku,http://www.ada.edu.az
Azerbaijan Academy of Labour and Social Relations,Baku,https://aesma.edu.az
Azerbaijan Cooperation University,Baku,http://aku.edu.az
Azerbaijan Institute of Theology,Baku,https://ait.edu.az
Azerbaijan Medical University,Baku,http://www.amu.edu.az
Azerbaijan National Conservatory,Baku,http://conservatory.edu.az
Azerbaijan State Academy of Fine Arts,Baku,http://azra.edu.az
Azerbaijan State Academy of Physical Education and Sport,Baku,http://sport.edu.az
Azerbaijan State Agrarian University,Gandja,http://adau.edu.az
Azerbaijan State Marine Academy,Baku,http://adda.edu.az
Azerbaijan State Oil and Industry University,Baku,http://asoiu.edu.az
Azerbaijan State Pedagogical University,Baku,https://www.adpu.edu.az/en
Azerbaijan State University of Culture and Arts,Baku,http://www.admiu.edu.az
Azerbaijan State University of Economics,Baku,http://unec.edu.az
Azerbaijan Technical University,Baku,www.aztu.edu.az
Azerbaijan Tourism and Management University,Baku,http://atmu.edu.az
Azerbaijan University,Baku,http://www.au.edu.az
Azerbaijan University of Architecture and Construction,Baku,http://www.azmiu.edu.az
Azerbaijan University of Languages,Baku,http://www.adu.edu.az
Azerbaijan University of Technology,Gandja,https://uteca.edu.az
Baku Branch of I. M. Sechenov First Moscow Medical University,Baku,http://mma.edu.az
Baku branch of Moscow State University named after M.V. Lomonosov,Baku,http://www.msu.az
Baku Business University,Baku,http://www.bbu.edu.az
Baku Choreography Academy,Baku,http://www.bxa.edu.az
Baku Engineering University,Baku,http://beu.edu.az
Baku Eurasian University,Baku,http://baau.edu.az
Baku Higher Oil School,Baku,http://www.bhos.edu.az
Baku Islamic University,Baku,Webpage-Not-Found
Baku Music Academy 'Uzer Hajibejov',Baku,http://musicacademy.edu.az
Baku Slavic University,Baku,https://bsu-uni.edu.az/en
Baku State University,Baku,http://www.bsu.az
Baku Women's University,Baku,http://www.bqu.edu.az
Gandja State University,Gandja,http://gdu.edu.az
Khazar University,Baku,http://www.khazar.org
Lankaran State University,Lankaran,http://www.lsu.edu.az
Nakhchivan State University,Nakhchivan,http://www.ndu.edu.az
Nakhchivan Teachers Institute,Nakhchivan,http://www.nmi.edu.az
Nakhchivan University,Nakhchivan,http://nu.edu.az
National Aviation Academy,Baku,http://naa.az
Odlar Yurdu University,Baku,http://www.oyu.edu.az
Sumgait State University,Sumgait,http://www.sdu.edu.az
The Academy of Public Administration under the President of the Republic of Azerbaijan,Baku,http://www.dia.edu.az
