institute,city,url
Applied Science University,Manama,https://www.asu.edu.bh
Royal College of Surgeons in Ireland - Medical University of Bahrain,Busaiteen,https://www.rcsi.com/bahrain
University of Bahrain,Sakhir,https://www.uob.edu.bh
Ahlia University,Manama,https://www.ahlia.edu.bh
AMA International University - Bahrain,Salmabad,http://www.amaiu.edu.bh
Arab Open University - Bahrain Branch,A'ali,http://www.aou.org.bh
Arabian Gulf University,Manama,http://www.agu.edu.bh
Bahrain Polytechnic,Isa Town,http://www.polytechnic.bh
Gulf University,Sanad,http://www.gulfuniversity.edu.bh
Royal University for Women,West Riffa,http://www.ruw.edu.bh
Talal Abu-Ghazaleh University College of Business,Manama,http://www.tagucb.edu.bh
The Kingdom University,Riffa-Al-Hajiyat,http://www.ku.edu.bh
University College of Bahrain,Manama,http://www.ucb.edu.bh
