institute,city,url
American International University-Bangladesh,Dhaka,https://www.aiub.edu
Daffodil International University,Dhaka,https://daffodilvarsity.edu.bd
European University of Bangladesh,Dhaka,https://eub.edu.bd
"International University of Business, Agriculture and Technology",Dhaka,https://iubat.edu
Islamic University of Technology,Gazipur,http://www.iutoic-dhaka.edu
World University of Bangladesh,Dhaka,https://wub.edu.bd
Ahsanullah University of Science and Technology,Dhaka,http://www.aust.edu
ASA University Bangladesh,Dhaka,http://www.asaub.edu.bd
Asian University for Women,Chittagong,http://asian-university.org
Asian University of Bangladesh,Dhaka,http://www.aub.edu.bd
Atish Dipankar University of Science and Technology,Dhaka,http://www.adust.edu.bd
Bangabandhu Sheikh Mujibur Medical University,Dhaka,http://www.bsmmu.edu.bd
Bangabandhu Sheikh Mujibur Rahman Agricultural University,Salna,http://www.bsmrau.edu.bd
Bangabandu Sheikh Mujibur Rahman Science and Technology University,Dhaka,https://www.bsmrstu.edu.bd
Bangladesh Agricultural University,Mymensingh,http://bau.edu.bd
Bangladesh Islami University,Dhaka,http://www.biu.ac.bd
Bangladesh Open University,Gazipur,http://www.bou.edu.bd
Bangladesh University,Dhaka,http://bu.edu.bd
Bangladesh University of Business and Technology,Dhaka,http://www.bubt.edu.bd
Bangladesh University of Engineering and Technology,Dhaka,http://www.buet.ac.bd
Bangladesh University of Health Sciences,Dhaka,http://buhs.ac.bd
Bangladesh University of Professionals,Dhaka,http://www.bup.edu.bd
Bangladesh University of Textiles,Dhaka,http://www.butex.edu.bd
Begum Rokeya University,Rangpur,http://www.brur.ac.bd
Not-Found,Not-found,Webpage-Not-Found
BGMEA University of Fashion and Technology,Dhaka,http://www.buft.edu.bd
BRAC University,Dhaka,http://www.bracu.ac.bd
Britannia University,Comilla,http://www.britannia.ac
Central Women's University,Dhaka,https://www.cwu.edu.bd
Chittagong Independent University,Chittagong,http://www.ciu.edu.bd
Chittagong Medical University,Chittagong,http://cmu.edu.bd
Chittagong University of Engineering and Technology,Chittagong,http://www.cuet.ac.bd
Chittagong Veterinary and Animal Sciences University,Chittagong,http://www.cvasu.ac.bd
Not-Found,Not-found,Webpage-Not-Found
Not-Found,Not-found,Webpage-Not-Found
Not-Found,Not-found,Webpage-Not-Found
Dhaka International University,Dhaka,http://www.diu.net.bd
Dhaka University of Engineering and Technology,Gazipur,http://www.duet.ac.bd
East Delta University,Chittagong,http://www.eastdelta.edu.bd
East West University,Dhaka,http://www.ewubd.edu
Eastern University,Dhaka,http://www.easternuni.edu.bd
"Exim Bank Agricultural University, Bangladesh",Chapainawabganj,http://www.ebaub.edu.bd
Fareast International University,Dhaka,http://www.fiu.edu.bd
Feni University,Feni,http://www.feniuniversity.edu.bd
First Capital University of Bangladesh,Chuadanga,http://fcubd.net
German University Bangladesh,Gazipur Sadar,https://www.gub.edu.bd
Gono University,Dhaka,http://www.gonouniversity.edu.bd
Green University of Bangladesh,Dhaka,http://green.edu.bd
Hajee Mohammad Danesh University of Science and Technology,Dinajpur,http://www.hstu.ac.bd
Hamdard University Bangladesh,Gazaria,http://www.hamdarduniversity.edu.bd
IBAIS University,Dhaka,http://www.ibaisuniv.edu.bd
"Independent University, Bangladesh",Dhaka,http://www.iub.edu.bd
International Islamic University Chittagong,Chittagong,http://www.iiuc.ac.bd
Ishakha International University,Kishorganj,http://www.ishakha.edu.bd/site
Islamic Arabic University,Dhaka,http://iau.edu.bd
Islamic University,Kushtia,http://iu.ac.bd
Jagannath University,Dhaka,http://www.jnuni.net/index1.html
Jahangirnagar University,Dhaka,http://www.juniv.edu
Jatiya Kabi Kazi Nazrul Islam University,Dhaka,http://www.jkkniu.edu.bd
Jessore University of Science and Technology,Jessore,http://www.just.edu.bd
Khulna University,Khulna,http://www.ku.ac.bd
Khulna University of Engineering and Technology,Khulna,http://www.kuet.ac.bd
Khwaja Yunus Ali University,Sirajgonj,http://www.kyau.edu.bd
Leading University,Sylhet,http://www.lus.ac.bd
Manarat International University,Dhaka,http://www.manarat.ac.bd
Mawlana Bhashani Science and Technology University,Dhaka,http://mbstu.ac.bd
Metropolitan University,Sylhet,http://www.metrouni.edu.bd
National University,Gazipur,http://www.nu.edu.bd
Noakhali Science and Technology University,Sonapur,http://nstu.edu.bd
North Bengal International University,Rajshahi,http://www.nbiu.edu.bd
North East University Bangladesh,Sylhet,http://www.neub.edu.bd
North South University,Dhaka,http://www.northsouth.edu
North Western University,Khulna,http://nwu.edu.bd
Northern University Bangladesh,Dhaka,http://www.nub.ac.bd
Notre Dame University Bangladesh,Dhaka,http://www.ndub.edu.bd
Pabna University of Science and Technology,Pabna,http://www.pust.ac.bd
Patuakhali Science and Technology University,Patuakali,http://pstu.ac.bd
Port City International University,Chittagong,http://www.portcity.edu.bd
Premier University,Chittagong,http://www.puc.ac.bd
Presidency University,Dhaka,http://www.presidency.edu.bd
Prime University,Dhaka,http://primeuniversity.edu.bd
Primeasia University,Dhaka,http://www.primeasia.edu.bd
Pundra University of Science and Technology,Gokul,http://pundrouniversity.edu.bd
Queens University,Dhaka,http://www.queensuniversity.edu.bd
Rajshahi Medical University,Rajshahi,https://www.rmu.edu.bd
Rajshahi Science and Technology University,Natore,http://www.rstu.edu.bd
Rajshahi University,Rajshahi,http://www.ru.ac.bd
Rajshahi University of Engineering and Technology,Rajshahi,http://www.ruet.ac.bd
Rangamati Science and Technology University,Rangamati,http://rmstu.edu.bd
Ranoda Prashad Shaha University,Naryanganj,http://rpsu.edu.bd
Royal University of Dhaka,Dhaka,http://www.royal.edu.bd
Shahjalal University of Science and Technology,Sylhet,http://www.sust.edu
Shanto Mariam University of Creative Technology,Dhaka,http://www.smuct.edu.bd
Sheikh Fazilatunnesa Mujib University,Jamalpur,http://sfmuniversity.org
Sher-e-Bangla Agricultural University,Dhaka,http://www.sau.edu.bd
Sonargaon University,Dhaka,http://www.su.edu.bd
Southeast University,Dhaka,http://www.seu.ac.bd
Southern University Bangladesh,Chittagong,http://www.southern.edu.bd
Stamford University Bangladesh,Dhaka,http://www.stamforduniversity.edu.bd
State University of Bangladesh,Dhaka,http://www.sub.edu.bd
Sylhet Agricultural University,Bagbari Sylhet,http://www.sylhetagrivarsity.edu.bd
Sylhet International University,Sylhet,http://siu.edu.bd
The International University of Scholars,Dhaka,https://ius.edu.bd
The Millennium University,Dhaka,http://www.themillenniumuniversity.edu.bd
The People's University of Bangladesh,Dhaka,http://www.pub.ac.bd
The University of Asia Pacific,Dhaka,http://www.uap-bd.edu
The University of Comilla,Dhaka,https://unicedu.ac.bd
Times University Bangladesh,Faridpur,http://www.timesuniversitybd.com
United International University,Dhaka,http://uiu.ac.bd
University of Barisal,Barisal,http://www.barisaluniv.edu.bd
University of Chittagong,Chittagong,http://www.cu.ac.bd
University of Creative Technology Chittagong,Chittagong,https://www.uctc.edu.bd
University of Development Alternative,Dhaka,http://www.uoda.edu.bd
University of Dhaka,Dhaka,https://www.du.ac.bd
University of Information Technology and Sciences,Dhaka,http://www.uits.edu.bd
University of Liberal Arts Bangladesh,Dhaka,http://www.ulab.edu.bd
"University of Science and Technology, Chittagong",Chittagong,http://www.ustc.ac.bd
University of South Asia,Dhaka,http://www.southasia-uni.org
Uttara University,Dhaka,https://uttarauniversity.edu.bd
Varendra University,Rajshahi,http://www.vu.edu.bd
Victoria University of Bangladesh,Dhaka,http://www.vub.edu.bd
Z.H. Zikder University of Science and Technology,Dhaka,http://www.zhsust.edu.bd
