institute,city,url
Academy of management under the President of the Republic of Belarus,Minsk,https://www.pac.by
Academy of the Ministry of Internal Affairs of the Republic of Belarus,Minsk,http://www.academy.mia.by
Baranovichi State University,Baranovichi,http://www.barsu.by
Belarus State Agrarian and Technical University,Minsk,http://www.bsatu.by/ru
Belarus State Economics University,Minsk,http://www.bseu.by
Belarusian National Technical University,Minsk,https://bntu.by
Belarusian State Academy of Arts,Minsk,http://bdam.by
Belarusian State Academy of Aviation,Minsk,https://bgaa.by
Belarusian State Academy of Communications,Minsk,http://bsac.by
Belarusian State Academy of Music,Minsk,https://www.bgam.by
Belarusian State Agricultural Academy,Gorki,http://www.baa.by
Belarusian State Medical University,Minsk,http://www.bsmu.by
Belarusian State Pedagogical University Named After Maxim Tank,Minsk,https://bspu.by/
Belarusian State Technological University,Minsk,https://by.belstu.by
Belarusian State University,Minsk,http://www.bsu.by
Belarusian State University of Culture and Arts,Minsk,http://www.buk.by
Belarusian State University of Informatics and Radioelectronics,Minsk,http://www.bsuir.by
Belarusian State University of Physical Culture,Minsk,http://www.sportedu.by
Belarusian State University of Transport,Gomel,https://www.bsut.by/by
Belarusian Trade and Economics University of Consumer Cooperatives,Gomel,http://www.i-bteu.by
Belarusian-Russian University,Mogilev,http://www.bru.by
BIP Institute of Law,Minsk,http://bip-ip.by
Brest State Technical University,Brest,http://www.bstu.by
Brest State University named after A.S. Pushkin,Brest,http://www.brsu.by
Gomel State Medical University,Gomel,http://www.gsmu.by
Gomel State University named after Francisk Skorina,Gomel,http://www.gsu.by
Grodno State Agrarian University,Grodno,http://www.ggau.by
Grodno State Medical University,Grodno,http://www.grsmu.by/
International State Environmental Institute named after A.D. Sakharova,Minsk,http://www.iseu.by
"International University ""MITSO""",Minsk,https://mitso.by
Minsk Innovation University,Minsk,http://www.miu.by
Minsk State Linguistics University,Minsk,http://www.mslu.by
Mogilev State University named after A.A. Kuleshov,Mogilev,https://www.msu.by
Mogilev State University of Food Technologies,Mogilev,http://www.mgup.mogilev.by
Mozyr State Pedagogical University named after I.P. Shamyakin,Mozyr,http://www.mspu.by
Polessky State University,Pinsk,http://www.psunbrb.by
Polotsk State University,Novopolotsk,http://www.psu.by
Private Institute of Management and Business,Minsk,https://www.imb.by/new/index.htm
Sukhoi State Technical University of Gomel,Gomel,https://www.gstu.by
Vitebsk State Academy of Veterinary Medicine,Vitebsk,http://www.vsavm.com
Vitebsk State Medical University,Vitebsk,http://www.vsmu.by
Vitebsk State Technological University,Vitebsk,http://vstu.by
Vitebsk State University named after P.M. Masherov,Vitebsk,http://www.vsu.by
Yanka Kupala State University of Grodno,Grodno,http://www.grsu.by
