institute,city,url
Ghent University,Ghent,https://www.ugent.be
Antwerp Management School,Antwerp,https://www.antwerpmanagementschool.be
Antwerp Maritime Academy,Antwerpen,http://www.hzs.be
Artesis Plantijn University College Antwerp,Antwerpen,https://www.ap.be/english
College of Europe,Brugge,http://www.coleurope.eu
Erasmus Brussels University of Applied Sciences and Arts,Brussels,http://www.ehb.be
Hasselt University,Hasselt,http://www.uhasselt.be
Hogeschool Gent,Ghent,http://www.hogent.be
Hogeschool PXL,Hasselt,http://www.pxl.be
Hogeschool West-Vlaanderen,Kortrijk,http://www.howest.be
Karel de Grote University of Applied Sciences and Arts,Antwerpen,http://www.kdg.be
Katholieke Universiteit Leuven,Leuven,http://www.kuleuven.ac.be
LUCA School of Arts,Brussels,https://www.luca-arts.be/nl
Odisee University of Applied Sciences,Brussels,http://www.odisee.be
Prince Leopold Institute of Tropical Medicine,Antwerpen,http://www.itg.be
Thomas More University of Applied Sciences,Geel,http://www.thomasmore.be
UC Leuven-Limburg,Leuven,https://www.ucll.be
University of Antwerp,Antwerp,https://www.uantwerpen.be/nl
Vesalius College,Brussels,http://www.vesalius.edu
VIVES University of Applied Sciences,Kortrijk,https://www.vives.be/nl
Vlerick Business School,Ghent,http://www.vlerick.com
Vrije Universiteit Brussel,Brussels,http://www.vub.ac.be
