institute,city,url
Université catholique de Louvain,Louvain-la-Neuve,https://uclouvain.be
Université libre de Bruxelles,Bruxelles,https://www.ulb.be
University of Liège,Liège,https://www.uliege.be
University of Mons,Mons,https://web.umons.ac.be
Académie des Beaux-Arts de Tournai - Ecole supérieure des Arts de Tournai,Tournai,http://www.actournai.be
Académie royale des Beaux-Arts de Bruxelles - Ecole supérieure des Arts,Brussels,https://arba-esa.be
ARTS² - Academy of Arts,Mons,https://www.artsaucarre.be
Beaux-arts de Liège - Ecole supérieure des arts,Liège,https://beauxartsdeliege.be
Conservatoire royal de Bruxelles,Brussels,http://www.conservatoire.be
Conservatoire royal de Liège,Liège,https://www.crlg.be
Ecole nationale supérieure des Arts visuels de La Cambre,Brussels,http://www.lacambre.be
Ecole supérieure des Arts - Ecole de recherche graphique,Brussels,https://wiki.erg.be
Ecole supérieure des Arts - Saint-Luc Bruxelles,Brussels,http://www.stluc-bruxelles-esa.be
Ecole supérieure des Arts de l'image - Le 75,Brussels,https://leseptantecinq.be/fr
Ecole supérieure des Arts Saint-Luc Liège,Liège,https://www.saint-luc.be
Haute Ecole Albert Jacquard,Namur,http://www.heaj.be
Haute Ecole Bruxelles - Brabant,Brussels,https://www.he2b.be
Haute Ecole Charlemagne,Liège,https://www.hech.be
Haute Ecole Condorcet,Mons,https://www.condorcet.be
Haute Ecole de la Province de Liège,Jemeppe-sur-Meuse,https://www.hepl.be
Haute Ecole de la Province de Namur,Namur,https://hepn.be
Haute Ecole de la Ville de Liège,Liège,http://www.hel.be
Haute Ecole en Hainaut,Mons,https://www.heh.be
Haute Ecole Francisco Ferrer,Brussels,https://www.he-ferrer.eu
Haute Ecole Galilée,Brussels,http://www.galilee.be
"Haute Ecole ICHEC - ECAM - ISFSC
École centrale des Arts et Métiers",Bruxelles,https://www.ecam.be
"Haute Ecole ICHEC - ECAM - ISFSC
Institut catholique des hautes études commerciales",Bruxelles,https://www.ichec.be/fr
Haute Ecole Léonard de Vinci,Brussels,https://www.vinci.be
Haute Ecole libre de Bruxelles Ilya Prigogine,Brussels,https://www.helb-prigogine.be
Haute Ecole Libre Mosane,Liège,https://www.helmo.be
Haute Ecole Louvain en Hainaut,Mons,https://www.helha.be
Haute Ecole Lucia de Brouckère,Brussels,https://www.heldb.be
Haute Ecole Robert Schuman,Libramont,https://www.hers.be
ICHEC Brussels Management School - ECAM Business Engineering School - ISFSC,Brussels,http://www.he-ichec-isfsc.be
Institut des Arts de diffusion,Louvain-la-Neuve,https://www.iad-arts.be
Institut national supérieur des Arts du Spectacle et des Techniques de diffusion,Brussels,https://insas.be
Institut Saint-Laurent Promotion Sociale,Liège,http://www.isl.be
Institut supérieur de Musique et de Pédagogie,Namur,https://www.imep.be
University College of Namur - Liège - Luxembourg,Namur,https://www.henallux.be
University of Namur,Namur,https://www.unamur.be
