institute,city,url
Catholic University of Chile,Santiago,https://www.uc.cl
Adolfo Ibáñez University,Santiago,https://www.uai.cl
Adventist University of Chile,Chillán,https://www.unach.cl
Agricultural Training Institute Adolfo Matthei,Osorno,https://amatthei.cl
AIEP Professional Institute,Santiago,https://www.aiep.cl
Alberto Hurtado University,Santiago,https://www.uahurtado.cl
Andrés Bello University,Santiago,https://www.unab.cl
ARCOS Professional Institute,Santiago,https://www.arcos.cl
Arturo Prat University,Iquique,https://www.unap.cl
Autonomous University of Chile,Temuco,https://www.uautonoma.cl
Bernardo O'Higgins University,Santiago,https://www.ubo.cl
Catholic University of Maule,Talca,https://portal.ucm.cl
Catholic University of Temuco,Temuco,https://www.uct.cl
Catholic University of the Holy Conception,Concepción,https://www.ucsc.cl
Catholic University of the North,Antofagasta,https://www.ucn.cl
Catholic University of Valparaíso,Valparaíso,http://www.ucv.cl
Central University of Chile,Santiago,https://www.ucentral.cl
CIISA Technological Institute,Santiago,https://ciisa.cl
Diego Portales University,Santiago,https://www.udp.cl
Dr. Virginio Gómez Professional Institute,Concepción,https://www.virginiogomez.cl
Duoc UC Professional Institute,Santiago,https://www.duoc.cl
EATRI Professional Institute,Santiago,http://www.eatri.cl
Federico Santa María Technical University,Valparaíso,https://www.usm.cl
FinisTerrae University,Santiago,https://uft.cl
Guillermo Subercaseaux Institute of Banking Studies,Santiago,http://www.isubercaseaux.cl
IACC Professional Institute,Santiago,https://www.iacc.cl
INACAP Professional Institute,Santiago,https://portales.inacap.cl/sobre-nosotros/ip/index
IPG Professional Institute,Santiago,https://www.ipg.cl
Latin American Professional Institute of Foreign Trade,Santiago,https://www.iplacex.cl
Los Leones Professional Institute,Santiago,https://ipleones.cl
Mayor University,Santiago,https://www.umayor.cl
Metropolitan University of Educational Sciences,Santiago,http://www.umce.cl
Metropolitan University of Technology,Santiago,https://www.utem.cl
Playa Ancha University of Educational Sciences,Valparaíso,https://www.upla.cl
Professional Institute Modern School of Music and Dance,Santiago,https://emoderna.cl
Professional Institute of Chile,Santiago,https://www.ipchile.cl
Professional Institute School of Chartered Accountants of Santiago,Santiago,https://ecas.cl
Saint Thomas Professional Institute,Santiago,https://www.ipsantotomas.cl
San Sebastián University,Concepción,https://www.uss.cl
Santo Tomás University,Santiago,https://www.santotomas.cl
Silva Henríquez Catholic University,Santiago,http://ww3.ucsh.cl
Southern University of Chile,Valdivia,https://www.uach.cl
Technological University of Chile INACAP,Santiago,http://www.inacap.cl
University Academy of Christian Humanism,Santiago,http://www.academia.cl
University for Development,Santiago,https://www.udd.cl
University of Antofagasta,Antofagasta,http://www.uantof.cl
"University of Arts, Science and Communication",Providencia,https://www.uniacc.cl
University of Atacama,Copiapó,https://uda.cl
University of Bío Bío,Concepción,https://ubiobio.cl
University of Chile,Santiago,https://www.uchile.cl
University of Concepción,Concepción,http://www.udec.cl
University of La Serena,La Serena,http://www.userena.cl
University of Los Lagos,Osorno,https://www.ulagos.cl
University of Magallanes,Punta Arenas,http://www.umag.cl
University of Santiago de Chile,Santiago,https://www.usach.cl
University of Talca,Talca,https://www.utalca.cl
University of Tarapacá,Arica,https://www.uta.cl
University of the Americas,Santiago,https://www.udla.cl
University of the Andes,Santiago,https://www.uandes.cl
University of the Frontier,Temuco,https://www.ufro.cl
University of Valparaíso,Valparaíso,https://www.uv.cl
Viña del Mar University,Viña del Mar,https://www.uvm.cl
