institute,city,url
The Chinese University of Hong Kong,Shatin,https://www.cuhk.edu.hk
City University of Hong Kong,Kowloon,https://www.cityu.edu.hk
Hong Kong Baptist University,Kowloon Tong,http://www.hkbu.edu.hk
Hong Kong Metropolitan University,Kowloon,https://www.hkmu.edu.hk
Hong Kong Nang Yan College of Higher Education,Hong Kong,http://www.ny.edu.hk
Hong Kong Shue Yan University,Hong Kong,http://www.hksyu.edu
Lingnan University,Hong Kong,http://www.ln.edu.hk
The Hang Seng University of Hong Kong,Shatin,https://www.hsu.edu.hk
The Hong Kong Academy for Performing Arts,Hong Kong,http://www.hkapa.edu
The Hong Kong Polytechnic University,Kowloon,http://www.polyu.edu.hk
The Hong Kong University of Education,Hong Kong,https://www.eduhk.hk
The Hong Kong University of Science and Technology,Kowloon,http://www.ust.hk
The University of Hong Kong,Pok Fu Lam,http://www.hku.hk
Tung Wah College,Hong Kong,https://www.twc.edu.hk
