institute,city,url
Aletheia University,New Taipei,http://www.au.edu.tw
Asia University,Taichung,http://www.asia.edu.tw
Asia-Pacific Institute of Creativity,Toufen,http://www.apic.edu.tw
Central Taiwan University of Science and Technology,Taichung,http://www.ctust.edu.tw
Chang Gung University,Tao-Yuan,http://www.cgu.edu.tw
Chang Gung University of Science and Technology,Taoyuan,http://www.cgust.edu.tw/bin/home.php
Chang Jung Christian University,Tainan,http://www.cjcu.edu.tw
Chaoyang University of Technology,Taichung,http://www.cyut.edu.tw
Cheng Shiu University,Kaohsiung,http://www.csu.edu.tw
Chia Nan University of Pharmacy and Science,Tainan,http://www.cnu.edu.tw
Chien Hsin University of Science and Technology,Zhongli City,http://www.uch.edu.tw
Chien Kuo Technology University,Changhua,http://www.ctu.edu.tw
Chihlee University of Technology,New Taipei City,http://portal.chihlee.edu.tw/bin/home.php
China Medical University,Taichung,http://www.cmu.edu.tw
China University of Science and Technology,Taipei,http://www.cust.edu.tw
China University of Technology,Taipei,http://www.cute.edu.tw/en
Chinese Culture University,Taipei,http://www.pccu.edu.tw
Ching Kuo Institute of Management and Health,Keelung,http://www.cku.edu.tw
Christ's College,New Taipei City,http://www.cct.edu.tw
Chung Hua University,Hsinchu,http://www.chu.edu.tw
Chung Hwa University of Medical Technology,Tainan Hsien,http://www.hwai.edu.tw
Chung Shan Medical University,Taichung,http://www.csmu.edu.tw
Chung Yuan Christian University,Taoyuan City,http://www.cycu.edu.tw
Chung-Chou University of Technology,Changhua,http://www.ccut.edu.tw
Chungyu University of Film and Arts,Keelung,http://www.cit.edu.tw
CTBC Business School,Tainan,http://www.ctbc.edu.tw/bin/home.php
Da Yeh University,Changhua,https://www.dyu.edu.tw
Dahan Institute of Technology,Hualien,http://www.dahan.edu.tw
Far East University,Tainan,https://www.feu.edu.tw
Feng Chia University,Taichung,http://en.fcu.edu.tw
Fo Guang University,Yilan,http://www.fgu.edu.tw
Fooyin University,Kaohsiung,http://www.fy.edu.tw
Fortune Institute of Technology,Kaohsiung,http://www.fjtc.edu.tw
Fu Jen Catholic University,New Taipei City,http://www.fju.edu.tw
Hsing Wu University,New Taipei City,http://www.hwu.edu.tw
