institute,city,url
Huazhong University of Science and Technology,Wuhan,https://www.hust.edu.cn
Nankai University,Tianjin,https://www.nankai.edu.cn
Sias University,Xinzheng,https://en.sias.edu.cn
Xi'an Jiaotong-Liverpool University,Suzhou,https://www.xjtlu.edu.cn/en
Yunnan University,Kunming,https://www.ynu.edu.cn
Zhejiang University,Hangzhou,https://www.zju.edu.cn
Agricultural University of Hebei,Baoding,http://www.hebau.edu.cn
Anhui Agricultural University,Hefei,http://www.ahau.edu.cn
Anhui Jianzhu University,Hefei,http://www.ahjzu.edu.cn
Anhui Medical University,Hefei,http://www.ahmu.edu.cn
Anhui Normal University,Wuhu,http://www.ahnu.edu.cn
Anhui Polytechnic University,Wuhu,http://www.ahpu.edu.cn
Anhui Science and Technology University,Chuzhou,http://www.ahstu.edu.cn
Anhui University,Hefei,http://www.ahu.edu.cn
Anhui University of Finance and Economics,Bengbu,http://www.aufe.edu.cn
Anhui University of Science and Technology,Huainan,http://www.aust.edu.cn
Anhui University of Technology,Ma'anshan,http://www.ahut.edu.cn
Anhui University of Traditional Chinese Medicine,Hefei,http://www.ahtcm.edu.cn
Ankang University,Ankang,http://www.aku.edu.cn
Anqing Normal University,Anqing,http://bgs.aqnu.edu.cn/English.htm
Anshan Normal University Liaoning China,Anshan,http://www.asnc.edu.cn
Anshun University,Anshun,http://www.asu.edu.cn
Anyang Institute of Technology,Anyang,http://www.ayit.edu.cn
Anyang Normal University,Anyang,https://www.aynu.edu.cn
Applied Technology College of Hunan institute of Engineering,Xiangtan,http://www.hnieyy.cn
Applied Technology College of Soochow University,Suzhou,http://tec.suda.edu.cn
Art and Culture College of Tianjin University of Sport,Tianjin,http://www.tjtwy.cn
Baicheng Normal College,Baicheng,http://www.bcsfxy.com
Baise University,Baise,http://www.bsuc.cn
Baoding University,Baoding,http://www.bdu.edu.cn/default.html
Baoji University of Arts and Sciences,Baoji,http://www.bjwlxy.cn
Beibu Gulf University,Qinzhou,http://www.qzhu.edu.cn
Beifang University of Nationalities,Yinchuan,http://www.nwsni.edu.cn
Beihang University,Beijing,http://www.buaa.edu.cn
Beihua University,Jilin,http://www.beihua.edu.cn
"Beijiing Institute of Technology, Zhuhai",Zhuhai,http://www.bitzh.edu.cn
"Beijin College, Hunan University of Commerce",Changsha,http://www.bjxy.net.cn
Beijing City University,Beijing,http://www.bcu.edu.cn
Beijing Dance Academy,Beijing,http://www.bda.edu.cn
Beijing Electronic Science and Technology Institute,Beijing,http://www.besti.edu.cn
Beijing Film Academy,Beijing,http://www.bfa.edu.cn
Beijing Film Academy Modern Creative Media College,Qingdao,http://www.bfamcmc.edu.cn
Beijing Foreign Studies University,Beijing,http://www.bfsu.edu.cn
Beijing Forestry University,Beijing,http://www.bjfu.edu.cn
Beijing Geely University,Beijing,http://www.bgu.edu.cn
Beijing Hospitality Institute,Beijing,http://www.bhi.edu.cn
Beijing Information Science and Technology University,Beijing,http://www.bistu.edu.cn
Beijing Institute of Fashion Technology,Beijing,http://www.bift.edu.cn
Beijing Institute of Graphic Communication,Beijing,http://www.bigc.edu.cn
Beijing Institute of Petrochemical Technology,Beijing,http://www.bipt.edu.cn
Beijing Institute of Technology,Beijing,http://www.bit.edu.cn
Beijing International Studies University,Beijing,http://www.bisu.edu.cn
Beijing Jiaotong University,Beijing,http://www.njtu.edu.cn
Beijing Jiaotong University Haibin College,Cangzhou,https://www.bjtuhbxy.cn
Beijing Language and Culture University,Beijing,http://www.blcu.edu.cn
Beijing Normal University,Beijing,http://www.bnu.edu.cn
"Beijing Normal University, Hong Kong Baptist University, United International College",Zhuhai,https://uic.edu.hk/en
Beijing Sport University,Beijing,http://www.bsu.edu.cn
Beijing Technology and Business University,Beijing,http://www.btbu.edu.cn
Beijing Union University,Beijing,http://www.buu.edu.cn
Beijing University of Agriculture,Beijing,https://www.bua.edu.cn
Beijing University of Chemical Technology,Beijing,http://www.buct.edu.cn
Beijing University of Chinese Medicine,Beijing,http://www.bucm.edu.cn
Beijing University of Chinese Medicine Dongfang College,Langfang,http://www.bucmdf.edu.cn
Beijing University of Civil Engineering and Architecture,Beijing,http://www.bucea.edu.cn
Beijing University of Posts and Telecommunications,Beijing,https://www.bupt.edu.cn
Beijing University of Technology,Beijing,http://www.bjut.edu.cn
Beijing Wuzi University,Beijing,http://www.bwu.edu.cn
Bengbu Medical College,Bengbu,http://www.bbmc.edu.cn
Bengbu University,Bengbu,http://www.bbc.edu.cn
