institute,city,url
Antonio Nariño University,Bogotá,https://www.uan.edu.co
Areandina University,Bogotá,https://www.areandina.edu.co
University Corporation of the Meta Region,Villavicencio,https://unimeta.edu.co
University of Boyacá,Tunja,http://www.uniboyaca.edu.co
Abraham Escudero Montoya University Foundation,Espinal,http://www.fundes.edu.co
Academy of Arts Corporation,Medellín,http://www.corpoasa.edu.co
Admiral Padilla Naval Academy of Cadets,Cartagena,https://www.escuelanaval.edu.co
Advanced Centre University Corporation,Cali,https://unicuces.edu.co
Agrarian University Foundation of Colombia,Bogotá,http://www.uniagraria.edu.co
Alexander von Humboldt Business University Corporation,Armenia,http://www.cue.edu.co
American University Corporation,Barranquilla,https://www.americana.edu.co
Antonio de Arévalo University Foundation,Cartagena de Indias,http://www.tecnar.edu.co
Antonio José Camacho University Institution,Cali,https://www.uniajc.edu.co
Antonio José de Sucre University Corporation,Sincelejo,https://www.corposucre.edu.co
"Antonio Nariño University
Neiva Campus",Neiva,https://www.uan.edu.co/neiva
Asturias University Corporation,Bogotá,http://uniasturias.edu.co
Augustinian University,Bogotá,http://www.uniagustiniana.edu.co
Autonomous University Corporation of Nariño,Pasto,http://www.aunar.edu.co
Autonomous University Corporation of the Cauca Region,Popayán,http://www.uniautonoma.edu.co
Autonomous University Foundation of Colombia,Bogotá,http://www.fuac.edu.co
Autonomous University Foundation of the Americas,Medellín,http://www.uam.edu.co
Autonomous University of Bucaramanga,Bucaramanga,http://www.unab.edu.co
Autonomous University of Manizales,Manizales,http://www.autonoma.edu.co
Autonomous University of the Caribbean,Barranquilla,https://www.uac.edu.co
Autonomous University of the West,Cali,http://www.uao.edu.co
Business University Corporation of Salamanca,Barranquilla,http://cues.edu.co
Business University Foundation of the Chamber of Commerce of Bogotá,Bogotá,https://www.uniempresarial.edu.co
Cafam University Foundation,Bogotá,http://www.unicafam.edu.co
Captain José Edmundo Sandoval Postgraduate School of the Colombian Airforce,Bogotá,https://www.epfac.edu.co
Caro y Cuervo Institute,Bogotá,http://www.caroycuervo.gov.co
Catholic University Foundation of the North,Santa Rosa de Osos,http://www.ucn.edu.co
Catholic University of Colombia,Bogotá,https://www.ucatolica.edu.co
Catholic University of Manizales,Manizales,http://www.ucm.edu.co
Catholic University of Pereira,Pereira,http://www.ucp.edu.co
Catholic University of the East,Ríonegro,http://www.uco.edu.co
CEIPA University Foundation,Medellín,https://ceipa.edu.co
CENDA University Corporation,Bogotá,http://www.cenda.edu.co
Central Technical Institute,Bogotá,https://etitc.edu.co
Central Unit of the Valley of the Cauca Region,Tuluá,http://www.uceva.edu.co
Central University,Bogotá,https://www.ucentral.edu.co
"Centre of Higher Education, Research and Professionalization Foundation",Bogotá,http://www.cedinpro.edu.co
CES University,Medellín,http://www.ces.edu.co
CESMAG University,San Juan de Pasto,https://www.unicesmag.edu.co
CIEO University Foundation,Bogotá,http://www.unicieo.edu.co
Claretian University Foundation,Quibdó,https://uniclaretiana.edu.co
Co-operative University of Colombia,Bogotá,http://www.ucc.edu.co
"Co-operative University of Colombia
Barrancabermeja Campus",Barrancabermeja,https://www.ucc.edu.co/barrancabermeja/Paginas/inicio.aspx
"Co-operative University of Colombia
Bucaramanga Campus",Bucaramanga,https://www.ucc.edu.co/bucaramanga/Paginas/inicio.aspx
"Co-operative University of Colombia
Medellín Campus",Medellín,https://www.ucc.edu.co/medellin/Paginas/inicio.aspx
"Co-operative University of Colombia
Santa Marta Campus",Santa Marta,https://www.ucc.edu.co/santamarta/Paginas/inicio.aspx
College of Advanced Administration Studies,Bogotá,http://www.cesa.edu.co
Colombian Adventist University,Medellín,http://www.unac.edu.co
Colombian Collegiate Corporation,Medellín,https://www.colegiatura.edu.co
Colombian School of Rehabilitation,Bogotá,https://www.ecr.edu.co
Colombian Technological-Industrial Corporation,Bogotá,http://www.teinco.edu.co
Colombian-American University Institution UNICA,Bogotá,https://unica.edu.co
Colombo Germana University Foundation,Bogotá,https://unigermana.edu.co
Comfacauca University Corporation,Popayán,http://www.unicomfacauca.edu.co
Comfanorte Foundation of Advanced Studies,San Jóse de Cúcuta,http://www.fesc.edu.co
Comfenalco Santander University Foundation,Bucaramanga,http://www.unc.edu.co
Comfenalco Technological University Foundation,Cartagena de Indias,http://www.tecnologicocomfenalco.edu.co
Compensar University Foundation,Bogotá,https://ucompensar.edu.co
Corporate School of Arts and Letters,Bogotá,http://www.artesyletras.com.co
Corporate Technological School of the East,Bucaramanga,http://tecnologicadeloriente.edu.co
Corporation Institute of Administration and Finance,Pereira,http://www.ciaf.edu.co
Corporation of Technological Studies of the North of the Valley,Cartago,http://www.cotecnova.edu.co
Departmental Institute of Fine Arts,Cali,http://www.bellasartes.edu.co
Diego Luis Córdoba Technological University of Chocó,Quibdó,http://www.utch.edu.co
EAFIT University,Medellín,http://www.eafit.edu.co
EAM University Institute,Armenia,http://www.eam.edu.co
EAN University,Bogotá,http://www.ean.edu.co
ECCI University,Bogotá,https://www.ecci.edu.co
EIA University,Envigado,https://www.eia.edu.co
El Bosque University,Bogotá,https://www.unbosque.edu.co
ESCOLME University institution,Medellín,http://www.escolme.edu.co
ESUMER University Institution,Medellín,https://esumer.edu.co
Externado University of Colombia,Bogotá,http://www.uexternado.edu.co
Fine Arts University Foundation,Medellín,https://bellasartesmed.edu.co
FITEC Technological Institute,Bucaramanga,http://www.fitec.edu.co
Francisco de Paula Santander University,Cúcuta,http://www.ufps.edu.co
"Francisco de Paula Santander University
Ocaña Branch",Ocaña,https://ufpso.edu.co
Francisco José de Caldas District University,Bogotá,https://www.udistrital.edu.co
General Rafael Reyes Prieto War College,Bogotá,https://esdegue.edu.co
Grancolombiano Polytechnic,Bogotá,https://www.poli.edu.co
Higher College of Antioquia,Medellín,http://www.colmayor.edu.co
Higher College of Cauca,Popayán,https://unimayor.edu.co
Higher College of Music of Tolima,Ibagué,https://conservatoriodeltolima.edu.co
Higher Institute of Social and Family Economic Sciences,Bogotá,https://www.icsef.edu.co
Horizonte University Foundation,Bogotá,https://www.unihorizonte.edu.co
Ibero-american University Corporation,Bogotá,https://www.ibero.edu.co
ICESI University,Cali,https://www.icesi.edu.co
IDEAS University Corporation of Colombia,Bogotá,http://www.ideas.edu.co
INCCA University of Colombia,Bogotá,http://www.unincca.edu.co
Industrial University of Santander,Bucaramanga,http://www.uis.edu.co
INPAHU University Foundation,Bogotá,http://www.inpahu.edu.co
Institute of Professional Technical Education of Roldanillo,Roldanillo,https://www.intep.edu.co
International Colombo University Foundation,Cartagena de Indias,https://unicolombo.edu.co
International Corporation for Educational Development,Bogotá,http://www.cide.edu.co
International University Foundation of Colombia UNINCOL,Bogotá,https://www.unincol.edu.co
International University Foundation of the American Tropic,Yopal,http://www.unitropico.edu.co
International Virtual University,Bogotá D.C,http://www.uvirtual.edu.co
ITSA University Institution,Soledad,http://www.itsa.edu.co
Jaime Isaza Cadavid Colombian Polytechnic,Medellín,http://www.politecnicojic.edu.co
Jesus Perez Oviedo Technological School of Neiva,Rivera,http://www.fet.edu.co
Jorge Tadeo Lozano University Foundation of Bogota,Bogotá,http://www.utadeo.edu.co
"Jorge Tadeo Lozano University Foundation of Bogota
Caribbean Branch - Cartagena",Cartagena,http://www.utadeo.edu.co/es/tadeo-caribe
Juan de Castellanos University Foundation,Tunja,http://www.jdc.edu.co
Juan N. Corpas University Foundation,Bogotá,http://www.juanncorpas.edu.co
Julio Garavito Colombian School of Engineering,Bogotá,http://www.escuelaing.edu.co
Konrad Lorenz University Foundation,Bogotá,http://www.konradlorenz.edu.co/es
La Gran Colombia University,Bogotá,http://www.ugc.edu.co
"La Gran Colombia University
Armenia Branch",Armenia,https://www.ugc.edu.co/sede/armenia
La Paz University Institute,Barrancabermeja,http://www.unipaz.edu.co
La Salle University,Bogotá,http://www.lasalle.edu.co
Lasallian University Corporation,Caldas,http://www.lasallista.edu.co
Latin American Autonomous University,Medellín,https://www.unaula.edu.co
"Latin American School of Engineers,Technologists and Entrepreneurs",Bogotá,http://elite.edu.co
Latin American University Corporation,Barranquilla,http://www.ul.edu.co
Latina University Institution,Bogotá,https://unilatina.edu.co
Los Libertadores University Foundation,Bogotá,https://www.ulibertadores.edu.co
Luis Amigo Catholic University,Medellín,https://www.funlam.edu.co
