institute,city,url
Goma Business Higher School,Goma,http://www.iscgoma.net
Goma Institute of Computer Science and Management,Goma,https://isig.ac.cd
Higher Institute of Commerce of Kisangani,Kisangani,http://isc-kisangani.org
University of Goma,Goma,https://unigom.ac.cd
Academy of Fine Arts in Kinshasa,Kinshasa,https://www.academie-kinshasa.cd
Adventist University of Goma,Goma,http://www.uagom.com/uago/index.php
Adventist University of Lukanga,Lukanga,http://www.uniluk.org
Arts and Crafts Institute,Gombe,https://www.isamkinshasa.cd
Assumption University in Congo,Butembo,https://iseab.org
Bel Campus University of Technology,Kinshasa,https://belcampusrdc.com
Cardinal Malula Christian University,Kinshasa,http://www.uccm-ispl.org
Cardinal Malula University,Kinshasa,Webpage-Not-Found
Catholic Higher Pedagogical Institute,Kinshasa,Webpage-Not-Found
Catholic University of Bukavu,Bukavu,https://ucbukavu.ac.cd
Catholic University of Congo,Kinshasa,https://ucc.ac.cd
Catholic University of the Graben,Butembo,Webpage-Not-Found
CEPROMAD University,Kinshasa,https://cepromad.com
Christian University of Kinshasa,Kinshasa,https://uckin.net
Divine Glory University,Butembo,Webpage-Not-Found
Don Peti Peti Catholic University,Kinshasa,Webpage-Not-Found
Evangelical University in Africa,Bukavu,https://uea.ac.cd
Faculty Institute for Development Studies,Kinshasa,http://www.ifadkinshasa.net
Free University of the Great Lakes,Bukavu,https://ulgl-rdc.org
Higher Institute of Business and Financial Studies,Bukavu,Webpage-Not-Found
Higher Institute of Commerce of Kinshasa,Kinshasa,Webpage-Not-Found
Higher Institute of Medical Technology of Kinshasa,Kinshasa,http://istmkin.education
Higher Institute of Medical Technology of Nyankunde,Bunia,http://www.nyankunde.org/istm/istm.html
Higher Institute of Nursing Sciences,Kinshasa,https://issi.ac.cd
Higher Institute of Rural Development of the Great Lakes,Goma,https://isdrgl.org
Higher Institute of Tourism of Goma,Goma,Webpage-Not-Found
Higher Pedagogical Institute of Lubumbashi,Lubumbashi,Webpage-Not-Found
"Higher Pedagogical Institute of Lubumbashi
Higher Pedagogical Institute of Bukavu",Bukavu,Webpage-Not-Found
"Higher Pedagogical Institute of Lubumbashi
Higher Pedagogical Institute of La Gombe",Kinshasa,Webpage-Not-Found
Higher School for Management Training,Kinshasa,Webpage-Not-Found
Higher Technical Institute of Boma,Boma,Webpage-Not-Found
Holy Cross University of Mulo,Lubero,Webpage-Not-Found
