institute,city,url
University of Costa Rica,San José,https://www.ucr.ac.cr
American University,San José,http://www.uam.ac.cr
Autonomous University of Central America,San José,http://www.uaca.ac.cr
Catholic University of Costa Rica,San José,https://www.ucatolica.ac.cr
Central American Institute of Public Administration,San José,https://icap.ac.cr
Costa Rica Institute of Technology,Cártago,https://www.tec.ac.cr
EARTH University,San José,https://www.earth.ac.cr/en
Federated University of Costa Rica,San José,http://www.ufederada.ac.cr
Fidelitas University,San José,http://www.ufidelitas.ac.cr
Free School of Law University,San José,https://uescuelalibre.cr
Hispano-American University,San José,https://uh.ac.cr
International University of the Americas,San José,https://uia.ac.cr
Latin American University of Science and Technology,San José,http://www.ulacit.ac.cr
Latin University of Costa Rica,San Pedro de Montes de Oca,http://www.ulatina.ac.cr
National Technical University,Alajuela,https://www.utn.ac.cr
National University,Heredia,http://www.una.ac.cr
San Isidro Labrador International University,Pérez Zeledón,https://uisil.ac.cr
San Marcos University,San José,https://www.usanmarcos.ac.cr
State University of Distance Education,San José,https://www.uned.ac.cr
Tropical Agriculture Research and Higher Education Centre,Turrialba,https://www.catie.ac.cr
University for Peace,San José,https://www.upeace.org
University of Ibero-America,San José,http://www.unibe.ac.cr
University of Medical Sciences,San José,https://ucimed.com
University Saint Paula,Curridabat,https://usantapaula.com
Veritas University,San José,https://www.veritas.cr
