institute,city,url
University of Zagreb,Zagreb,http://www.unizg.hr
VERN' University,Zagreb,https://vern.hr
Algebra University College,Zagreb,https://www.algebra.hr/visoko-uciliste
Aspira University College,Split,http://www.aspira.hr
Catholic University of Croatia,Zagreb,http://www.unicath.hr
"College for Information Technologies, Zagreb",Zagreb,https://www.vsite.hr
College for Safety,Zagreb,http://www.vss.hr
College of Applied Sciences Lavoslav Ruzicka in Vukovar,Vukovar,http://www.vevu.hr
College of Slavonski Brod,Slavonski Brod,http://www.vusb.hr/hr
Edward Bernays University College,Zagreb,https://www.bernays.hr
EFFECTUS University College for Law and Finance,Zagreb,https://effectus.com.hr/visoko
European Business School Zagreb,Zagreb,http://ebus.hr
Istrian University of Applied Sciences,Pula,https://www.iv.hr
Josip Juraj Strossmayer University of Osijek,Osijek,http://www.unios.hr
Juraj Dobrila University of Pula,Pula,http://www.unipu.hr
Križevci College of Agriculture,Križevci,http://www.vguk.hr
Libertas International University,Dubrovnik,https://www.libertas.hr
Međimurje Polytechnic in Čakovec,Čakovec,http://www.mev.hr
Police College in Zagreb,Zagreb,https://policijska-akademija.gov.hr/visoka-policijska-skola/43
Polytechnic in Požega,Požega,http://www.vup.hr
Polytechnic Marko Marulić in Knin,Knin,http://www.veleknin.hr
Polytechnic of Applied Health Studies in Zagreb,Zagreb,http://www.zvu.hr
Polytechnic of Karlovac,Karlovac,http://www.vuka.hr
Polytechnic of Rijeka,Rijeka,http://www.veleri.hr
Polytechnic of Šibenik,Šibenik,http://www.vus.hr
RIT Croatia,Dubrovnik,http://www.croatia.rit.edu
RRiF College of Financial Management,Zagreb,https://rvs.hr
University North,Koprivnica,http://www.unin.hr
University of Applied Sciences Baltazar Zaprešić,Zaprešić,https://www.bak.hr
University of Applied Sciences Velika Gorica,Velika Gorica,http://www.vvg.hr
University of Dubrovnik,Dubrovnik,http://www.unidu.hr
University of Rijeka,Rijeka,http://www.uniri.hr
University of Split,Split,http://www.unist.hr
University of Zadar,Zadar,http://www.unizd.hr
Virovitica College,Virovitica,https://vsmti.hr
Zagreb School of Business,Zagreb,http://www.vpsz.hr
Zagreb School of Economics and Management,Zagreb,http://www.zsem.hr
Zagreb University of Applied Sciences,Zagreb,http://www.tvz.hr
