institute,city,url
Artemisa University,Alquízar,https://ua.uart.edu.cu
Carlos J. Finlay University of Medical Sciences of Camaguey,Camagüey,https://instituciones.sld.cu/ucmc
Enrique José Varona Pedagogical University,La Habana,http://www.ucpejv.edu.cu
Faculty of Medical Sciences of Mayabeque,Mayabeque,https://instituciones.sld.cu/fcmmayabeque
Fructuoso Rodríguez Pérez Agrarian University of Havana,La Habana,https://www.unah.edu.cu
Guantánamo University,Sabatena,https://www.cug.co.cu
Ignacio Agramonte Loynaz University of Camagüey,Camagüey,https://www.reduc.edu.cu
Institute of Animal Science,San José de las Lajas,https://www.ica.edu.cu
Institute of Cardiology and Cardiovascular Surgery,La Habana,http://instituciones.sld.cu/iccc/contactenos
Jesús Montané Oropesa University of Isla de la Juventud,Isla de la Juventud,https://www.uij.edu.cu
José Antonio Echeverría Technological University of Havana,La Habana,https://cujae.edu.cu
José Martí Pérez University of Sancti Spiritus,Sancti Spíritu,https://www.uniss.edu.cu
Las Tunas University Vladimir Ilich Lenin,Las Tunas,http://www.ult.edu.cu
Latin American Reference Center for Special Education,La Habana,https://www.celaee.rimed.cu
Latin American School of Medicine,La Habana,https://instituciones.sld.cu/elam
Marta Abreu Central University of Las Villas,Santa Clara,https://www.uclv.edu.cu
Medical University Dr. Juan Guiteras Gener of Matanzas,Matanzas,http://instituciones.mtz.sld.cu/ucm
National Center for Agricultural Health,San José de las Lajas,http://www.censa.edu.cu
National Coordination Center for Clinical Trials,Habana,http://www.cencec.sld.cu
National Institute of Agricultural Sciences,San josé de las lajas,http://www.inca.edu.cu
"National Institute of Hygiene, Epidemiology and Microbiology",La Habana,https://instituciones.sld.cu/inhem
National Intsitute of Workers' Health,La Habana,https://www.sld.cu/sitios/insat
Pedro Kourí Tropical Medicine Institute,La Habana,https://instituciones.sld.cu/ipk
Prof. Dr Rafael Estrada González Institute of Neurology and Neurosurgery,La Habana,https://instituciones.sld.cu/ineuro
Raul Roa García Higher Institute of International Relations,La Habana,http://www.isri.cu
University of Arts,La Habana,http://www.isa.cult.cu
University of Ciego de Avila Máximo Gómez Báez,Ciego de Ávila,https://www.unica.cu
University of Cienfuegos Carlos Rafael Rodríguez,Cienfuegos,https://www.ucf.edu.cu
University of Computer Science,La Habana,https://www.uci.cu
University of Granma,Bayamo,https://www.udg.co.cu
University of Havana,La Habana,http://www.uh.cu
"University of Havana
Higher Institute of Design",La Habana,http://www.isdi.co.cu
"University of Havana
Higher Institute of Technologies and Applied Sciences",La Habana,https://www.instec.cu
University of Holguín,Holguín,https://www.uho.edu.cu
University of Matanzas,Matanzas,http://www.umcc.cu
University of Medical Sciences of Ciego de Avila,Ciego de Avila,http://www.ca.smcsalud.cu/es/universidad-de-ciencias-medicas
University of Medical Sciences of Cienfuegos,Cienfuegos,http://www.ucm.cfg.sld.cu
University of Medical Sciences of Granma,Manzanillo,https://www.ucm.grm.sld.cu
University of Medical Sciences of Havana,La Habana,https://instituciones.sld.cu
University of Medical Sciences of Holguin,Holguín,https://www.ucmho.hlg.sld.cu
University of Medical Sciences of Las Tunas,Las Tunas,https://instituciones.sld.cu/ucmtunas
University of Medical Sciences of Pinar del Rio,Pinar del Río,Webpage-Not-Found
University of Medical Sciences of Sancti Spiritu,Sancti Spíritu,https://ucmss.ssp.sld.cu
University of Medical Sciences of Santiago de Cuba,Santiago de Cuba,http://instituciones.sld.cu/ucmscu
University of Medical Sciences of Villa Clara,Villa Clara,https://instituciones.sld.cu/ucmvc
University of Moa,Moa,https://www.ismm.edu.cu
University of Oriente,Santiago de Cuba,http://www.uo.edu.cu
University of Pinar del Río Hermanos Saiz Montes de Oca,Pinar del Río,https://www.upr.edu.cu
