institute,city,url
Cyprus University of Technology,Limassol,https://www.cut.ac.cy/?languageId=1
University of Cyprus,Nicosia,https://www.ucy.ac.cy
ACC Akademia College,Deryneia,https://www.akc.ac.cy
Aigaia School of Art and Design,Nicosia,http://www.aigaia.com.cy
Alexander College,Aradippou,http://www.alexander.ac.cy
American College,Nicosia,http://www.ac.ac.cy
ARTE Music Academy,Nicosia,http://www.artemusic.org
Atlantis College,Liopetri,http://www.atlantiscollege.com
C.D.A. College,Nicosia,http://www.cdacollege.ac.cy
Casa College,Nicosia,http://www.casacollege.ac.cy
City Unity College Nicosia,Nicosia,http://cityu.ac.cy
College of Tourism and Hotel Management,Nicosia,http://www.cothm.ac.cy
CTL Eurocollege,Limassol,http://www.ctleuro.ac.cy
Cyprus Academy of Arts,Limassol,http://caa.ac.cy
Cyprus College,Lefkosia,http://www.cycollege.ac.cy
European University Cyprus,Nicosia-Cyprus,http://www.euc.ac.cy
Frederick Institute of Technology,Nicosia,http://www.fit.ac.cy
Frederick University,Nicosia,http://www.frederick.ac.cy
Global College,Nicosia,http://www.globalcollege.ac.cy
Intercollege,Nicosia,http://www.intercollege.ac.cy
InterNapa College,Sotira,http://www.internapa.ac.cy
KES College,Nicosia,http://www.kes.ac.cy
Larnaca College,Larnaca,http://www.larnacacollege.ac.cy
Ledra College,Nicosia,http://www.ledra.ac.cy
Mediterranean Institute of Management,Nicosia,http://www.mim.ac.cy
Mesoyios College,Limassol,http://www.mesoyios.ac.cy
Neapolis University Pafos,Paphos,http://www.nup.ac.cy
Open University of Cyprus,Nicosia,http://www.ouc.ac.cy
P.A. College,Larnaca,http://www.pacollege.ac.cy
Philips University,Nicosia,https://philipsuni.ac.cy
Susini College,Limasol,http://www.susini.ac.cy
The Cyprus Institute,Nicosia,http://www.cyi.ac.cy
The Cyprus Institute of Marketing,Nicosia,http://www.cima.ac.cy
The Limassol College - T.L.C.,Limassol,https://www.tlc.ac.cy
University of Central Lancashire - Cyprus,Larnaca,https://www.uclancyprus.ac.cy
University of Nicosia,Nicosia,http://www.unic.ac.cy
