institute,city,url
Charles University,Prague 1,https://cuni.cz
Czech Technical University in Prague,Prague 6 - Dejvice,https://www.cvut.cz
Masaryk University,Brno,https://www.muni.cz
Academia Rerum Civilium - University of Political and Social Sciences,Barborská 52,http://www.vspsv.cz
"Academy of Arts, Architecture and Design in Prague",Prague 1,http://www.vsup.cz
Academy of Fine Arts in Prague,Prague 7,http://www.avu.cz
Academy of Performing Arts in Prague,Prague 1,http://www.amu.cz
Anglo-American University,Prague 1,http://www.aauni.edu
Banking Institute,Praha 5,http://www.bivs.cz
Brno University of Technology,Brno,http://www.vutbr.cz
CEVRO Institute,Prague 1,https://www.vsci.cz/
College of Entrepreneurship and Law,Ostrava,http://www.vsp.cz
College of International and Public Relations Prague,Prague 5,http://www.vip-vs.cz
College of Logistics,Přerov,http://www.vslg.cz
Czech University of Life Sciences Prague,Prague - Suchdol,http://www.czu.cz
Institute of Hospitality Management in Prague,Prague 8,http://www.vsh.cz
Institute of Technology and Business in České Budějovice,České Budějovice,http://www.vstecb.cz
Jan Amos Komenský University Prague,Prague 3,http://www.ujak.cz
Jan Evangelista Purkyně University in Ústí nad Labem,Ústí nad Labem,http://www.ujep.cz
Janáček Academy of Music and Performing Arts Brno,Brno-střed,http://www.jamu.cz
Mendel University in Brno,Brno,http://www.mendelu.cz
Metropolitan University Prague,Prague 3,http://www.mup.cz
"Miroslava Ondříček Film Academy in Písek, p.b.c.",Písek,http://www.filmovka.cz
Palacký University Olomouc,Olomouc,http://www.upol.cz
Police Academy of the Czech Republic in Prague,Prague 4,http://www.polac.cz
Prague College of Psychosocial Studies,Prague 4 - Háje,http://www.pvsps.cz
Prague University of Economics and Business,Prague 3,http://www.vse.cz
PRIGO University,Havířov,http://www.vsss.cz/
Silesian University in Opava,Opava,http://www.slu.cz
Škoda Auto University,Mladá Boleslav,http://www.savs.cz
Sting Academy,Brno,http://www.sting.cz
Technical University of Liberec,Liberec 1,http://www.tul.cz
Tomas Bata University in Zlín,Zlin,http://www.utb.cz
University of Business in Prague,Prague 1,http://www.vso.cz
"University of Chemistry and Technology, Prague",Prague 6 – Dejvice,http://www.vscht.cz
University of Defence,Brno,www.unob.cz/en
"University of Economics and Management, Prague",Prague 5,http://www.vsem.cz
University of Finance and Administration,Prague 10,http://www.vsfs.cz
University of Hradec Králové,Hradec Králové 3,http://www.uhk.cz
University of New York in Prague,Prague,http://www.unyp.cz
University of Ostrava,Ostrava,http://www.osu.cz
University of Pardubice,Pardubice 2,http://www.upce.cz
University of South Bohemia in České Budějovice,České Budějovice,http://www.jcu.cz
University of Veterinary and Pharmaceutical Sciences Brno,Brno,http://www.vfu.cz
University of West Bohemia,Pilsen,http://www.zcu.cz
VŠB - Technical University of Ostrava,Ostrava-Poruba,http://www.vsb.cz
