institute,city,url
International University of Grand-Bassam,Grand-Bassam,https://iugb.org
Peleforo Gon Coulibaly University,Korhogo,https://www.univ-pgc.edu.ci
2IFE/2IAE Group - International Institute for Entrepreneurship Training,Abidjan,http://2iae.com
Abidjan Institute of Technology,Abidjan,http://ita-education.ci
Abidjan Multimedia Specialty School,Abidjan,http://new.esma-edu.com
Academy of Technology and Accountancy,Abidjan,http://astc.ci
Adama Sanogo International Polytechnic School,Abidjan,http://www.groupeadamasanogo.com/index.php/les-ecoles/esias-polytechnique.html
Adama Sanogo University of Abidjan,Abidjan,www.groupeadamasanogo.com/index.php/les-ecoles/uasa.html
Africa Formation,Abidjan,http://www.intellect-afrique.com/index.php/component/content/article/88-diplomes/99-afrique-formation
African Centre for Management and Professional Upgrading,Abidjan,http://www.campc.net
African International Bilingual University,Abidjan,http://www.uiba-ci.com
African Lasallian Centre,Abidjan,http://celaf-institut.org
African Muslim University,Abidjan,Webpage-Not-Found
Agitel - Training Institute,Abidjan,http://www.agitelformation.com
Not-Found,Not-found,Webpage-Not-Found
BAK Group,Abidjan,http://groupebak.awardspace.com
British Institute of Management and Technology,Abidjan,http://www.ibm-t.net
"Canadian University of Arts, Sciences and Management",Abidjan,http://www.ucasm.org
CASTAING Business School,Abidjan,http://www.esc-castaing.com
Catholic University of West Africa/Abidjan Academic Unit,Abidjan,http://www.ucaouua.com
CEFIAT Group,Abidjan,http://www.cefiat.ci
Centre for Research and Action for Peace/Institute for Dignity and Human Rights,Abidjan,http://cerap-inades.org/index.php/2016-11-15-19-38-43/2016-12-01-15-42-52
CESA Business Service Training Centre,Abidjan,http://www.cofecesa.net/cesa.php
CGE Group,Abidjan,http://www.groupecgedaloa.com
Charles-Louis Montesquieu University,Abidjan,http://www.univ-clm.net
Consortium for the Management of Basic and Applied Research in Sub-Saharan Africa,Abidjan,http://www.rusta-comrefas.org
CSI Group-Polytechnic Centre,Abidjan,http://groupecsi-pp.com
DUBASS Institute of Technology,Abidjan,http://istdubass.edu.ci
EDHEC Group-Abidjan,Abidjan,http://www.gpeedhec-abidjan.com
ESICOM Computer and Business School,Abidjan,Webpage-Not-Found
ESSECT Poincarre,Abidjan,Webpage-Not-Found
ETEP Group,Abidjan,http://www.groupetep.org
