institute,city,url
Roskilde University,Roskilde,https://ruc.dk
University of Copenhagen,København,https://www.ku.dk
Aalborg University,Aalborg,https://www.aau.dk
Aarhus School of Architecture,Aarhus C,https://aarch.dk
Aarhus School of Marine and Technical Engineering,Aarhus C,https://www.aams.dk
Aarhus University,Aarhus,https://www.au.dk
Business Academy Aarhus,Viby J,https://www.baaa.dk
Copenhagen Business School,Frederiksberg,https://www.cbs.dk
Copenhagen School of Marine Engineering and Technology Management,Kgs. Lyngby,https://www.msk.dk
Danish National Academy of Music,Odense,https://www.sdmk.dk
Danish School of Media and Journalism,Århus N,http://www.dmjx.dk
Design School Kolding,Kolding,https://www.designskolenkolding.dk
Fredericia School of Technology Management and Marine Engineering,Fredericia,http://www.fms.dk
Funen Art Academy,Odense,https://detfynskekunstakademi.dk
IBA International Business Academy,Kolding,https://www.iba.dk
IT University of Copenhagen,København S,https://ufm.dk
Jutland Art Academy,Aarhus,http://www.djk.nu
MARTEC - Maritime and Polytechnic University College,Frederikshavn,https://www.martec.dk
National Film School of Denmark,København,https://www.filmskolen.dk
Rhythmic Music Conservatory,København,https://rmc.dk
"Royal Danish Academy of Fine Arts, Schools of Architecture, Design and Conservation",København,https://kadk.dk
Royal Danish Academy of Music,Frederiksberg,https://www.dkdm.dk
SIMAC - Svendborg International Maritime Academy,Svendborg,https://simac.dk
Technical University of Denmark,Kgs. Lyngby,https://www.dtu.dk
The Danish National School of Performing Arts,København,https://ddsks.dk
The Royal Academy of Music,Aarhus,https://musikkons.dk
"The Royal Danish Academy of Fine Arts, School of Visual Arts",København,https://kunstakademiet.dk
UCL University College Lillebælt,Odense,https://www.ucl.dk
University College Absalon,Sorø,https://phabsalon.dk
University College Copenhagen,København,https://ucc.dk
University College of Northern Denmark,Aalborg,https://www.ucn.dk
University College South Denmark,Esbjerg Ø,https://www.ucsyd.dk
University of Southern Denmark,Odense M,https://www.sdu.dk
VIA University College,Risskov,http://www.via.dk
