institute,city,url
APEC University,Santo Domingo,https://www.unapec.edu.do
Autonomous University of Santo Domingo,Santo Domingo,https://www.uasd.edu.do
Barna Management School,Santo Domingo,https://barna.edu.do
Catholic Technological University of Barahona,Barahona,https://www.ucateba.edu.do
Catholic University of Santo Domingo,Santo Domingo,http://www.ucsd.edu.do
Catholic University of the Cibao,La Vega,https://www.ucateba.edu.do
Catholic University of the East,Higuey,http://www.ucade.edu.do
Central University of the East,San Pedro de Macorís,https://www.uce.edu.do
Dominican Adventist University,Bonao,https://www.unad.edu.do
Dominican O&M University,Santo Domingo,https://www.udoym.edu.do
Dominican University of Dentistry,Santo Domingo Oeste,https://sites.google.com/uod.edu.do/uodonline/inicio
Dominican University of Industrial Psychology,Santo Domingo,http://www.upid.edu.do
Dominican-American University,Santo Domingo,https://www.unicda.edu.do
Dr. Eduardo Latorre Rodríguez Higher Education Institute in Diplomatic and Consular Training,Santo Domingo,http://www.inesdyc.edu.do
Dr. Luis Heredia Bonetti Higher Institute of Specialized Studies in Social Sciences and Humanities,Santo Domingo,https://ies-lhb.edu.do
Eugenio María de Hostos University,Santo Domingo,https://uniremhos.edu.do
Federico Henríquez y Carvajal University,Santo Domingo Oeste,https://ufhec.edu.do
Felix Adam Experimental University,Santo Domingo,https://unefa.edu.do
Fernando Arturo de Meriño University of Agriculture and Forestry,Jarabacoa,https://uafam.edu.do
Global Institute of Advanced Studies in Social Sciences,Santo Domingo,http://www.iglobal.edu.do
Ibero-American University,Santo Domingo,https://www.unibe.edu.do
ISA University,Santiago de los Caballeros,http://www.isa.edu.do
Loyola Specialized Institute for Higher Studies,San Cristóbal,https://superior.ipl.edu.do
National Evangelical University,Santiago de los Caballeros,https://www.unev.edu.do
National Judicial School,Santo Domingo,https://www.enj.org
National Technological University,Gazcue,https://www.unnatec.do
National University-Institute of Exact Sciences,Santo Domingo,https://ince.edu.do
Nordestana Catholic University,San Francisco de Macorís,http://www.ucne.edu
OMG Specialized Institute in Research and Training in Legal Sciences,Santo Domingo,https://www.iomg.edu.do
Open University for Adults,Santiago de los Caballeros,https://www.uapa.edu.do
"Pedro Francisco Bonó Institute for Higher Studies in Humanities, Social Sciences and Philosophy",Santo Domingo Este,https://bono.edu.do
Pedro Henríquez Ureña National University,Santo Domingo,https://www.unev.edu.do
Pedro Poveda Higher Institute of Educational Studies,Santo Domingo,https://www.isesp.edu.do
Pontifical Catholic University Madre y Maestra,Santiago de los Caballeros,https://www.pucmm.edu.do
Salomé Ureña Teacher Training Institute,Santo Domingo,http://www.isfodosu.edu.do
Technological Institute of Santo Domingo,Santo Domingo,https://www.intec.edu.do
Technological University of Eastern Cibao,Cotuí,https://uteco.edu.do
Technological University of Santiago,Santiago de los Caballeros,https://www.utesa.edu
Technological University of the South,Azua,http://www.utesur.edu.do
University of the Caribbean,Santo Domingo,https://unicaribe.edu.do
University of the Third Age,Santo Domingo,https://www.ute.edu.do
