institute,city,url
Private Technical University of Loja,Loja,https://www.utpl.edu.ec
Agrarian University of Ecuador,Guayaquil,http://www.uagraria.edu.ec
Armed Forces Universidad,Sangolquí,http://www.espe.edu.ec
Autonomous Regional University of the Andes,Ambato,https://uniandes.edu.ec
Casa Grande University,Guayaquil,https://www.casagrande.edu.ec
Catholic University of Cuenca,Cuenca,https://www.ucacue.edu.ec
Catholic University of Santiago de Guayaquil,Guayaquil,https://www.ucsg.edu.ec
Central University of Ecuador,Quito,https://www.uce.edu.ec
Ecotec Technological University,Samborondon,https://www.ecotec.edu.ec
Eloy Alfaro Lay University of Manabí,Manta,https://www.uleam.edu.ec
Espiritu Santo University of Specializations,Guayaquil,http://www.uees.edu.ec
Ibero-American University of Ecuador,Quito,https://www.unibe.edu.ec
Indo-American Technological University,Ambato,http://www.uti.edu.ec
Institute of Advanced National Studies,Quito,http://www.iaen.edu.ec
Institute of Technology of Chimborazo,Riobamba,https://www.espoch.edu.ec
Institute of Technology of the Coast,Guayaquil,http://www.espol.edu.ec
International University of Ecuador,Quito,https://www.uide.edu.ec
Israel Technological University,Quito,https://uisrael.edu.ec
Latin American Faculty of Social Sciences,Quito,http://www.flacso.edu.ec
Manuel Félix López Institute of Agricultural Technology of Manabi,Calceta,http://www.espam.edu.ec
Metropolitan University,Guayaquil,https://www.umet.edu.ec
Milagro State University,Milagro,http://www.unemi.edu.ec
National Polytechnic School,Quito,https://www.epn.edu.ec
National University of Chimborazo,Riobamba,http://www.unach.edu.ec
National University of Loja,Loja,https://www.unl.edu.ec
Peninsula of Santa Elena State University,La Libertad,http://www.upse.edu.ec
Polytechnic State University of Carchi,Tulcán,http://upec.edu.ec
Pontifical Catholic University of Ecuador,Quito,https://www.puce.edu.ec
"Pontifical Catholic University of Ecuador
Ambato Branch",Ambato,https://www.pucesa.edu.ec/pucesa
"Pontifical Catholic University of Ecuador
Esmeraldas Branch",Esmeraldas,https://www.pucese.edu.ec
"Pontifical Catholic University of Ecuador
Ibarra Branch",Ibarra,https://www.pucesi.edu.ec
"Pontifical Catholic University of Ecuador
Manabí Branch",Portoviejo,https://pucem.edu.ec
"Pontifical Catholic University of Ecuador
Santo Domingo Branch",Santo Domingo,https://pucesd.edu.ec
Salesian Polytechnic University,Cuenca,https://www.ups.edu.ec
San Francisco University of Quito,Quito,https://www.usfq.edu.ec
San Gregorio University of Portoviejo,Portoviejo,https://sangregorio.edu.ec
SEK International University,Quito,https://www.uisek.edu.ec
Simón Bolívar Andean University Ecuador,Sucre,http://www.uasb.edu.ec
State Technical University of Quevedo,Quevedo,http://www.uteq.edu.ec
State University of Bolívar,Guaranda,http://www.ueb.edu.ec
State University of the Amazon,Pastaza,http://www.uea.edu.ec
State University of the South of Manabi,Jipijapa,http://www.unesum.edu.ec
Technical Business University of Guayaquil,Guayaquil,https://www.uteg.edu.ec
Technical University of Ambato,Ambato,http://www.uta.edu.ec
Technical University of Cotopaxi,Latacunga,http://www.utc.edu.ec
Technical University of Machala,Machala,http://www.utmachala.edu.ec
Technical University of Manabí,Portoviejo,http://www.utm.edu.ec
Technical University of the North,Ibarra,http://www.utn.edu.ec
University of Azuay,Cuenca,https://www.uazuay.edu.ec
University of Cuenca,Cuenca,http://www.ucuenca.edu.ec
University of Guayaquil,Guayaquil,https://www.ug.edu.ec
University of Otavalo,Otavalo,https://www.uotavalo.edu.ec
University of The Americas,Quito,https://www.udla.edu.ec
University of the Hemispheres,Quito,https://www.uhemisferios.edu.ec
University of the Pacific,Quito,https://upacifico.edu.ec
UTE University,Quito,https://www.ute.edu.ec
Vicente Rocafuerte Lay University of Guayaquil,Guayaquil,https://www.ulvr.edu.ec
