institute,city,url
Alexandria University,Alexandria,https://alexu.edu.eg
"Arab Academy for Science, Technology and Maritime Transport",Alexandria,https://aast.edu
Future University in Egypt,New Cairo,https://www.fue.edu.eg
Misr University for Science and Technology,6th of October City,https://www.must.edu.eg
University of Sadat City,Sadat City,http://usc.edu.eg
Ahram Canadian University,6th of October City,http://www.acu.edu.eg
Ain Shams University,Cairo,http://www.asu.edu.eg
Al-Azhar University,Cairo,http://www.azhar.edu.eg
Alsun Academy,Cairo,http://alalson.edu.eg
Arab Open University - Egypt Branch,Cairo,http://www.aou.edu.eg
Assiut University,Assiut,http://www.aun.edu.eg
Aswan University,Aswan,http://www.aswu.edu.eg
Benha University,Benha,http://www.bu.edu.eg/en
Beni-Suef University,Beni-Suef,http://www.bsu.edu.eg/default.aspx
Cairo University,Giza,http://www.cu.edu.eg
Damanhour University,Damanhour,http://www.damanhour.edu.eg/en/pages/default.aspx
Delta University for Science and Technology,El Mansourah,http://deltauniv.edu.eg
Deraya University,New Minya,https://deraya.edu.eg
Egypt-Japan University for Science and Technology,Alexandria,https://ejust.edu.eg
Egyptian E-Learning University,Giza,http://www.eelu.edu.eg
Egyptian Russian University,Badr City,http://eru.edu.eg
El Shorouk Academy,El Shorouk,http://sha.edu.eg
Fayoum University,Fayoum,http://www.fayoum.edu.eg
French University in Egypt,Shorouk City,http://www.ufe.edu.eg
Heliopolis University,Cairo,http://www.hu.edu.eg
Helwan University,Helwan,http://www.helwan.edu.eg
Higher Technological Institute,10th of Ramadan City,http://www.hti.edu.eg
International Academy for Engineering and Media Science,6th of October City,http://www.iams.edu.eg
Kafr El Shiekh University,Kafr Al-Sheikh,http://www.kfs.edu.eg
Mansoura University,Mansoura,http://www.mans.edu.eg
Menoufia University,Shebin Al-Kom,http://www.menofia.edu.eg
Minia University,El-Minia,http://www.minia.edu.eg
Misr International University,Cairo,http://www.miuegypt.edu.eg
Modern Academy,New Maadi,http://www.modern-academy.edu.eg
Modern University for Technology and Information,Cairo,http://www.mti.edu.eg
Nahda University,Beni-Suef,http://www.nahdauniversity.org
National Telecommunications Institute,Cairo,http://www.nti.sci.eg
Nile University,6th of October City,http://www.nileu.edu.eg
October 6 University,6th of October City,http://www.o6u.edu.eg
October High Institute for Engineering and Technology,6th of October City,http://www.hiinstitutearch.com
October University for Modern Sciences and Arts,6th of October City,https://msa.edu.eg/msauniversity
Pharos University in Alexandria,Alexandria,http://www.pua.edu.eg
Port-Said University,Port-Said,http://www.psu.edu.eg/en
Sadat Academy for Management Sciences,Cairo,http://www.sams.edu.eg
Senghor International University,Alexandria,http://www.usenghor-francophonie.org
Sinai University,Cairo,http://www.su.edu.eg
Sohag University,Sohag,http://www.sohag-univ.edu.eg
South Valley University,Qena,http://www.svu.edu.eg
Suez Canal University,Esmaailya,http://www.scuegypt.edu.eg
Suez University,Suez,http://suezuniv.edu.eg/en
Tabbin Institute for Metallurgical Studies,Cairo,http://www.tims.gov.eg
Tanta University,Tanta,http://www.tanta.edu.eg
The American University in Cairo,New Cairo,http://www.aucegypt.edu
The British University in Egypt,El-Sherouk City,http://www.bue.edu.eg
The German University in Cairo,New Cairo City,http://www.guc.edu.eg
Workers University,Cairo,http://wea-edu.com
Zagazig University,Zagazig,http://www.zu.edu.eg
Zewail City of Science and Technology,6th of October City,https://www.zewailcity.edu.eg/main/content.php?lang=en&alias=university_of_science_and_technology
