institute,city,url
Albert Einstein University,Antiguo Cuscatlán,https://www.uae.edu.sv
Alberto Masferrer Salvadorean University,San Salvador,https://www.usam.edu.sv
Autonomous University of Santa Ana,Santa Ana,http://www.unasa.edu.sv
Captain General Gerardo Barrios University,San Miguel,https://www.ugb.edu.sv
Catholic University of El Salvador,Santa Ana,https://www.catolica.edu.sv
Christian University of the Assemblies of God,San Salvador,http://www.ucad.edu.sv
Don Bosco University,Soyapango,https://www.udb.edu.sv
Dr. Andrés Bello University,San Salvador,https://www.unab.edu.sv
Dr. José Matías Delgado University,Antiguo Cuscatlán,https://www.ujmd.edu.sv
Evangelical University of El Salvador,San Salvador,https://www.uees.edu.sv
Francisco Gavidia University,San Salvador,http://www.ufg.edu.sv
Holy Spirit Specialized Institute of Higher Education,Ciudad Merliot,https://www.ieeses.edu.sv
Institute of Economics and Business Administration,Antiguo Cuscatlán,http://www.iseade.edu.sv
ITCA-FEPADE Specialized Engineering School,Santa Tecla,https://www.itca.edu.sv
José Simeón Cañas Central American University,Antiguo Cuscatlán,https://uca.edu.sv
Latin American Technical University,Santa Tecla,http://www.utla.edu.sv
Lutheran Salvadorean University,San Salvador,https://uls.edu.sv
Mónica Herrera School of Communication Studies,Santa Tecla,https://monicaherrera.edu.sv
Monseñor Oscar Arnulfo Romero University,Chalatenango,http://www.umoar.edu.sv
New University San Salvador,San Salvador,http://www.unssa.edu.sv
Open University of San Salvador,San Salvador,https://www.uma.edu.sv
Panamerican University,San Salvador,http://www.upan.edu.sv
Pedagogical University of El Salvador,Colonia Médica,http://www.pedagogica.edu.sv
Polytechnic University of El Salvador,San Salvador,http://www.upes.edu.sv
Salvadoran American Cultural Centre,San Salvador,https://www.iensccsa.edu.sv
School of Economics and Commerce,Santa Tecla,https://www.esen.edu.sv
Specialized Institute of Health Professionals,San Salvador,https://www.ieproes.edu.sv
Specialized Institute of Higher Education for Diplomatic Training,Antiguo Cuscatlán,https://ieesford.edu.sv
University of El Salvador,San Salvador,https://www.ues.edu.sv
University of Sonsonate,Sonsonate,https://www.usonsonate.edu.sv
University of Technology of El Salvador,San Salvador,https://www.utec.edu.sv
University of the East,San Miguel,https://www.univo.edu.sv
