institute,city,url
Estonian Academy of Arts,Tallinn,http://www.artun.ee
Estonian Academy of Music and Theatre,Tallinn,http://www.ema.edu.ee
Estonian Aviation Academy,Tartu,http://www.eava.ee
Estonian Business School,Tallinn,http://www.ebs.ee
Estonian Entrepreneurship University of Applied Sciences,Tallinn,http://www.eek.ee/
Estonian University of Life Sciences,Tartu,http://www.emu.ee
Euroacademy,Tallinn,http://www.eurouniv.ee
Tallinn University,Tallinn,http://www.tlu.ee
Tallinn University of Technology,Tallinn,http://www.ttu.ee
University of Tartu,Tartu,http://www.ut.ee
