institute,city,url
Bahir Dar University,Bahir Dar,https://www.bdu.edu.et
Gamby College of Medical Sciences,Bahir Dar,https://gambyteachinghospital.com
Hawassa University,Hawassa,https://www.hu.edu.et
St. Mary's University,Addis Ababa,https://www.smuc.edu.et
Adama General Hospital and Medical College,Adama,Webpage-Not-Found
Adama Science and Technology University,Nazareth,http://www.astu.edu.et
Addis Ababa Medical University College,Addis Ababa,http://aamuc.com
Addis Ababa Science and Technology University,Addis Ababa,http://www.aastu.edu.et
Addis Ababa University,Addis Ababa,http://www.aau.edu.et
Addis College,Addis Ababa,http://www.addiscollege.edu.et
Addis Continental Institute of Public Health,Addis Ababa,http://addiscontinental.edu.et
Adigrat University,Adigrat,http://www.adu.edu.et
Admas University,Hargeisa,http://www.admasuniversity.com
Africa Beza University College,Addis Ababa,http://www.africabezauc.edu.et
Aksum University,Axum,Webpage-Not-Found
Alkan University College,Addis Ababa,Webpage-Not-Found
Alpha University College,Addis Ababa,http://www.alphauniversitycollege.edu.et
Ambo University,Ambo,http://www.ambou.edu.et
Arba Minch University,Arba Minch,http://www.amu.edu.et
Assosa University,Assosa,https://www.asu.edu.et
Atlas University College,Hawassa,Webpage-Not-Found
Bethel Medical College,Addis Ababa,Webpage-Not-Found
Bule Hora University,Bule Hora,http://www.bhu.edu.et
CPU Business and Information Technology College,Arat Kilo,http://www.cpucollege.com
Debre Berhan University,Debre Berhan,http://www.dbu.edu.et
Debre Markos University,Debre Markos,http://www.dmu.edu.et
Debre Tabor University,Debre Tabor,http://www.dtu.edu.et
Dilla University,Dilla,http://www.du.edu.et
Dire Dawa University,Dire Dawa,http://www.ddu.edu.et
Dynamic International University College(Andinet International University College),Addis Ababa,www.aiuc2010.com
ECUSTA Higher Learning Institute,Abba Tekle Mekonnen,http://www.ecustaedu.org
Ethiopia Adventist College,Kuyera,http://ethiopiaadventistcollege.com
Bahir Dar University,Bahir Dar,https://www.bdu.edu.et
Gamby College of Medical Sciences,Bahir Dar,https://gambyteachinghospital.com
Hawassa University,Hawassa,https://www.hu.edu.et
St. Mary's University,Addis Ababa,https://www.smuc.edu.et
Adama General Hospital and Medical College,Adama,Webpage-Not-Found
Adama Science and Technology University,Nazareth,http://www.astu.edu.et
Addis Ababa Medical University College,Addis Ababa,http://aamuc.com
Addis Ababa Science and Technology University,Addis Ababa,http://www.aastu.edu.et
Addis Ababa University,Addis Ababa,http://www.aau.edu.et
Addis College,Addis Ababa,http://www.addiscollege.edu.et
Addis Continental Institute of Public Health,Addis Ababa,http://addiscontinental.edu.et
Adigrat University,Adigrat,http://www.adu.edu.et
Admas University,Hargeisa,http://www.admasuniversity.com
Africa Beza University College,Addis Ababa,http://www.africabezauc.edu.et
Aksum University,Axum,Webpage-Not-Found
Alkan University College,Addis Ababa,Webpage-Not-Found
Bahir Dar University,Bahir Dar,https://www.bdu.edu.et
Gamby College of Medical Sciences,Bahir Dar,https://gambyteachinghospital.com
