institute,city,url
Haaga-Helia University of Applied Sciences,Helsinki,https://www.haaga-helia.fi/en
Hanken School of Economics,Helsinki,https://www.hanken.fi/en
University of Helsinki,Helsinki,https://www.helsinki.fi
University of Jyväskylä,Jyväskylä,https://www.jyu.fi
University of Lapland,Rovaniemi,https://www.ulapland.fi
University of Vaasa,Vaasa,https://www.uwasa.fi
Aalto University,Espoo,http://www.aalto.fi/fi
Åbo Akademi University,Turku,https://www.abo.fi
Arcada University of Applied Sciences,Helsinki,http://www.arcada.fi
Centria University of Applied Sciences,Kokkola,https://web.centria.fi
Diaconia University of Applied Sciences,Helsinki,http://www.diak.fi
Häme University of Applied Sciences,Hämeenlinna,http://www.hamk.fi
HUMAK University of Applied Sciences,Helsinki,https://www.humak.fi/en
JAMK University of Applied Sciences,Jyväskylä,http://www.jamk.fi
Kajaani University of Applied Sciences,Kajaani,http://www.kajak.fi
Karelia University of Applied Sciences,Joensuu,http://www.karelia.fi
LAB University of Applied Sciences,Lahti,https://lab.fi/fi
Lapland University of Applied Sciences,Rovaniemi,http://www.lapinamk.fi/fi
Laurea University of Applied Sciences,Vantaa,http://www.laurea.fi
LUT University,Lappeenranta,http://www.lut.fi
Metropolia University of Applied Sciences,Metropolia,http://www.metropolia.fi
Novia University of Applied Sciences,Vaasa,http://www.novia.fi
Oulu University of Applied Sciences,Oulu,http://www.oamk.fi
Satakunta University of Applied Sciences,Pori,http://www.samk.fi
Savonia University of Applied Sciences,Kuopio,http://www.savonia.fi
Seinäjoki University of Applied Sciences,Seinäjoki,http://www.seamk.fi
South-Eastern Finland University of Applied Sciences,Mikkeli,https://www.xamk.fi
Tampere University,Tampere,https://www.tuni.fi
Tampere University of Applied Sciences,Tampere,https://www.tuni.fi/en/about-us/tamk
Turku University of Applied Sciences,Turku,http://www.turkuamk.fi
University of Eastern Finland,Kuopio,https://www.uef.fi
University of Oulu,Oulu,http://www.oulu.fi/yliopisto
University of the Arts Helsinki,Helsinki,http://www.uniarts.fi
University of Turku,Turku,https://www.utu.fi
Vaasa University of Applied Sciences,Vaasa,http://www.puv.fi/fi
