institute,city,url
African Institute of Computer Science,Libreville,http://iai-siege.com
African University of Sciences,Libreville,http://uas-iae.org/presentation.html
BGFI Business School,Libreville,http://bbs-cfb.com
Franco-American Academy of Management,Libreville,http://aframschool.com
International Centre for Medical Research of Franceville,Franceville,http://www.cirmf.org
Management School of Gabon,Libreville,Webpage-Not-Found
National School of Forestry and Water Management,Libreville,Webpage-Not-Found
National School of Public Administration,Libreville,http://www.enagabon.com
Omar Bongo University,Libreville,http://www.uob.ga
Saint-Exupery French-Gabonese University,Libreville,http://www.ufgse.org
Schoo of Informatics Management and Computer Sciences,Libreville,http://www.esgis.org
Teacher Training School of Libreville,Libreville,Webpage-Not-Found
Technical Teachers Training School,Libreville,Webpage-Not-Found
University of Applied Computer Science,Libreville,Webpage-Not-Found
University of Health Sciences,Libreville,http://www.uss.ga
University of Science and Techniques of Masuku,Franceville,http://www.univ-masuku.ga
