institute,city,url
Ilia State University,Tbilisi,https://iliauni.edu.ge
Ivane Javakhishvili Tbilisi State University,Tbilisi,https://www.tsu.ge
New Vision University,Tbilisi,https://newvision.ge
Agricultural University of Georgia,Tbilisi,http://www.agruni.edu.ge/en
Akaki Tsereteli State University,Kutaisi,http://www.atsu.edu.ge/index_eng.php
Apolon Kutateladze Tbilisi State Academy of Arts,Tbilisi,http://www.art.edu.ge
Bank of Georgia University,Tbilisi,http://bog.edu.ge
Batumi Art Teaching University,Batumi,http://www.batu.edu.ge
Batumi Navigation Teaching University,Batumi,http://www.bntu.edu.ge
Batumi Shota Rustaveli State University,Batumi,http://www.bsu.ge
Batumi State Maritime Academy,Batumi,http://www.bsma.edu.ge/index.php?lang=en
BAU International University,Batumi,https://bauinternational.edu.ge
Caucasus International University,Tbilisi,http://www.ciu.edu.ge
Caucasus University,Tbilisi,http://www.cu.edu.ge
David Aghmashenebeli University of Georgia,Tbilisi,http://www.sdasu.edu.ge
Ilia State University,Tbilisi,https://iliauni.edu.ge
Ivane Javakhishvili Tbilisi State University,Tbilisi,https://www.tsu.ge
New Vision University,Tbilisi,https://newvision.ge
Agricultural University of Georgia,Tbilisi,http://www.agruni.edu.ge/en
Akaki Tsereteli State University,Kutaisi,http://www.atsu.edu.ge/index_eng.php
Apolon Kutateladze Tbilisi State Academy of Arts,Tbilisi,http://www.art.edu.ge
Bank of Georgia University,Tbilisi,http://bog.edu.ge
Batumi Art Teaching University,Batumi,http://www.batu.edu.ge
Batumi Navigation Teaching University,Batumi,http://www.bntu.edu.ge
Batumi Shota Rustaveli State University,Batumi,http://www.bsu.ge
Batumi State Maritime Academy,Batumi,http://www.bsma.edu.ge/index.php?lang=en
BAU International University,Batumi,https://bauinternational.edu.ge
Caucasus International University,Tbilisi,http://www.ciu.edu.ge
Caucasus University,Tbilisi,http://www.cu.edu.ge
David Aghmashenebeli University of Georgia,Tbilisi,http://www.sdasu.edu.ge
David Tvildiani Medical University,Tbilisi,http://dtmu.ge
East European University,Tbilisi,https://eeu.edu.ge
European University,Tbilisi,https://eu.edu.ge/en
Free University of Tbilisi,Tbilisi,http://www.freeuni.edu.ge
Georgian Aviation University,Tbilisi,http://www.ssu.edu.ge
Georgian Institute of Public Affairs,Tbilisi,https://gipa.ge
Georgian National University SEU,Tbilisi,http://www.seu.edu.ge
Georgian State Teaching University of Physical Education and Sport,Tbilisi,http://www.sportuni.ge
Georgian Technical University,Tbilisi,http://www.gtu.ge
Georgian-American University,Tbilisi,https://www.gau.edu.ge
Gori State Teaching University,Gori,http://www.gu.edu.ge/en
Grigol Robakidze University,Tbilisi,http://www.gruni.edu.ge
Guram Tavartkiladze Tbilisi Teaching University,Tbilisi,http://www.tbuniver.edu.ge
Iakob Gogebashvili Telavi State University,Telavi,http://www.tesau.edu.ge
International Black Sea University,Tbilisi,http://www.ibsu.edu.ge
Kutaisi University,Kutaisi,http://www.unik.edu.ge
Petre Shotadze Tbilisi Medical Academy,Tbilisi,http://www.tma.edu.ge
Saint Andrew the First-Called Georgian University of the Patriarchate of Georgia,Tbilisi,http://www.sangu.ge
Saint King Tamar University of Patriarchate of Georgia,Tbilisi,http://www.king-tamar.net
Samtskhe-Javakheti State University,Akhaltsikhe,http://www.sjuni.edu.ge
Ilia State University,Tbilisi,https://iliauni.edu.ge
Ivane Javakhishvili Tbilisi State University,Tbilisi,https://www.tsu.ge
New Vision University,Tbilisi,https://newvision.ge
Agricultural University of Georgia,Tbilisi,http://www.agruni.edu.ge/en
Akaki Tsereteli State University,Kutaisi,http://www.atsu.edu.ge/index_eng.php
Apolon Kutateladze Tbilisi State Academy of Arts,Tbilisi,http://www.art.edu.ge
Bank of Georgia University,Tbilisi,http://bog.edu.ge
Batumi Art Teaching University,Batumi,http://www.batu.edu.ge
Batumi Navigation Teaching University,Batumi,http://www.bntu.edu.ge
Batumi Shota Rustaveli State University,Batumi,http://www.bsu.ge
Batumi State Maritime Academy,Batumi,http://www.bsma.edu.ge/index.php?lang=en
BAU International University,Batumi,https://bauinternational.edu.ge
Caucasus International University,Tbilisi,http://www.ciu.edu.ge
Caucasus University,Tbilisi,http://www.cu.edu.ge
David Aghmashenebeli University of Georgia,Tbilisi,http://www.sdasu.edu.ge
David Tvildiani Medical University,Tbilisi,http://dtmu.ge
East European University,Tbilisi,https://eeu.edu.ge
European University,Tbilisi,https://eu.edu.ge/en
Free University of Tbilisi,Tbilisi,http://www.freeuni.edu.ge
Georgian Aviation University,Tbilisi,http://www.ssu.edu.ge
Georgian Institute of Public Affairs,Tbilisi,https://gipa.ge
Georgian National University SEU,Tbilisi,http://www.seu.edu.ge
Georgian State Teaching University of Physical Education and Sport,Tbilisi,http://www.sportuni.ge
Georgian Technical University,Tbilisi,http://www.gtu.ge
Georgian-American University,Tbilisi,https://www.gau.edu.ge
Gori State Teaching University,Gori,http://www.gu.edu.ge/en
Grigol Robakidze University,Tbilisi,http://www.gruni.edu.ge
Guram Tavartkiladze Tbilisi Teaching University,Tbilisi,http://www.tbuniver.edu.ge
Iakob Gogebashvili Telavi State University,Telavi,http://www.tesau.edu.ge
International Black Sea University,Tbilisi,http://www.ibsu.edu.ge
Kutaisi University,Kutaisi,http://www.unik.edu.ge
Petre Shotadze Tbilisi Medical Academy,Tbilisi,http://www.tma.edu.ge
Saint Andrew the First-Called Georgian University of the Patriarchate of Georgia,Tbilisi,http://www.sangu.ge
Saint King Tamar University of Patriarchate of Georgia,Tbilisi,http://www.king-tamar.net
Samtskhe-Javakheti State University,Akhaltsikhe,http://www.sjuni.edu.ge
Shota Meskhia State Teaching University of Zugdidi,Zugdidi,http://www.zssu.ge
Shota Rustaveli Theatre and Film Georgia State University,Tbilisi,http://www.tafu.edu.ge
Sokhumi State University,Sukhumi,http://www.sou.edu.ge
Sulkhan-Saba Orbeliani University,Tbilisi,http://www.sabauni.edu.ge
Tbel Abuserisdze Teaching University of Georgian Patriarchate,Shuakhevi,http://www.tbeli.ge
Tbilisi David Agmashenebeli Teaching University,Tbilisi,https://www.tdasu.edu.ge
Tbilisi Humanitarian Teaching University,Tbilisi,http://www.thu.edu.ge
Tbilisi Open Teaching University,Tbilisi,http://www.openuni.edu.ge
Tbilisi State Medical University,Tbilisi,http://www.tsmu.edu
Teaching University Geomedi,Tbilisi,http://geosis.edu.ge
University of Business and Technology,Tbilisi,https://btu.edu.ge
University of Georgia,Tbilisi,https://www.ug.edu.ge
V.Sarajishvili Tbilisi State Conservatoire,Tbilisi,http://www.conservatoire.edu.ge
