institute,city,url
Darmstadt University of Applied Sciences,Darmstadt,https://h-da.de
Heidelberg University,Heidelberg,https://www.uni-heidelberg.de
Humboldt University Berlin,Berlin,https://www.hu-berlin.de
Leuphana University of Lüneburg,Lüneburg,https://www.leuphana.de
Otto-Friedrich University Bamberg,Bamberg,https://www.uni-bamberg.de
University of Applied Sciences Berlin,Berlin,https://www.htw-berlin.de
University of Education Heidelberg,Heidelberg,https://www.ph-heidelberg.de
University of Freiburg,Freiburg im Breisgau,http://www.uni-freiburg.de
University of Vechta,Vechta,https://www.uni-vechta.de
University of Wuppertal,Wuppertal,https://www.uni-wuppertal.de
'Konrad Wolf' Film University Babelsberg,Potsdam-Babelsberg,http://www.filmuniversitaet.de
Aachen University of Applied Sciences,Aachen,http://www.fh-aachen.de
Aalen University,Aalen,https://www.hs-aalen.de
Academy of Fine Arts Leipzig,Leipzig,http://www.hgb-leipzig.de
Academy of Fine Arts Munich,München,http://www.adbk.de
"Academy of Fine Arts, Nuremberg",Nürnberg,http://www.adbk-nuernberg.de
Academy of Media Arts Cologne,Köln,http://www.khm.de
Academy of Music Hanns Eisler Berlin,Berlin,http://www.hfm-berlin.de
Accadis University of Applied Sciences Bad Homburg,Bad Homburg,http://www.accadis.com
AKAD University of Applied Sciences in Stuttgart,Stuttgart,https://www.akad.de
Akkon University of Human Sciences,Berlin,https://www.akkon-hochschule.de
Alanus University of Arts and Social Sciences,Alfter bei Bonn,http://www.alanus.edu
Albstadt-Sigmaringen University,Sigmaringen,http://www.hs-albsig.de
Alice Salomon University of Applied Sciences Berlin,Berlin,http://www.ash-berlin.eu
Allensbach University,Konstanz,https://www.allensbach-hochschule.de
Anhalt University of Applied Sciences,Köthen,http://www.hs-anhalt.de
Ansbach University of Applied Sciences,Ansbach,http://www.hs-ansbach.de
APOLLON University of Health Management,Bremen,http://www.apollon-hochschule.de
Art Academy of Karlsruhe,Karlsruhe,http://www.kunstakademie-karlsruhe.de
Aschaffenburg University of Applied Sciences,Aschaffenburg,www.h-ab.de
Augsburg University of Applied Sciences,Augsburg,http://www.hs-augsburg.de
Baden-Wuerttemberg Cooperative State University,Stuttgart,http://www.dhbw.de
Barenboim-Said Academy,Berlin,http://www.barenboimsaid.de
Bauhaus-Universität Weimar,Weimar,https://www.uni-weimar.de
Bavarian University of Applied Sciences,München,https://www.hdbw-hochschule.de
bbw University of Applied Sciences,Berlin-Karlshorst,http://www.bbw-hochschule.de
Berlin International University of Applied Sciences,Berlin,https://www.berlin-international.de
Berlin School of Economics and Law,Berlin,http://www.hwr-berlin.de
Berlin University of Technology,Berlin,http://www.tu-berlin.de
Berlin University of the Arts,Berlin,http://www.udk-berlin.de
Berlin-Weissensee School of Art,Berlin,http://www.kh-berlin.de
Beuth University of Applied Sciences Berlin,Berlin,http://www.beuth-hochschule.de
Biberach University of Applied Sciences,Biberach,http://www.hochschule-biberach.de
Bielefeld University,Bielefeld,http://www.uni-bielefeld.de
Bielefeld University of Applied Sciences,Bielefeld,http://www.fh-bielefeld.de
Bingen Technical University of Applied Sciences,Bingen am Rhein,https://www.th-bingen.de/en
Bochum University of Applied Sciences,Bochum,http://www.hochschule-bochum.de
Bonn-Rhein-Sieg University of Applied Sciences,Sankt Augustin,https://h-brs.de/de
Brand University of Applied Sciences,Hamburg,http://www.brand-university.de
Brandenburg Medical School Theodor Fontane,Neuruppin,https://www.mhb-fontane.de
Brandenburg University of Applied Sciences,Brandenburg an der Havel,https://www.th-brandenburg.de
Brandenburg University of Technology Cottbus-Senftenberg,Cottbus,https://www.b-tu.de
Braunschweig University of Art,Braunschweig,http://www.hbk-bs.de
Bremen University of Applied Sciences,Bremen,http://www.hs-bremen.de
Bremerhaven University of Applied Sciences,Bremerhaven,http://www.hs-bremerhaven.de
BSP Business School Berlin,Berlin,https://www.businessschool-berlin.de
