institute,city,url
Kwame Nkrumah University of Science and Technology,Kumasi,https://www.knust.edu.gh
University for Development Studies,Tamale,http://www.uds.edu.gh
University of Cape Coast,Cape Coast,https://www.ucc.edu.gh
University of Ghana,Accra,https://www.ug.edu.gh
University of Mines and Technology,Tarkwa,https://www.umat.edu.gh
University of Professional Studies,Legon,https://upsa.edu.gh
Academic City College,Accra,http://www.accghana.com
Accra Institute of Technology,Accra-North,http://www.ait.edu.gh
Accra Technical University,Accra,http://www.atu.edu.gh
Advanced Business College,Accra,http://www.advancedbusinesscollege.com
African University College of Communications,Legon,http://www.aucc.edu.gh
Akim State University College,Akim Oda,http://www.asuc.edu.gh
All Nations University,Koforidua,https://anu.edu.gh
Almond Institute,Accra,http://www.almond.edu.gh
Anglican University College of Technology,Accra,http://angutech.edu.gh
Ashesi University College,Accra,http://www.ashesi.edu.gh
Baldwin College,Accra,http://www.baldwin.edu.gh
BlueCrest College,Accra,https://www.bluecrest.edu.gh
Bolgatanga Polytechnic,Bolgatanga,http://www.bpoly.edu.gh
Cape Coast Technical University,Cape Coast,http://cpoly.edu.gh/cctu.edu.gh
Catholic Institute of Business and Technology,Accra,http://www.cibtghana.net
Catholic University College of Ghana,Sunyani,http://www.cug.edu.gh
Central University,Accra,http://central.edu.gh
Christ Apostolic University College,Kumasi,http://www.cauc.edu.gh
Christian Service University College,Kumasi,http://www.csuc.edu.gh
CSIR College of Science and Technology,Accra,http://www.ccst.edu.gh
Data Link Institute,Tema,http://www.datalink.edu.gh
Dominion University College,Accra,http://www.duc.edu.gh
Entrepreneurship Training Institute,Accra,http://eti.edu.gh
Evangelical Presbyterian University College,Ho-Volta Region,http://www.epuc.edu.gh
Family Health University College,Accra,https://fhu.edu.gh
Fountainhead Christian College,Tema,http://www.fcuc.edu.gh
Garden City University College,Kumasi,http://www.gcuc.edu.gh
Ghana Christian University College,Accra,http://www.ghanacu.net
Ghana Institute of Journalism,Accra,http://www.gij.edu.gh
Ghana Institute of Management and Public Administration,Accra,http://www.gimpa.edu.gh
Ghana Technology University College,Accra-North,http://www.gtuc.edu.gh
Golden Sunbeam International College of Science and Technology,Accra,http://www.goldensunbeamuniversity.edu.gh
Heritage Christian College,Accra,http://hcuc.edu.gh
Ho Technical University,Ho,https://htu.edu.gh
Institute of Development and Technology Management,Cape Coast,http://idtm.edu.gh
Institute of Local Government Studies,Legon,http://www.ilgs-edu.org
KAAF University College,Accra,https://www.kaafuniversitycollege.edu.gh
Kings University College,Accra,http://www.kuc.edu.gh
Knutsford University College,Accra-North,http://www.knutsford.edu.gh
Kofi Annan International Peacekeeping Training Center,Accra,http://www.kaiptc.org
Koforidua Technical University,Koforidua,http://ktu.edu.gh
Kumasi Technical University,Kumasi,https://kstu.edu.gh
Marshalls College,Accra,http://www.marshalls.edu.gh
Medicare College of Applied Sciences,Kumasi,http://medicarecollege.edu.gh
Methodist University College,Accra,http://www.mucg.edu.gh
MountCrest University College,Kanda-Accra,http://www.mountcrestuniversity.com
National Film and Television Institute,Accra,http://www.nafti.edu.gh
Nyansapo College,Accra,http://nyansapocollege.edu.gh
Organization Development Institute,Accra,http://www.odinstitute.edu.gh
Pentecost University College,Accra,http://www.pentvars.edu.gh
Perez University College,Winneba,http://www.peruc.edu.gh
Presbyterian University College,Abetifi-Kwahu,http://www.presbyuniversity.edu.gh
Princefield College of Health and Research Institute,Ho-Volta,http://www.pu.edu.gh
Radford University College,Accra,http://www.radforduc.edu.gh
Regent University College of Science and Technology,Accra,http://regent.edu.gh
Regional Maritime University,Accra,http://www.rmu.edu.gh
Spiritan University College,Ejisu-Ashanti,http://suc.edu.gh
St Karol School of Nursing,Accra-North,http://www.stkarol.com
Takoradi Technical University,Takoradi,http://ttu.edu.gh
Tamale Technical University,Tamale,http://www.tatu.edu.gh
Technical University College of Tamale,Tamale,www.tuct-tamale.org
University College of Agriculture and Environmental Studies,Bunso,http://ucaes.edu.gh
"University of Education, Winneba",Winneba,http://www.uew.edu.gh
University of Energy and Natural Resources,Sunyani,http://uenr.edu.gh
University of Health and Allied Sciences,Ho,http://www.uhas.edu.gh
Valley View University,Accra,http://www.vvu.edu.gh
West End University College,Accra North,http://www.weuc.edu.gh
Wisconsin International University College,Accra,http://www.wiuc-ghana.edu.gh
Withrow University College,Ashanti,http://withrowuniversitycollege.edu.gh
Zenith University College,Accra,http://www.zenithuniversitycollege.org
