institute,city,url
Aristotle University of Thessaloniki,Thessaloniki,https://www.auth.gr
National and Kapodistrian University of Athens,Athens,http://www.uoa.gr
University of Piraeus,Piraeus,https://www.unipi.gr/unipi
University of West Attica,Athens,https://www.uniwa.gr
Agricultural University of Athens,Athinai,http://www.aua.gr
Athens School of Fine Arts,Athinai,http://www.asfa.gr
Athens University of Economics and Business,Athinai,http://www.aueb.gr
Democritus University of Thrace,Komotini,http://duth.gr
Harokopio University,Athinai,http://www.hua.gr
Hellenic Open University,Patra,http://www.eap.gr
International Hellenic University,Thermi,http://www.ihu.edu.gr
Ionian University,Corfu,http://www.ionio.gr
National Technical University of Athens,Zografou,http://www.ntua.gr
Panteion University of Economics and Political Science,Athinai,http://www.panteion.gr
School of Pedagogical and Technological Education,Athens,http://www.aspete.gr/
Technical University of Crete,Chania,http://www.tuc.gr
Technological Educational Institute of Crete,Heraklion,http://www.teicrete.gr
Technological Educational Institute of Western Greece,Patras,http://www.teiwest.gr/index.php/en/
University of Crete,Rethymnon,http://www.uoc.gr
University of Ioannina,Ioannina,http://www.uoi.gr
University of Macedonia,Thessaloniki,http://www.uom.gr
University of Patras,Rio Achaia,http://www.upatras.gr
University of the Aegean,Mytilene,http://www.aegean.gr
University of the Peloponnese,Tripoli,http://www.uop.gr
University of Thessaly,Volos,http://www.uth.gr
University of Western Macedonia,Kozani,http://www.uowm.gr
