institute,city,url
Da Vinci University of Guatemala,Huehuetenango,https://udv.edu.gt
Francisco Marroquín University,Guatemala City,http://www.ufm.edu.gt
Galileo University,Guatemala City,https://www.galileo.edu
InterNations University,Acatán,https://uni.edu.gt
Mariano Gálvez University of Guatemala,Guatemala City,https://www.umg.edu.gt
Mesoamerican University,Guatemala City,https://www.umes.edu.gt
"Mesoamerican University
Salesian Centre for Higher Studies",Guatemala City,https://www.umes.edu.gt/sedes/sede-censes
"Mesoamerican University
Alta Verapaz Branch",Carchá,https://www.umes.edu.gt/sedes/sede-alta-verapaz
"Mesoamerican University
Morales Izabal Branch",Morales,https://infoizabal.wixsite.com/website
"Mesoamerican University
Quezaltenango Branch",Quezaltenango,https://www.mesoamericana.edu.gt
Panamerican University,Guatemala City,https://www.upana.edu.gt
Rafael Landívar University,Guatemala City,https://principal.url.edu.gt
"Rafael Landívar University
Quetzaltenango Campus",Quetzaltenango,https://principal.url.edu.gt/campus-y-sedes/campus-de-quetzaltenango
"Rafael Landívar University
P. César Augusto Jerez García, S. J. de Quiché Campus",Santa Cruz del Quiché,https://principal.url.edu.gt/campus-y-sedes/cmapus-p-cesar-augusto-jerez-garcia-s-j-de-quiche
"Rafael Landívar University
San Luis Gonzaga, S. J. de Zacapa Campus",Zacapa,https://principal.url.edu.gt/campus-y-sedes/campus-san-luis-gonzaga-s-j-de-zacapa
"Rafael Landívar University
San Pedro Claver, S. J. de La Verapaz Campus",Alta Verapaz,https://principal.url.edu.gt/campus-y-sedes/campus-san-pedro-claver-s-j-de-la-verapaz
"Rafael Landívar University
San Roque González de Santa Cruz, S. J. de Huehuetenango Campus",Huehuetenango,https://principal.url.edu.gt/campus-y-sedes/campus-san-roque-gonzalez-de-santa-cruz-s-j-de-huehuetenango
"Rafael Landívar University
Escuintla Branch",Escuintla,https://principal.url.edu.gt/campus-y-sedes/sede-de-escuintla
"Rafael Landívar University
Jutiapa Branch",Jutiapa,https://principal.url.edu.gt/campus-y-sedes/sede-de-jutiapa
"Rafael Landívar University
La Antigua Branch",Antigua,https://principal.url.edu.gt/campus-y-sedes/sede-de-la-antigua
Regional University of Guatemala,Guatemala City,https://www.uregional.edu.gt
Rural University of Guatemala,Guatemala City,https://urural.edu.gt
San Pablo of Guatemala University,Guatemala City,https://uspg.edu.gt
University of San Carlos of Guatemala,Guatemala City,https://www.usac.edu.gt
"University of San Carlos of Guatemala
Centre for Marine Studies and Aquaculture",Guatemala City,https://cema.usac.edu.gt
"University of San Carlos of Guatemala
University Centre of Baja Verapáz",San Miguel Chicaj,https://cunbav.usac.edu.gt
"University of San Carlos of Guatemala
University Centre of Chimaltenango",Chimaltenango,http://cundech.usac.edu.gt
"University of San Carlos of Guatemala
University Centre of El Progreso",Guastatoya,http://c3.usac.edu.gt/cunprogreso.usac.edu.gt/public_html/
"University of San Carlos of Guatemala
University Centre of Izabal",Izabal,https://cunizab.com
"University of San Carlos of Guatemala
University Centre of Jutiapa",Jutiapa,http://jusac.usac.edu.gt
"University of San Carlos of Guatemala
University Centre of the North-West",Huehuetenango,http://www.cunoroc.edu.gt/joomla30
"University of San Carlos of Guatemala
University Centre of the West",Quetzaltenango,http://www.cunoc.edu.gt
"University of San Carlos of Guatemala
University Centre of the East",Chiquimula,http://cunori.edu.gt
"University of San Carlos of Guatemala
University Centre of Peten",Petén,http://c3.usac.edu.gt/cudep.usac.edu.gt/public_html/
"University of San Carlos of Guatemala
University Centre of Quiché",Santa Cruz del Quiché,http://www.cusacq.usac.edu.gt
"University of San Carlos of Guatemala
University Centre of the South-East",Jalapa,http://cunsurori.usac.edu.gt
"University of San Carlos of Guatemala
University Centre of Totonicapán",Totonicapán,http://cuntoto.usac.edu.gt
"University of San Carlos of Guatemala
University Centre of Zacapa",Zacapa,https://cunzac.usac.edu.gt
