institute,city,url
Amadou Dieng University,Conakry,http://univ-adieng.com
Avicenne University,Conakry,Webpage-Not-Found
Barack Obama University,Conakry,http://www.univ-barackobama.com
Catholic University of West Africa,Conakry,http://ucao-uuco.com
El Hadj Bemba Touré University,Kankan,http://www.mbembatoure.com
Galileo Institute of Computer Science and Engineering,Conakry,Webpage-Not-Found
Gamal Abdel Nasser University of Conakry,Conakry,http://uganc.org
General Lansana Conte University,Conakry,http://uglcsonfonia.org
Général Lansana Conté University of Sonfonia,Conakry,www.uglcsonfonia.org
Higher Institute for Distance Education,Conakry,http://www.isfad-gn.org
Higher Institute of Agronomy and Veterinary Medicine of Faranah,Faranah,https://isav.edu.gn
Higher Institute of Architecture and Town Planning of Conakry,Conakry,https://isau.edu.gn
Higher Institute of Educational Sciences of Guinea/Lambandji,Conakry,http://www.isseg-gn.org
Higher Institute of Fine Arts of Guinea,Dubréka,Webpage-Not-Found
Higher Institute of Information and Communication of Kountia - Coyah,Conakry,http://isic-guinee.info
Higher Institute of Mining and Geology of Boké,Boké,http://geominesboke.org
Higher Institute of Science and Veterinary Medicine of Dalaba,Dalaba,Webpage-Not-Found
Higher Institute of Technology of Mamou,Mamou,http://www.istmamou.96.lt
Institute of Computer Science and Management / New Technologies University,Conakry,http://isim-unt.net
Julius N'yéréré University of Kankan,Kankan,http://www.ujnk.org
King Hassan II University,Conakry,http://univ-roihassan2.com
Kofi Annan University of Guinea,Conakry,http://www.univ-kag.org
La Part-Dieu University,Kissidougou,http://lapartdieu.org
La Source University,Conakry,http://www.universitelasource.org
Mercure International University,Conakry,http://www.univmercure-gn.org
Nelson Mandela University,Conakry,http://universite-mandela.com
Nongo Conakry University,Conakry,http://uncgn.com
René Lévesque University,Kipé,http://urenelevesque.com
School of Tourism and Hospitality of Guinea,Conakry,http://www.esthguinee.com
Thierno Amadou Diallo University,Kipé,http://www.utad-petel-edu.org
Thierno Macka Barry University,Dapompa,http://utmakabarry.com
Titi CAMARA University,Conakry,Webpage-Not-Found
University Centre of Kindia,Foulaya,http://www.univ-kindia.org
University Centre of N’Zérékoré,N’Zérékoré,Webpage-Not-Found
University for Community Development,N’Zérékoré,Webpage-Not-Found
University Institute of Advanced Studies of Guinea,Conakry,http://iuheg-info.com
University International College,Conakry,http://universiteunic.com
Winfrey OPRAH University of Guinea,Dubréka,http://www.uwog-edu.com
