institute,city,url
Oriental Pontifical Institute,Roma,http://www.unipio.org
Pontifical Ambrosian Institute of Sacred Music,Milano,http://www.unipiams.org
Pontifical Antonianum University,Roma,http://www.antonianum.eu
Pontifical Biblical Institute,Roma,http://www.biblico.it
"Pontifical Faculty of Educational Sciences ""Auxilium""",Roma,http://www.pfse-auxilium.org
Pontifical Gregorian University,Roma,http://www.unigre.it
Pontifical Institute John Paul II,Città del Vaticano,http://www.istitutogp2.it
Pontifical Institute of Arab and Islamic Studies,Roma,http://www.pisai.it
Pontifical Institute of Christian Archaeology,Roma,http://www.piac.it
Pontifical Institute of Sacred Music,Roma,http://www.musicasacra.va
Pontifical Lateran University,Città del Vaticano,http://www.pul.it
Pontifical Theological Faculty of Sardinia,Cagliari,http://www.pfts.it
Pontifical University of Sant'Anselmo,Roma,http://www.santanselmo.org
Pontifical University of St. Thomas Aquinas,Roma,https://angelicum.it
Pontifical University of the Holy Cross,Roma,https://www.pusc.it
Pontifical University Regina Apostolorum,Roma,https://www.upra.org
Pontifical Urbanian University,Rome,http://www.urbaniana.edu
Salesian Pontifical University,Roma,http://www.unisal.it
Sophia University Institute,Loppiano,http://www.iu-sophia.org
The Faculty of Canon Law Saint Pius X Venice,Venezia,http://fdcmarcianum.it
