institute,city,url
Central American Technological University,Tegucigalpa,https://www.unitec.edu
"Centre for Design, Architecture and Construction",Tegucigalpa,https://www.cedac.edu.hn
Christian University of Honduras,San Pedro Sula,http://www.ucrishedu.org
"Francisco Morazán National Pedagogical University, Tegucigalpa",Tegucigalpa,https://www.upnfm.edu.hn
Honduras Defense University,Tegucigalpa,https://udh.edu.hn
Honduras National Police University,Tegucigalpa,https://unph.edu.hn
Jesus of Nazareth University,San Pedro Sula,https://ujn.edu.hn
"José Cecilio del Valle University, Tegucigalpa",Tegucigalpa,http://www.ujcv.edu.hn
Metropolitan University of Honduras,Tegucigalpa,https://www.unimetro.edu.hn
National Autonomous University of Honduras,Tegucigalpa,https://www.unah.edu.hn
National University of Agriculture,Catacamas,https://portal.unag.edu.hn
National University of Forestry,Siguatepeque,http://www.unacifor.edu.hn
New Millennium Christian Evangelical University,San Pedro Sula,https://web.ucenm.net
Our Lady Queen of Peace Catholic University of Honduras,Tegucigalpa,https://www.unicah.edu
Polytechnic University of Engineering,Comayaguela,https://www.upi.edu.hn
Polytechnic University of Honduras,Tegucigalpa,https://uph.edu.hn
Technological University of Honduras,San Pedro Sula,https://www.uth.hn
University of San Pedro Sula,San Pedro Sula,http://www.usap.edu
Zamorano University,San Antonio de Oriente,https://www.zamorano.edu
