institute,city,url
Budapest Business University,Budapest,https://uni-bge.hu
Budapest University of Technology and Economics,Budapest,https://www.bme.hu
Corvinus University of Budapest,Budapest,https://www.uni-corvinus.hu
Semmelweis University,Budapest,https://semmelweis.hu
University of Pécs,Pécs,https://international.pte.hu
University of Public Service,Budapest,https://www.uni-nke.hu
Andrássy University Budapest,Budapest,http://www.andrassyuni.eu
Apor Vilmos Catholic College,Vác,http://www.avkf.hu
Budapest Metropolitan University,Budapest,http://www.metropolitan.hu
Budapest University of Jewish Studies,Budapest,https://or-zse.hu
College of Szolnok,Szolnok,http://www.szolf.hu/Lapok/default.aspx
Dennis Gabor College,Budapest,http://www.gdf.hu
Dharma Gate Buddhist College,Budapest,http://www.tkbf.eu
Edutus University,Budapest,http://www.edutus.hu
Eötvös József College,Baja,http://www.ejf.hu
Eötvös Loránd University,Budapest,https://www.elte.hu
Eszterházy Károly Catholic University,Eger,https://uni-eszterhazy.hu
Gál Ferenc College,Szeged,http://gff-szeged.hu
Hungarian Dance Academy,Budapest,http://www.mtf.hu
Hungarian University of Agriculture and Life Sciences,Gödöllö,https://uni-mate.hu
Hungarian University of Fine Arts,Budapest,http://www.mke.hu
International Business School,Budapest,https://www.ibs-b.hu
John von Neumann University,Kecskemét,https://nje.hu
Károli Gáspár University of the Reformed Church in Hungary,Budapest,http://www.kre.hu
Kodolányi János University,Budapest,http://www.kodolanyi.hu
Liszt Ferenc Academy of Music,Budapest,https://lfze.hu/hu
Milton Friedman University,Budapest,https://uni-milton.hu
Moholy-Nagy University of Arts,Budapest,http://www.mome.hu
Óbuda University,Budapest,http://www.uni-obuda.hu
Pázmány Péter Catholic University,Budapest,http://www.ppke.hu
Széchenyi István University,Győr,https://uni.sze.hu/kezdolap
University of Debrecen,Debrecen,https://unideb.hu
University of Dunaújváros,Dunaújváros,http://portal.duf.hu
University of Miskolc,Miskolc,http://www.uni-miskolc.hu
University of Nyíregyháza,Nyíregyháza,http://www.nyf.hu
University of Pannonia,Veszprém,http://www.uni-pannon.hu
University of Sopron,Sopron,http://www.uniwest.hu
University of Szeged,Szeged,http://www.u-szeged.hu
