institute,city,url
Adamas University,Kolkata,https://adamasuniversity.ac.in
Anant National University,Ahmedabad,https://anu.edu.in
Assam Don Bosco University,Sonapur,https://www.dbuniversity.ac.in
Babasaheb Bhimrao Ambedkar University,Lucknow,https://www.bbau.ac.in
Banaras Hindu University,Varanasi,https://www.bhu.ac.in
Banasthali University (Deemed to be University),Banasthali Vidyapith,http://www.banasthali.org
Birla Institute of Management Technology,Greater Noida,https://www.bimtech.ac.in
Birla Institute of Technology and Science,Pilani,https://www.bits-pilani.ac.in
Central University of Tibetan Studies (Deemed to be University),Varanasi,https://www.cihts.ac.in
Chandigarh University,Mohali,https://www.cuchd.in
Chettinad Academy of Research and Education,Chennai,https://care.edu.in
CMR University,Bangalore,https://www.cmr.edu.in
Dr. B.R. Ambedkar University,Delhi,https://aud.ac.in
G.D. Goenka University,Sohna,https://www.gdgoenkauniversity.com
Ganpat University,Meshana,http://www.ganpatuniversity.ac.in
GLA University,Mathura,https://www.gla.ac.in
GNA University,Phagwara,https://www.gnauniversity.edu.in
ITM University,Raipur,https://www.itmuniversity.org
Jawaharlal Nehru Technological University Anantapur,Ananthapuramu,https://www.jntua.ac.in
Kalinga Institute of Industrial Technology,Bhubaneswar,https://kiit.ac.in
Lovely Professional University,Phagwara,https://www.lpu.in
"Maharishi Markandeshwar (Deemed to be University), Mullana-Ambala",Ambala,https://www.mmumullana.org
"National Law University, Delhi",New Delhi,https://nludelhi.ac.in
NIMS University,Jaipur,https://www.nimsuniversity.org
Noorul Islam Centre for Higher Education,Thuckalay,http://www.niuniv.com
O.P. Jindal Global University,Sonipat,https://jgu.edu.in
Panjab University,Chandigarh,https://www.puchd.ac.in
PES University,Bangalore,https://pes.edu
"Punjab Engineering College, (Deemed to be University)",Chandigarh,https://pec.ac.in
Reva University,Bangalore,https://www.reva.edu.in
"Sam Higginbottom University of Agriculture, Technology and Sciences",Allahabad,http://shuats.edu.in
Sathyabama Institute of Science and Technology (Deemed to be University),Chennai,https://www.sathyabama.ac.in
Shri Mata Vaishno Devi University,Katra,https://www.smvdu.ac.in
Siksha 'O' Anusandhan University (Deemed to be University),Bhubaneswar,https://www.soa.ac.in
Symbiosis International University (Deemed University),Pune,https://siu.edu.in
University of Delhi,Delhi,http://www.du.ac.in
University of Hyderabad,Hyderabad,https://uohyd.ac.in
University of Jammu,Jammu,https://www.jammuuniversity.ac.in
University of Mysore,Mysuru,https://uni-mysore.ac.in
"Vels Institute of Science, Technology and Advanced Studies",Chennai,http://www.velsuniv.ac.in
A.D. Patel Institute of Technology,Vitthal Udyognagar,http://www.adit.ac.in
Academy of Maritime Education and Training University (Deemed to be University),Chennai,http://www.ametuniv.ac.in
Academy of Scientific and Innovative Research,Chennai,http://acsir.res.in
Acharya N.G. Ranga Agricultural University,Guntur,http://www.angrau.ac.in
Acharya Nagarjuna University,Nagarjuna Nagar,http://www.nagarjunauniversity.ac.in
Acharya Narendra Deva University of Agriculture and Technology,Faizabad,http://www.nduat.org
Adesh University,Bathinda,http://www.adeshuniversity.ac.in
Adikavi Nannaya University,Rajahmundry,http://www.nannayauniversity.info
Ahmedabad University,Ahmedabad,http://www.ahduni.edu.in
AISECT University,Bhopal,http://www.aisectuniversity.ac.in
"Akkamahadevi Women's University, Vijayapura",Vijayapura,http://www.kswubij.ac.in
AKS University,Satna,https://www.aksuniversity.ac.in
Alagappa University,Karaikudi,http://www.alagappauniversity.ac.in
Aliah University,Kolkata,http://www.aliah.ac.in
Aligarh Muslim University,Aligarh,http://www.amu.ac.in
"All India Institute of Medical Sciences, Bhopal",Bhopal,http://www.aiimsbhopal.edu.in
"All India Institute of Medical Sciences, Bhubaneswar",Patrapada,http://www.aiimsbhubaneswar.edu.in
"All India Institute of Medical Sciences, Jodhpur",Jodhpur,https://www.aiimsjodhpur.edu.in
"All India Institute of Medical Sciences, New Delhi",New Delhi,http://www.aiims.edu
"All India Institute of Medical Sciences, Patna",Patna,https://www.aiimspatna.org
"All India Institute of Medical Sciences, Raipur",Raipur,http://www.aiimsraipur.edu.in
"All India Institute of Medical Sciences, Rishikesh",Rishikesh Uttarakhand,http://aiimsrishikesh.edu.in
Alliance University,Bangalore,http://www.alliance.edu.in
"Amity University, Haryana",Gurgaon,http://www.amity.edu/gurgaon
"Amity University, Madhya Pradesh",Gwalior,http://www.amity.edu/gwalior
"Amity University, Rajasthan",Jaipur,http://www.amity.edu/jaipur
"Amity University, Uttar Pradesh",Noida,http://www.amity.edu
Amrita University (Deemed to be University),Coimbatore,https://www.amrita.edu
Anand Agricultural University,Anand,http://www.aau.in
Andhra University,Visakhapatnam,http://andhrauniversity.edu.in
Anna University,Chennai,http://www.annauniv.edu
Annamalai University,Annamalai Nagar,http://www.annamalaiuniversity.ac.in
AP Goyal Shimla University Shimla,Shimla,http://agu.edu.in
Apeejay School of Management,Dwarka,http://www.apeejay.edu/asm
Apeejay Stya University,Gurgaon,http://university.apeejay.edu
Apex Professional University,Pasighat,http://www.apexuniversity.ac.in
Arni University,Kathgarh,http://arni.in
Arunachal University of Studies,Namsai,http://www.arunachaluniversity.ac.in
Aryabhatta Knowledge University,Patna,http://akubihar.ac.in
Ashoka University,Sonepat,https://www.ashoka.edu.in
Assam Agricultural University,Jorhat,http://www.aau.ac.in
Assam Down Town University,Guwahati,https://adtu.in
Assam Rajiv Gandhi University of Cooperative Management,Sivasagar,http://argucom.org.in
Assam Science and Technology University,Guwahati,http://astu.ac.in/astu
Assam University,Silchar,http://www.aus.ac.in
