institute,city,url
'Aisyiyah College of Health Sciences Bandung,Bandung,http://www.stikes-aisyiyahbandung.ac.id
'Aisyiyah College of Health Sciences Surakarta,Surakarta,http://www.stikes-aisyiyah.ac.id
17 August 1945 University Banyuwangi,Banyuwangi,http://untag-banyuwangi.ac.id
17 August 1945 University Cirebon,Cirebon,http://www.untagcirebon.ac.id
17 August 1945 University Jakarta,Jakarta Utara,http://uta45jakarta.ac.id
17 August 1945 University Samarinda,Samarinda,http://www.untag-smd.ac.id
17 August 1945 University Semarang,Semarang,http://www.untagsmg.ac.id
17 August 1945 University Surabaya,Surabaya,http://www.untag-sby.ac.id
19 November University of Kolaka,Kolaka,http://usn.ac.id
45 Mataram College of Economics,Mataram,http://stie45mataram.ac.id
AAN School of Administrative Sciences,Yogyakarta,http://stia-aan.ac.id
Abdi Nusa College of Economics,Palembang,http://stieabdinusa.blogspot.com
Abdi Nusa College of Health Sciences,Pangkalpinang,http://abdinusababel.ac.id
Abdi Nusantara College of Health Sciences,Bekasi,http://abdinusantara.ac.id
Abdul Haris School of Administrative Sciences,Makassar,Webpage-Not-Found
Abdurachman Saleh University,Situbondo,http://unars.ac.id
Abdurrab University,Pekanbaru,http://www.univrab.ac.id
Abulyatama University,Aceh Besar,http://www.abulyatama.ac.id
Accountancy and International Business College,Medan,Webpage-Not-Found
Achmad Yani University,Banjarmasin,http://www.uay.ac.id
Adabiah School of Administrative Sciences,Padang,http://stiaadabiah.ac.id
Adhi Tama Institute of Technology Surabaya,Surabaya,http://www.itats.ac.id
Adi Buana PGRI University,Surabaya,http://www.unipasby.ac.id
Adventist University of Indonesia,Bandung,http://www.unai.edu
Agricultural College Benteng Huraba,Padang Sidempuan,http://www.stbenhur.ac.id
"Agus Salim Institute of Islamic Studies, Metro",Metro,http://www.iai-agussalimmetro.ac.id
"Ahmad Dahlan College of Economics, Jakarta",Jakarta Selatan,http://www.stiead.ac.id
Ahmad Dahlan University,Yogyakarta,http://www.uad.ac.id
Airlangga University,Surabaya,http://www.unair.ac.id
AKBP-STIE KBP School of Finance and Banking,Padang,http://akbpstie.ac.id
Aki University,Semarang,http://www.unaki.ac.id
AKPRIND Institute of Science and Technology,Yogyakarta,http://www.akprind.ac.id
Al Gazali School of Administrative Sciences - Barru,Barru,http://www.stiaalgazali-barru.ac.id
Al Gazali Soppeng College of Administrative Sciences,Watan Soppeng,Webpage-Not-Found
"Al Ghazali Nahdlatul Ulama University, Cilacap",Cilacap,https://unugha.ac.id
Al Muslim University,Bireuen,http://www.umuslim.ac.id
Al Zaytun Indonesia Institute of Islamic Studies,Indramayu,http://iai-alzaytun.ac.id
Al-Asyariah Mandar University,Polewali,http://unasman.ac.id
Al-Azhaar Institute of Islamic Studies,Lubuk Linggau,http://www.iai-al-azhaar.ac.id
Al-Azhar Islamic University of Mataram,Mataram,http://unizar.ac.id
Al-Azhar University Indonesia,Jakarta Selatan,http://www.uai.ac.id
Al-Azhar University of Medan,Medan,https://alazhar-university.ac.id
Al-Aziziyah Institute of Islamic Studies,Bireuen,http://iaia.ac.id
Al-Ghifari University,Bandung,http://www.unfari.ac.id
Al-Hikmah College of Economics,Medan,http://www.stiealhikmah.ac.id
Al-hikmah College of Law,Medan,Webpage-Not-Found
Al-Khoziny Institute of Islamic Studies,Sidoarjo,http://www.alkhoziny.ac.id
Al-Maarif College of Health Sciences,Baturaja,http://stikesalmaarif.ac.id
Al-Qolam Institute of Islamic Studies,Malang,http://www.alqolam.ac.id
Al-Qur'an University of Science,Wonosobo,http://www.unsiq.ac.id
Al-Washliyah College of Economics,Tapanuli Tengah,Webpage-Not-Found
Al-Washliyah Labuhan Batu University,Rantauprapat,http://www.univalabuhanbatu.ac.id
Alifah Padang College of Health Sciences,Padan,http://www.stikesalifah.ac.id
Alkhairaat University,Palu,http://unisapalu.ac.id
Alma Ata University,Bantul,http://www.almaata.ac.id
"Almuslim Institute of Islamic Studies, Aceh",Bireuen,http://www.almuslimaceh.ac.id
Alwasahiyah University,Medan,https://univa-medan.ac.id
Amanah College of Health Sciences Makassar,Makassar,http://stikesamanah-mks.ac.id
Ambon State Islamic Institute,Ambon,http://www.iainambon.ac.id
Amikom University of Yogyakarta,Sleman,http://www.amikom.ac.id
Amir Hamzah University,Medan,http://www.unhamzah.ac.id
Amsir College of Law,Pare-Pare,http://www.stihamsir.ac.id
Amuntai School of Administrative Sciences,Amuntai Tengah,http://www.stiaamuntai.ac.id
Andalas University,Padang,http://www.unand.ac.id
Andi Djemma University Palopo,Palopo,http://unanda.ac.id
"Anindyaguna College of Economics, Semarang",Semarang,Http://www.anindyaguna.com
Antakusuma University,Pangkalan Bun,http://www.untama.ac.id
Aprin College of Economics of Palembang,Palembang,http://www.stie-aprin.ac.id
Ar-Raniry State Islamic University,Banda Aceh,http://www.ar-raniry.ac.id
Artha Bodhi Iswara College of Economics,Surabaya,http://www.abi.ac.id
Artha Bodhi Iswara College of Health Sciences,Surabaya,http://www.stikesabi.ac.id/stikesabi
Artha Wacana Christian University,Kupang,http://ukaw.ac.id
As-Syafiiyah Islamic University,Jakarta Timur,http://www.uia.ac.id
Asahan University,Kisaran,http://una.ac.id
ASMI Solo School of Administative Sciences,Surakarta,http://stia-asmisolo.ac.id
Asy Syafi iyah School of Administrative Sciences,Fak-Fak,Webpage-Not-Found
Atma Bhakti College of Economics Surakarta,Surakarta,http://stie-atmabhakti.ac.id
Atma Jaya Catholic University of Indonesia,Jakarta,http://www.atmajaya.ac.id
Atma Jaya Makassar University,Makassar,http://www.uajm.ac.id
Atma Jaya Yogyakarta University,Yogyakarta,http://www.uajy.ac.id
Attahiriyah Islamic University,Jakarta Selatan,http://www.uniat.ac.id
Avicenna College of Health Sciences,Kendari,http://www.stik-avicenna.ac.id
Azzahra University,Jakarta Timur,http://azzahra.ac.id
Bagasasi School of Administrative Sciences,Bandung,http://stiabagasasi.ac.id
Baiturrahim College of Health Sciences,Jambi,http://www.stikba.ac.id
Baiturrahmah University,Padang,http://www.unbrah.ac.id
Bajiminasa College of Economics,Makassar,http://www.stie-bajiminasa.ac.id
Bakrie University,Jakarta Selatan,http://www.bakrie.ac.id
Bakti Tunas Husada College of Health Sciences,Tasikmalaya,http://stikes-bth.ac.id
Bale Bandung University,Bandung,http://www.unibba.ac.id
Bali College of Health Sciences,Denpasar,http://www.stikes-bali.ac.id
Bali Internasional Institute of Tourism Management,Denpasar,http://www.stiesahidbali.ac.id
Balikpapan College of Economics,Balikpapan,http://www.stiebalikpapan.ac.id
Balikpapan University,Balikpapan,http://www.uniba-bpn.ac.id
Bandar Lampung University,Bandar Lampung,http://www.ubl.ac.id
Bandung College of Law,Bandung,https://www.sthb.ac.id
Bandung Institute of Science and Technology,Bekasi,http://www.itsb.ac.id
Bandung Institute of Technology,Bandung,http://www.itb.ac.id
Bandung National Institute of Technology,Bandung,http://www.itenas.ac.id
Bandung Raya University,Bandung,http://unbar.ac.id
Bandung School of Administrative Sciences,Bandung,http://www.stiabandung.ac.id
Bangka Belitung University,Pangkalpinang,http://www.ubb.ac.id
Bangun Nusantara Veteran University,Sukoharjo,http://www.univetbantara.ac.id
"Bani Fattah Institute of Islamic Studies, Jombang",Jombang,http://www.iaibafa.ac.id
Bani Saleh College of Health Sciences,Bekasi,http://stikesbanisaleh.ac.id
Banjarmasin National School of Economics,Banjarmasin,https://stienas-ypb.ac.id
"Bank BPD College of Economics, Central Java",Semarang,http://www.stiebankbpdjateng.ac.id
Banten College of Health Sciences,Tangerang,http://www.stikesbanten.ac.id
Banten Jaya University,Serang,http://unbaja.ac.id
Banten Raya College of Social and Poltitical Sciences,Pandeglang,http://stisipbantenraya.ac.id
Banten Raya Language School,Pandeglang,http://www.stibbantenraya.ac.id
Banten School of Administrative Sciences,Pandeglang,http://www.stiabanten.ac.id
Banyuwangi PGRI University,Banyuwangi,http://www.uniba-bwi.ac.id
Baramuli College of Health Sciences,Pinrang,https://stikesbaramuli.ac.id
Batam University,Batam,http://univbatam.ac.id
Batanghari University,Jambi,http://www.unbari.ac.id
Baturaja University,Baturaja,http://www.unbara.ac.id
Batusangkar State Islamic Institute,Tanah Datar,http://www.iainbatusangkar.ac.id
Bayuangga School of Administrative Sciences,Probolinggo,http://stia-bayuangga.ac.id
