institute,city,url
Ahlul Bayt International University,Tehran,http://www.abu.ac.ir
Al-Mustafa International University,Qom,http://miu.ac.ir
K.N. Toosi University of Technology,Tehran,https://en.kntu.ac.ir
Kharazmi University,Tehran,https://khu.ac.ir
Shahid Beheshti University of Medical Sciences,Tehran,https://sbmu.ac.ir
Tarbiat Modares University,Tehran,https://www.modares.ac.ir
University of Tehran,Tehran,http://ut.ac.ir
ABA Institute of Higher Education,Abyek,Webpage-Not-Found
Abadan University of Medical Sciences,Abadan,http://abadanums.ac.ir
Aban Haraz Institute of Higher Education,Amol,http://www.haraz.ac.ir
Abrar University,Tehran,http://www.abrar.ac.ir
Adib Mazandaran Institute of Higher Education,Mazandaran,http://www.adib-mazandaran.ac.ir
Adiban Higher Education Institute,Garmsar,http://www.adiban.ac.ir
Afagh Higher Education Institute,Urmia,http://en.afagh.ac.ir
Aghigh Institute of Higher Education,Shahinshahr,https://new.aghigh.ac.ir
Ahrar Institute of Technology and Higher Education,Rasht,http://www.ahrar.ac.ir
Ahvaz Jundishapour University of Medical Sciences,Ahvaz,http://www.ajums.ac.ir
Al-Ghadir Higher Education Institute,Tabriz,http://www.alghadir.ac.ir
Alaodoleh Semnani Institute of Higher Education,Garmsar,http://asihe.ac.ir
Alborz University,Mohammadiyeh,http://www.alborzq.ac.ir
Alborz University of Medical Sciences,Karaj,http://www.abzums.ac.ir
Ale-Taha Institute of Higher Education,Tehran,http://aletaha.ac.ir/en
Allameh Dehkhoda Institute of Higher Education,Qazvin,http://www.adi.ac.ir
Allameh Helli Higher Education Institute,Chalous,http://ahelli-cha-ihe.ac.ir
Allameh Jafari University,Rafsanjan,https://aj.ac.ir//index.php?lang=en
Allameh Mohaddes Noori University,Noor,http://www.mohaddes.ac.ir
Allameh Qazvini Institute of Higher Education,Qazvin,http://aqi.ac.ir
Allameh Tabataba'i University,Tehran,http://atu.ac.ir
Alzahra University,Tehran,http://www.alzahra.ac.ir
Amiralmoemenin University,Ahvaz,http://www.amiralmoemenin.ac.ir
Amirkabir University of Technology,Tehran,http://www.aut.ac.ir
Amol University of Special Modern Technologies,Amol,http://www.ausmt.ac.ir
Arak University,Arak,http://www.araku.ac.ir
Arak University of Medical Sciences,Arak,http://www.arakmu.ac.ir
Arak University of Technology,Tehran,http://www.arakut.ac.ir/index.php?slc_lang=en&sid=1
Ardabil University of Medical Sciences,Ardabil,http://www.arums.ac.ir
Ardakan University,Ardakan,http://www.ardakan.ac.ir
Art University of Isfahan,Isfahan,https://en.aui.ac.ir
Ayatolah Borujerdei University,Borujerd,http://abru.ac.ir
Azarbaijan Shahid Madani University,Tabriz,http://www.azaruniv.ac.ir
Babol Noshirvani University of Technology,Babol,https://en.nit.ac.ir
Babol University of Medical Sciences,Babol,http://www.mubabol.ac.ir
Bam Higher Education Complex,Bam,http://www.bam.ac.ir
Bam University of Medical Sciences,Bam,http://mubam.ac.ir
Baqir Al-Olum University,Qom,http://www.bou.ac.ir
Baqiyatallah Medical Sciences University,Tehran,http://www.bmsu.ac.ir
Behbahan Faculty of Medical Sciences,Behbahan,http://www.behums.ac.ir
Behbahan Khatam Alanbia University of Technology,Behbahan,http://www.bkatu.ac.ir/en-US/DouranPortal/1/page/Home-Page
Birjand University of Medical Sciences,Birjand,http://www.bums.ac.ir
Birjand University of Technology,Birjand,http://www.birjandut.ac.ir
Bozorgmehr University of Qaenat,Qaen,http://www.buqaen.ac.ir/en
Bu-Ali Sina University,Hamadan,http://www.basu.ac.ir
Buein Zahra Technical University,Buein Zahra,https://www.bzte.ac.ir/en
Bushehr Province University of Medical Sciences,Bushehr,http://www.bpums.ac.ir
Chabahar Maritime University,Chabahar,http://www.cmu.ac.ir
Damghan University,Damghan,http://www.du.ac.ir
Daneshpajoohan Pishro Higher Education Institute,Esfahan,http://www.daneshpajoohan.ac.ir/
Dezful University of Medical Sciences,Dezfoul,http://dums.ac.ir
Edalat University,Tehran,http://edalat.ac.ir/index.aspx?tempname=EnMain&lang=2&sub=0
Energy Higher Education Institute,Saveh,http://energy.ac.ir
Ershad Damavand Institute of Higher Education,Tehran,http://www.eud.ir
Esfarayen Faculty of Medical Science,Esfarayen,http://esfrums.ac.ir
Esfarayen Higher Education Complex of Engineering and Technology,Esfarayen,http://www.esfarayen.ac.ir
Estahban Higher Education Center,Estahban,http://www.estahbanihe.ac.ir
Farabi Higher Education Institution,Karaj,http://farabi.ac.ir
Farhangian University,Qods,https://cfu.ac.ir
Farzanegan Semnan University,Semnan,http://fgusem.ac.ir
Fasa University,Fasa,http://www.fasau.ac.ir/en
Fasa University of Medical Sciences,Fasa,http://www.fums.ac.ir
Ferdowsi University of Mashhad,Mashhad,http://en.um.ac.ir
Firouzabad Institute of Higher Education,Firuzabad,https://www.fabad-ihe.ac.ir
Foulad Institute of Technology,Isfahan,http://fit.ac.ir
Garmsar University,Garmsar,http://ugsr.ir
Gerash University of Medical Sciences,Gerash,http://en.gerums.ac.ir
Golestan University,Gorgan,https://gu.ac.ir/en/DefaultPage
Golestan University of Medical Sciences,Gorgan,http://goums.ac.ir/index.php?slc_lang=en&sid=100
Golpayegan University of Technology,Golpayegan,http://www.gut.ac.ir
Gonabad University of Medical Sciences,Gonabad,http://www.gmu.ac.ir
Gonbad Kavous University,Gonbad Kavous,http://www.gonbad.ac.ir/en
Gorgan University of Agriculture and Natural Resources,Gorgan,http://www.gau.ac.ir
Graduate University of Advanced Technology,Kerman,http://en.kgut.ac.ir
Guilan University of Medical Sciences,Rasht,http://www.gums.ac.ir
Hadaf Institute of Higher Education,Sari,http://www.hadaf.ac.ir
Haeri University of Meybod,Yazd,https://meybod.ac.ir
Hakim Sabzevari University,Sabzevar,http://www.hsu.ac.ir/en
Hamedan University of Medical Sciences,Hamadan,http://www.umsha.ac.ir
Hamedan University of Technology,Hamedan,http://www.hut.ac.ir
Hazrat Masoumeh University,Qom,http://www.hmu.ac.ir
Hazrat-e Narjes University of Rafsanjan,Kerman,http://www.narjesrafsanjan.ir
Higher Education Centre of Eghlid,Eghlid,http://www.eghlid.ac.ir
Higher Education Complex of Saravan,Saravan,http://www.saravan.ac.ir
Hormozgan University of Medical Sciences,Bandar Abbas,http://www.hums.ac.ir
Ilam University,Ilam,http://www.ilam.ac.ir
Ilam University of Medical Sciences,Ilam,http://www.medilam.ac.ir
Imam Javad University College,Yazd,https://main.iju.ir/en
Imam Khomeini International University,Qazvin,http://www.ikiu.ac.ir
Imam Reza International University,Mashhad,https://imamreza.ac.ir
Imam Sadiq University,Tehran,https://www.isu.ac.ir
Industrial Management Institute,Tehran,http://www.imi.ir/en
"Institute for Advanced Studies in Basic Sciences, Zanjan",Zanjan,http://www.iasbs.ac.ir
Institute for Higher Education ACECR of Hamedan,Hamadan,http://www.jdhamedan.ac.ir
Institute for Higher Education ACECR of Isfahan,Isfahan,https://jdeihe.ac.ir
Institute for Higher Education ACECR of Kashmar,Kashmar,http://www.jdk.ac.ir
Institute for Higher Education ACECR of Kermanshah,Kermanshah,http://www.jdku.ac.ir
Institute for Higher Education ACECR of Khouzestan,Ahvaz,http://mjdkh.ac.ir
Institute for Higher Education ACECR of Rasht,Rasht,http://jdrasht.ac.ir
International University of Chabahar,Chabahar,http://www.iuc.ac.ir/index.php/en
Iran Polymer and Petrochemical Institute,Tehran,http://en.ippi.ac.ir
Iran University of Industries and Mines,Tehran,http://www.iuim.ir
Iran University of Medical Sciences,Tehran,http://www.iums.ac.ir
Iran University of Science and Technology,Tehran,http://www.iust.ac.ir
Iranshahr School of Medical Sciences,Iranshahr,http://www.irshums.ac.ir
Irib University,Tehran,http://iribu.ac.ir
Isfahan Agahi Higher Institution,Isfahan,http://aghigh.ac.ir
Isfahan University of Medical Sciences,Isfahan,http://www.mui.ac.ir
Isfahan University of Technology,Isfahan,http://www.iut.ac.ir
Islamic Azad University,Tehran,https://iau.ir
"Islamic Azad University
Islamic Azad University - Tehran Medical Branch",Tehran,http://www.iautmu.ac.ir
Jahrom University,Jahrom,https://www.jahromu.ac.ir
Jahrom University of Medical Sciences,Jahrom,http://www.jums.ac.ir
Jiroft University,Jiroft,https://ujiroft.ac.ir
Jiroft University of Medical Sciences,Jiroft,http://education.jmu.ac.ir
Jundi Shapur University of Technology,Dezful,http://en.jsu.ac.ir
Kashan University of Medical Sciences and Health Services,Kashan,http://www.kaums.ac.ir
Kashmar Higher Education Institute,Kashmar,http://www.ihekashmar.ac.ir
Kerman Medical University,Kerman,http://www.kmu.ac.ir
Kermanshah University of Medical Sciences,Kermanshah,http://www.kums.ac.ir
Kermanshah University of Technology,Kermanshah,http://www.kut.ac.ir/en
Khalkhal University of Medical Sciences,Khalkhal,http://khalums.ac.ir
Khansar Faculty of Mathematics and Computer Science,Khansar,http://khansar-cmc.ac.ir
Khatam University,Tehran,http://khatam.ac.ir
Khayyam University,Mashhad,http://www.khayyam.ac.ir
Khomein University of Medical Sciences,Khomein,http://khomeinums.ac.ir
Khorramshahr University of Marine Science and Technology,Khorramshahr,http://kmsu.ac.ir
Khoy University of Medical Sciences,Khoy,http://khoyums.ac.ir
Khuzestan Agricultural Sciences and Natural Resources University,Mollasani,https://asnrukh.ac.ir/fa
Kosar University of Bojnord,Bojnourd,http://www.kub.ac.ir
Kurdistan University of Medical Sciences,Sanandaj,http://www.muk.ac.ir
Lamerd Higher Education Centre,Lamerd,http://lamerdhec.ac.ir
Larestan Higher Education Complex,Lar,https://lar.ac.ir
Larestan University of Medical Sciences,Larestan,http://www.larums.ac.ir
Lorestan University,Khoramabad,http://www.lu.ac.ir
Lorestan University of Medical Sciences,Khorramabad,http://www.lums.ac.ir
Mahallat Institute of Higher Education,Mahala,http://www.mahallat.ac.ir
Malayer University,Malayer,http://www.malayeru.ac.ir
Mamassani Higher Education Complex,Fars,http://mamasaniu.ir
Maragheh University of Medical Sciences,Maragheh,https://www.mrgums.ac.ir
Mashhad University of Medical Sciences,Mashhad,http://www.mums.ac.ir
Mazandaran University,Babolsar,http://www.umz.ac.ir
Mazandaran University of Medical Sciences,Sari,http://www.mazums.ac.ir
Mazandaran University of Science and Technology,Babol,https://ustmb.ac.ir/En
Mehrastan Institute of Higher Education,Astaneh Ashrafieh,https://www.mehrastan.ac.ir
Mofid University,Qom,http://www.mofidu.ac.ir
Nahavand University,Nahavand,http://www.nahgu.ac.ir
Neyshabur University of Medical Sciences,Nishapur,https://www.nums.ac.ir
North Khorasan University of Medical Sciences,Bojnurd,http://nkums.ac.ir
Payame Noor University,Tehran,http://www.pnu.ac.ir
Persian Gulf University,Bushehr,http://www.pgu.ac.ir
Petroleum University of Technology,Tehran,http://www.put.ac.ir
Pooyesh Institute of Higher Education,Qom,http://www.pooyesh.ac.ir
Qazvin University of Medical Sciences,Qazvin,http://www.qums.ac.ir
Qom University of Medical Science and Health Services,Qom,http://en.muq.ac.ir
Qom University of Technology,Qom,https://www.qut.ac.ir/en
Quchan University of Advanced Technology,Quchan,https://en.qiet.ac.ir
Quran University and Hadith,Qom,http://www.qhu.ac.ir
Rafsanjan University of Medical Sciences,Rafsanjan,http://www.rums.ac.ir
Rahbord Shomal University,Rasht,http://rahbordshomal.ac.ir
Raja University,Quazvin,http://www.raja.ac.ir
Razavi University of Islamic Sciences,Mashhad,https://razavi.aqr.ir/Portal/home/?news/478888/478906/990037/Razavi-University-of-Islamic-Sciences
Razi University,Kermanshah,http://www.razi.ac.ir
Sabzevar University of Medical and Health Services,Sabzevar,http://www.medsab.ac.ir
Sabzevar University of New Technologies,Sabzevar,http://www.sunt.ir
Sadjad University of Technology,Mashhad,http://www.sadjad.ac.ir
Sadra Institute of Higher Education,Tehran,http://www.sadra.ac.ir
Sahand University of Technology,New Sahand Town,http://www.sut.ac.ir
Salman Farsi University of Kazerun,Kazerun,http://www.kazerunsfu.ac.ir/en
Sari University of Agricultural Sciences and Natural Resources,Sari,https://sanru.ac.ir
Saveh University of Medical Sciences,Saveh,http://savehums.ac.ir
School of International Relations of the Ministry of Foreign Affairs,Tehran,http://www.sir.ac.ir
Semnan University,Semnan,http://english.semnan.ac.ir
Semnan University of Medical Sciences,Semnan,http://en.semums.ac.ir
Sepahan Institute of Higher Education,Sepahan,http://www.sepahan.ac.ir
