institute,city,url
Al-Mansour University College,Baghdad,https://www.muc.edu.iq
American University of Kurdistan,Sumel,https://auk.edu.krd
Cihan University-Erbil,Erbil,https://cihanuniversity.edu.iq
Duhok Polytechnic University,Duhok,https://www.dpu.edu.krd
Hawler Medical University,Erbil,https://hmu.edu.krd
Koya University,Erbil,https://koyauniversity.org
Madenat Al-Elem University College,Baghdad,https://en.mauc.edu.iq
Salahaddin University-Erbil,Erbil,https://su.edu.krd
Soran University,Soran,https://www.soran.edu.iq
Tishk International University,Erbil,https://tiu.edu.iq
University of Diyala,Baquba,https://www.uodiyala.edu.iq
University of Duhok,Duhok,https://uod.ac
University of Raparin,Rania,https://www.uor.edu.krd
University of Zakho,Zakho,https://web.uoz.edu.krd
Ahl Al Bayt University,Karbala,https://abu.edu.iq
Al Esraa University College,Baghdad,https://www.esraa.edu.iq
Al Furat Al Awsat Technical University,Al-Najaf,http://en.atu.edu.iq
Al-Amal University College,Baghdad,https://www.amaaluc.edu.iq
Al-Bani University College,Baghdad,https://albaniuniversitycollege.wordpress.com
Al-Farabi University College,Baghdad,http://www.alfarabiuc.edu.iq
Al-Farahidi University College,Baghdad,http://www.alfarahidiuc.edu.iq
Al-Hadbaa University College,Mosul,http://hcu.edu.iq
Al-Hikma University College,Baghdad,https://hiuc.edu.iq
Al-Hilla University College,Hilla,https://www.hilla-unc.edu.iq
Al-Hussein University College,Karbala,http://huciraq.edu.iq
Al-Iraqia University,Baghdad,https://aliraqia.edu.iq
Al-Karkh University of Science,Baghdad,http://www.kus.edu.iq
Al-Kitab University,Kirkuk,https://www.uoalkitab.edu.iq
Al-Kunooz University College,Basrah,https://kunoozu.edu.iq
Al-Kut University College,Wasit,http://alkutcollege.edu.iq
Al-lmam University College,Balad,https://alimamunc.edu.iq
Al-Maarif University College (AUC),Al-Ramadi,http://auc-edu.org
Al-Mustafa University College,Baghdad,http://almustafauniversity.edu.iq
Al-Mustansiriyah University,Baghdad,https://uomustansiriyah.edu.iq
Al-Mustaqbal University,Hillah,https://www.uomus.edu.iq
