institute,city,url
National University of Ireland,Dublin,http://www.nui.ie
"National University of Ireland
University College Dublin",Dublin 4,https://www.ucd.ie
"National University of Ireland
University College Cork",Cork,https://www.ucc.ie/en
"National University of Ireland
University of Galway",Galway,https://www.universityofgalway.ie
"National University of Ireland
Maynooth University",Maynooth,https://www.maynoothuniversity.ie
Technological University Dublin,Dublin,https://tudublin.ie
"Trinity College Dublin, The University of Dublin",Dublin,https://www.tcd.ie
American College Dublin,Dublin,http://www.amcd.ie
Athlone Institute of Technology,Athlone,http://www.ait.ie
Atlantic Technological University,Letterkenny,https://www.atu.ie
Carlow College - St. Patrick,Carlow,http://www.carlowcollege.ie
CCT College Dublin,Dublin,http://www.cct.ie
"Dhún Laoghaire Institute of Art, Design and Technology",Dún Laoghaire,http://www.iadt.ie
Dorset College,Dublin 1,https://www.dorset-college.ie
Dublin Business School,Dublin 2,http://www.dbs.edu
Dublin City University,Dublin,http://www.dcu.ie
"Dublin City University
All Hallows Campus",Dublin,http://www.allhallows.ie
"Dublin City University
Institute of Education",Dublin,https://www.dcu.ie/institute_of_education/index.shtml
Dundalk Institute of Technology,Dundalk,http://www.dkit.ie
Galway Business School,Galway,http://galwaybusinessschool.ie
Griffith College Dublin,Dublin,https://www.griffith.ie/locations/dublin
"Griffith College Dublin
Griffith College Cork",Cork,https://www.griffith.ie/locations/cork
"Griffith College Dublin
Griffith College Limerick",Limerick,https://www.griffith.ie/locations/limerick
IBAT College Dublin,Dublin,http://www.ibat.ie
ICD Business School,Dublin,http://www.icd.ie
Independent College Dublin,Dublin,http://www.independentcolleges.ie
Irish College of Humanities and Applied Sciences,Limerick,http://www.ichas.ie
Limerick Institute of Technology,Limerick,http://www.lit.ie/
Mary Immaculate College,Limerick,http://www.mic.ul.ie
Munster Technological University,Cork,https://www.mtu.ie
National College of Ireland,Dublin,http://www.ncirl.ie
"National University of Ireland
Institute of Public Administration",Ballsbridge,http://www.ipa.ie
"National University of Ireland
National College of Art and Design",Dublin,http://www.ncad.ie
"National University of Ireland
Shannon College of Hotel Management",Shannon International Airport,http://www.shannoncollege.com
"National University of Ireland
Royal College of Surgeons in Ireland",Dublin,http://www.rcsi.ie
"National University of Ireland
St. Angela's College, Sligo",Sligo,http://www.stangelas.nuigalway.ie
Royal Irish Academy of Music,Dublin,http://www.riam.ie
Saint Nicholas Montessori College Ireland,Dún Laoghaire,https://www.smsi.ie
Setanta College,Thurles,http://www.setantacollege.com
South East Technological University,Waterford,https://www.setu.ie
"St. Patrick's College, Maynooth",Maynooth,http://www.maynoothcollege.ie
"Technological University Dublin
Blanchardstown Campus",Blanchardstown,https://www.tudublin.ie/explore/our-campuses/blanchardstown
"Technological University Dublin
Tallaght Campus",Dublin,http://www.it-tallaght.ie
The Open Training College,Dublin,http://www.opentrainingcollege.com
"Trinity College Dublin, The University of Dublin
Marino Institute of Education",Dublin,http://www.mie.ie
University of Limerick,Limerick,http://www.ul.ie
