institute,city,url
Academic College at Wingate,Netanya,http://www.wincol.ac.il
Achva Academic College,Arugot,http://www.achva.ac.il
Afeka Tel Aviv Academic College of Engineering,Tel-Aviv,http://www.afeka.ac.il
Al-Qasemi Academic College of Education,Baqa-El-Gharbia,https://www.qsm.ac.il/en
Arab Academic College of Education,Haifa,http://www.arabcol.ac.il
Ariel University,Ariel,https://www.ariel.ac.il
Ashkelon Academic College,Ashkelon,https://www.aac.ac.il/en
Azrieli College of Engineering Jerusalem,Jerusalem,http://www.jce.ac.il
Bar-Ilan University,Ramat-Gan,https://www1.biu.ac.il
Beit Berl College,Beit Berl,http://www.beitberl.ac.il
Ben-Gurion University of the Negev,Beer-Sheva,https://in.bgu.ac.il
"Bezalel Academy of Arts and Design, Jerusalem",Jerusalem,http://www.bezalel.ac.il
College of Management Academic Studies,Rishon Lezion,http://www.colman.ac.il
David Yellin College of Education,Jerusalem,https://www.dyellin.ac.il/en
Emuna Efrata - Academic College of Education for Art and Education,Jerusalem,https://efrata.emef.ac.il
Givat Washington Academic College of Education,D.N. Evtach,http://www.washington.ac.il
Gordon Academic College,Haifa,http://www.gordon.ac.il
Hadassah Academic College,Jerusalem,https://www.hac.ac.il/en
Hemdat HaDarom Academic College of Education,Netivot,https://www.hemdat.ac.il
Herzog College,Gush Etzion,https://www.herzog.ac.il/en
Holon Institute of Technology,Holon,http://www.hit.ac.il
IDC Herzliya,Herzliya,http://www.idc.ac.il
Jerusalem College of Technology (JCT) - Lev Academic Center,Jerusalem,http://www.jct.ac.il
Kaye Academic College of Education,Beer-Sheva,http://www.kaye.ac.il
"Kibbutzim College of Education, Technology and Arts",Tel Aviv,https://en.smkb.ac.il
Kinneret Academic College,Zemach,http://www.kinneret.ac.il
Levinsky College of Education,Tel Aviv,http://www.levinsky.ac.il
Michlalah Jerusalem College,Jerusalem,http://michlala.edu
Netanya Academic College,Netanya,http://www.netanya.ac.il
Ohalo College of Education and Teaching,Katzerin,https://www.ohalo.ac.il
Ono Academic College,Kiryat Ono,http://www.ono.ac.il
Open University of Israel,Raanana,https://www.openu.ac.il/en
Oranim Academic College of Education,Tivon,http://en.oranim.ac.il
Orot Israel College of Education,D.N. Harei Ephraim,http://www.orot.ac.il
ORT Braude Academic College of Engineering,Karmiel,https://w3.braude.ac.il/?lang=en
Peres Academic Center,Rehovot,http://www.pac.ac.il
Ruppin Academic Center,Emek Hefer,http://www.ruppin.ac.il
Sami Shamoon College of Engineering,Be'er Sheva,https://en.sce.ac.il
Sapir Academic College,Ashkelon,https://www.sapir.ac.il/en
Schechter Institute of Jewish Studies,Jerusalem,https://schechter.ac.il
Shaanan Academic Religious Teachers' College,Haifa,https://www.shaanan.ac.il
Shenkar - Engineering. Design. Art,Ramat-Gan,http://www.shenkar.ac.il
Talpiot College of Education,Holon,http://www.talpiot.ac.il
Technion-Israel Institute of Technology,Haifa,https://www.technion.ac.il
Tel Aviv University,Tel Aviv,http://www.tau.ac.il
Tel-Hai College,Upper Galilee,http://www.telhai.ac.il
The Academic Center of Law and Science,Hod Hasharon,http://www.mishpat.ac.il
The Academic College of Society and the Arts,Netanya,http://www.asa.ac.il
The Academic College of Tel Aviv-Yaffo,Tel Aviv-Yaffo,http://www.mta.ac.il
The College of Law and Business,Ramat Gan,http://www.clb.ac.il
The College of Sakhnin for Teacher Education,Sakhnin,http://www.sakhnin.ac.il
The Hebrew University of Jerusalem,Jerusalem,http://www.huji.ac.il
The Israel Academic College in Ramat Gan,Ramat Gan,http://www.iac.ac.il
The Jerusalem Academy of Music and Dance,Jerusalem,http://www.jamd.ac.il
The Max Stern Yezreel Valley College,Emek Yezreel,https://www.yvc.ac.il/en
University of Haifa,Haifa,http://www.haifa.ac.il
Weizmann Institute of Science,Rehovot,http://www.weizmann.ac.il
Zefat Academic College,Zefat,http://www.zefat.ac.il
