institute,city,url
Catholic University of the Sacred Heart,Milano,https://www.unicatt.it
Humanitas University,Milan,https://www.hunimed.eu
International Telematic University UNINETTUNO,Roma,https://www.uninettunouniversity.net/fr/default.aspx
IULM University,Milano,https://www.iulm.it
Politecnico di Milano,Milano,https://www.polimi.it
University for Foreigners of Siena,Siena,https://www.unistrasi.it
University of Bologna,Bologna,https://www.unibo.it
University of Brescia,Brescia,https://www.unibs.it
University of Macerata,Macerata,https://www.unimc.it
University of Messina,Messina,https://international.unime.it
University of Molise,Campobasso,https://www.unimol.it
University of Padua,Padova,https://www.unipd.it
University of Parma,Parma,https://www.unipr.it
University of Rome La Sapienza,Roma,https://www.uniroma1.it
University of Rome Unitelma Sapienza,Roma,https://www.unitelmasapienza.it
University of Sassari,Sassari,https://www.uniss.it
University of Teramo,Teramo,https://www.unite.it
"""Gabriele d'Annunzio"" University",Chieti,http://www.unich.it
Bio-Medical Campus University of Rome,Roma,http://www.unicampus.it
Bocconi University,Milano,http://www.unibocconi.it
Brera Academy,Milano,http://www.accademiadibrera.milano.it
Ca' Foscari University of Venice,Venezia,https://www.unive.it
Carlo Cattaneo University,Castellanza,http://www.liuc.it
eCampus University,Novedrate,http://www.uniecampus.it
European University Institute,San Domenico di Fiesole,https://www.eui.eu
European University of Rome,Roma,http://www.universitaeuropeadiroma.it
Free University of Bozen-Bolzano,Bolzano,http://www.unibz.it
Giustino Fortunato Telematic University,Benevento,http://www.unifortunato.it
Gran Sasso Science Institute,L'Aquila,https://www.gssi.it
Guglielmo Marconi University,Roma,https://www.unimarconi.it
Guido Carli Free International University of Social Studies,Roma,http://www.luiss.it
IMT School for Advanced Studies Lucca,Lucca,http://www.imtlucca.it/en
International School for Advanced Studies,Trieste,https://www.sissa.it
IUAV University of Venice,Venezia,http://www.iuav.it
Kore University of Enna,Enna,http://www.unikore.it
Leonardo da Vinci Online University,Torrevecchia Teatina,http://www.unidav.it
Link Campus University,Roma,https://www.unilink.it
LIUC - Carlo Cattaneo University,Castellanza,http://en.liuc.it
Lum Jean Monnet University,Bari,http://www.lum.it
LUMSA University,Roma,https://www.lumsa.it
Mediterranean University of Reggio Calabria,Reggio di Calabria,http://www.unirc.it
Mercatorum University,Roma,https://www.unimercatorum.it
Pegaso Telematic University,Napoli,https://www.unipegaso.it
Perugia Foreigners' University,Perugia,https://www.unistrapg.it
Polytechnic of Bari,Bari,http://www.poliba.it
Polytechnic of Turin,Torino,https://www.polito.it
