institute,city,url
"The University of the West Indies, Mona Campus",Kingston,https://www.mona.uwi.edu
Caribbean Maritime University,Kingston,https://cmu.edu.jm
"College of Agriculture, Science and Education",Port Antonio,https://case.edu.jm
Edna Manley College of the Visual and Performing Arts,Kingston,https://emc.edu.jm
International University of the Caribbean,Kingston,https://iuc.edu.jm
Jamaica Stock Exchange e-Campus,Kingston,https://www.jamstockex.com/services/training-education/ecampus/
Management Institute for National Development,Kingston,https://mind.edu.jm
Mico University College,Kingston,https://www.themico.edu.jm
NCB Corporate Learning Campus,Kingston,https://www.jncb.com
Northern Caribbean University,Mandeville,https://www.ncu.edu.jm
University of Technology,Kingston,http://www.utech.edu.jm
University of the Commonwealth Caribbean,Kingston,https://www.ucc.edu.jm
Vocational Training Development Institute,Kingston,http://vtdi.heart-nta.org
