institute,city,url
J. F. Oberlin University,Machida-shi,https://www.obirin.ac.jp
Kanazawa Institute of Technology,Nonoichi Ishikawa,https://www.kanazawa-it.ac.jp/
Kansai University,Suita-shi,https://www.kansai-u.ac.jp
Kyoto University of Foreign Studies,Kyoto-shi,https://www.kufs.ac.jp
Nanzan University,Nagoya-shi,https://www.nanzan-u.ac.jp
Osaka University of Commerce,Higashiosaka-shi,https://ouc.daishodai.ac.jp
Shigakkan University,Obu-shi,https://www.sgk.ac.jp
Sophia University,Tokyo,https://www.sophia.ac.jp
The Jikei University School of Medicine,Tokyo,http://www.jikei.ac.jp
Tokai University,Hiratsuka-shi,https://www.u-tokai.ac.jp
Toyo University,Tokyo,https://www.toyo.ac.jp
University of Tsukuba,Tsukuba,https://www.tsukuba.ac.jp
Advanced Institute of Industrial Technology,Shinagawa-ku,http://aiit.ac.jp
Aichi Bunkyo University,Komaki-shi,http://www.abu.ac.jp
Aichi Gakuin University,Nisshin-shi,http://www.agu.ac.jp
Aichi Gakusen University,Toyota-shi,http://www.gakusen.ac.jp
Aichi Institute of Technology,Toyota-shi,http://www.aitech.ac.jp
Aichi Medical University,Aichi-gun,http://www.aichi-med-u.ac.jp/index.html
Aichi Mizuho College,Toyota-shi,http://amc.mizuho-c.ac.jp
Aichi Prefectural University,Nagakute-shi,http://www.aichi-pu.ac.jp
"Aichi Prefectural University - School of Nursing & Health, Graduate School of Nursing and Health",Nagoya-shi,http://www.aichi-nurs.ac.jp
Aichi Prefectural University of Fine Arts and Music,Aichi-gun,http://www.aichi-fam-u.ac.jp
Aichi Sangyo University,Okazaki-shi,http://www.asu.ac.jp
Aichi Shukutoku University,Aichi-gun,http://www.aasa.ac.jp
Aichi Toho University,Meito-ku,http://www.aichi-toho.ac.jp/english
Aichi University,Toyohashi-shi,http://www.aichi-u.ac.jp
Aichi University of Education,Kariya-shi,http://www.aichi-edu.ac.jp
Aichi University of Technology,Gamagori-shi,http://www.aut.ac.jp
Aikoku Gakuen University,Yotsukaido-shi,http://www.aikoku-u.ac.jp
Aino University,Ibaraki,http://univ.aino.ac.jp
Akita International University,Akita-shi,http://www.aiu.ac.jp
Akita Prefectural University,Nakano Shimoshinjo,http://www.akita-pu.ac.jp
Akita University,Akita-shi,http://www.akita-u.ac.jp
Akita University of Art,Akita,http://www.akibi.ac.jp
Akita University of Nursing and Welfare,Odate,http://www.well.ac.jp
Aomori Chuo Gakuin University,Aomori,http://www.aomoricgu.ac.jp
Aomori Public University,Aomori-shi,http://www.nebuta.ac.jp
Aomori University,Aomori-shi,http://www.aomori-u.ac.jp
Aomori University of Health and Welfare,Aomori-shi,http://www.auhw.ac.jp
Aoyama Gakuin University,Tokyo,http://www.aoyama.ac.jp/en
Asahi University,Motosu-gun,http://www.asahi-u.ac.jp
Asahikawa Medical University,Asahikawa-shi,http://www.asahikawa-med.ac.jp
Asahikawa University,Asahikawa-shi,http://www.asahikawa-u.ac.jp
Ashikaga Institute of Technology,Ashikaga-shi,http://www.ashitech.ac.jp
Ashiya University,Ashiya-shi,http://www.ashiya-u.ac.jp
Asia University,Musashino-shi,http://www.asia-u.ac.jp/english
Atomi University,Niiza-shi,http://www.atomi.ac.jp/univ/index.html
Azabu University,Sagamihara-shi,http://www.azabu-u.ac.jp
Baika Women's University,Ibaraki-shi,http://www.baika.ac.jp
Baiko Gakuin University,Shimonoseki-shi,http://www.baiko.ac.jp
Beppu University,Beppu-shi,http://www.beppu-u.ac.jp
Biwako Gakuin University,Higashiomi,http://www.newton.ac.jp/bgu
Biwako Seikei Sport College,Shiga-gun,http://www.bss.ac.jp
Bukkyo University,Kyoto-shi,http://www.bukkyo-u.ac.jp
Bunka Fashion Graduate University,Shibuya-ku,http://www.bfgu-bunka.ac.jp
Bunka Gakuen University,Tokyo,http://bwu.bunka.ac.jp
Bunkyo Gakuin University,Bunkyo-ku,http://www.u-bunkyo.ac.jp
Bunkyo University,Tokyo,http://www.bunkyo.ac.jp
Bunri University of Hospitality,Saitama-shi,http://www.bunri-c.ac.jp/univ
Bunsei University of Art,Utsunomiya-shi,http://www.bunsei.ac.jp
Butsuryo College of Osaka,Sakai,http://www.butsuryo.ac.jp
Chiba Institute of Science,Choshi-shi,http://www.cis.ac.jp
Chiba Institute of Technology,Narashino-shi,http://www.it-chiba.ac.jp
Chiba Keizai University,Chiba-shi,http://www.cku.ac.jp
Chiba Prefectural University Of Health Sciences,Chiba,http://www.pref.chiba.lg.jp/hoidai
Chiba University,Chiba-shi,http://www.chiba-u.ac.jp
Chiba University of Commerce,Ichikawa-shi,http://www.cuc.ac.jp
Chikushi Jogakuen University,Dazaifu-shi,http://www.chikushi.ac.jp
Chitose Institute of Science and Technology,Chitose,http://www.chitose.ac.jp
