institute,city,url
Al-Ahliyya Amman University,Amman,https://www.ammanu.edu.jo
Al-Zaytoonah University of Jordan,Amman,https://www.zuj.edu.jo
American University of Madaba,Amman,https://aum.edu.jo
Applied Science Private University,Amman,https://www.asu.edu.jo
Aqaba University of Technology,Aqaba,http://www.aut.edu.jo
Jadara University,Irbid,http://www.jadara.edu.jo
Philadelphia University,Amman,https://www.philadelphia.edu.jo
Princess Sumaya University for Technology,Amman,https://psut.edu.jo
The Hashemite University,Zarqa,https://hu.edu.jo
University of Petra,Amman,https://www.uop.edu.jo
Yarmouk University,Irbid,http://www.yu.edu.jo
Ajloun National University,Ajloun,https://www.anu.edu.jo
Al Al-Bayt University,Mafraq,http://www.aabu.edu.jo
Al-Balqa Applied University,Al-Salt,http://www.bau.edu.jo
Al-Hussein Bin Talal University,Ma'an,http://www.ahu.edu.jo
Amman Arab University,Amman,https://www.aau.edu.jo
Ammon Applied University College,Amman,http://www.aauc.edu.jo
Arab Open University - Jordan Branch,Amman,http://www.aou.edu.jo
Faculty of Educational Sciences and Arts /UNRWA,Amman,https://fesa-reg.unrwa.org/srswebstudent/
German Jordanian University,Amman,http://www.gju.edu.jo
Irbid National University,Irbid,http://www.inu.edu.jo
Isra University,Amman,http://www.isra.edu.jo
Jerash University,Jerash,http://www.jpu.edu.jo
Jordan Academy of Music,Amman,http://www.jam.edu.jo
Jordan University of Science and Technology,Irbid,http://www.just.edu.jo
Middle East University,Amman,https://www.meu.edu.jo
Mutah University,Mu'tah,http://www.mutah.edu.jo
Tafila Technical University,Tafila,http://www.ttu.edu.jo
The World Islamic Science and Education University,Amman,http://www.wise.edu.jo
University of Jordan,Amman,http://www.ju.edu.jo
Zarqa University,Zarqa,https://www.zu.edu.jo
