institute,city,url
Al-Farabi Kazakh National University,Almaty,https://www.kaznu.kz
D. Serikbayev East Kazakhstan State Technical University,Óskemen,https://www.ektu.kz
Kazakh Abylai Khan University of International Relations and World Languages,Almaty,https://www.ablaikhan.kz
Nazarbayev University,Nur-Sultan,https://nu.edu.kz
A. Myrzakhmetova Kokshetau University,Kokshetau,http://www.kuam.kz
Academician K.I. Satpayev Ekibastuz Engineering and Technical Institute,Ekibastuz,http://eitiekb.kz
Academy of Civil Aviation,Almaty,https://agakaz.kz
Academy of Humanities and Technology,Kokshetau,http://www.gta.kz
Academy of Public Administration under the President of Kazakhstan,Nur-Sultan,https://www.apa.kz
Akmeshit Institute for the Humanities and Technology,Kyzylorda,http://www.akmechit.kz
Almaty Academy of Economics and Statistics,Almaty,http://www.aesa.kz
Almaty Management University,Almaty,https://almau.edu.kz
Almaty Technological University,Almaty,http://www.atu.kz
Almaty University,Almaty,https://almaty-university.kz
Almaty University of Power Engineering and Telecommunications named after Gumarbeka Daukeeva,Almaty,https://www.aues.kz
Astana Medical University,Nur-Sultan,http://www.amu.kz
Astana University,Nur-Sultan,http://www.astanauniver.kz
Atyrau Engineering-Humanitarian Institute,Atyrau,http://www.aigi.kz
Atyrau Institute of Oil and Gas,Atyrau,http://atrmgu.kz
Baishev University,Aktobe,http://www.vuzbaishev.kz
Bolashaq Academy,Karaganda,http://www.kubolashak.kz
Bolashaq University,Kyzylorda,http://www.bolashak-edu.kz
Caspian State University of Technologies and Engineering named after Sh. Yesenov,Aktau,http://www.kguti.kz/
Caspian University,Almaty,http://www.cu.edu.kz
Central Kazakhstan Academy,Karaganda,http://c-k-a.kz
Central-Asian University,Almaty,http://www.cau.kz
E.A. Buketov Karaganda State University,Karaganda,http://www.ksu.kz
Eurasia Technological University,Almaty,http://etu.edu.kz
Eurasian Humanities Institute,Nur-Sultan,http://www.egi.kz
Eurasian Law Academy named after D. A. Kunaev,Almaty,http://kunaev-edu.kz
Finance Academy,Nur-Sultan,https://fin-academy.kz
I. Altynsarin Arkalyk State Pedagogical Institute,Arkalyk,http://www.api.kz
I. Zhansugurov Zhetysu State University,Taldykorgan,http://zhgu.edu.kz/
Innovative University of Eurasia,Pavlodar,http://www.ineu.kz
International Educational Corporation,Almaty,http://www.mok.kz
International Information Technology University,Almaty,http://www.iitu.kz
International University of Humanities and Technology,Shymkent,https://mgtu.kz
K. Zhubanov Aktobe Regional State University,Aktobe,http://arsu.kz
Kainar Academy,Almaty,https://www.kainar-edu.kz
Karaganda Economics University of Kazpotrebsoyuz,Karaganda,http://www.keu.kz
Karaganda Medical University,Karaganda,http://www.qmu.kz/ru
Karaganda State Industrial University,Temirtau,http://www.kgiu.kz
Karaganda State Technical University,Karaganda,http://www.kstu.kz
Kazakh Academy of Labour and Social Relations,Almaty,http://www.atso.kz
Kazakh Academy of Sport and Tourism,Almaty,http://kazast.kz
Kazakh Engineering and Pedagogical University of Friendship of Nations,Shymkent,http://kipudn.kz
Kazakh Humanitarian Juridical Innovative University,Semey,http://www.kazguiu.kz
Kazakh Kurmangazy National Conservatory,Almaty,http://conservatoire.kz
Kazakh National Academy of Choreography,Nur-Sultan,https://balletacademy.kz
Kazakh National Agrarian University,Almaty,http://www.kaznau.kz
Kazakh National Pedagogical University named after Abai,Almaty,http://www.kaznpu.kz
Kazakh National University of Arts,Nur-Sultan,https://kaznua.kz
Kazakh National Women's Teacher Training University,Almaty,http://www.kazmkpu.kz
Kazakh Transport and Communications Academy M. Tynyshpaeva,Almaty,http://www.kazatk.kz
"Kazakh University of Economics, Finance and International Trade",Nur-Sultan,http://www.kuef.kz
Kazakh University of Means of Communication,Almaty,http://kuwc.kz
Kazakh University of Technology and Business,Nur-Sultan,http://www.kazutb.kz
Kazakh-American Free University,Óskemen,http://www.kafu.kz
Kazakh-British Technical University,Almaty,http://www.kbtu.kz
Kazakh-German University,Almaty,http://www.dku.kz
Kazakh-Russian International University,Aktobe,http://www.krmu.kz/
Kazakhstan Engineering-Technological University,Almaty,http://www.kazetu.kz
Kazakhstan Innovative Academy,Semey,http://www.kiu.kz
Kazakhstan University of Innovative and Telecommunication Systems,Oral,http://www.kazuits.kz
Kazakhstan-Russian Medical University,Almaty,http://medkrmu.kz
Kh. Dosmuhamedov Atyrau State University,Atyrau,https://asu.edu.kz
Khoja Akhmet Yassawi International Kazakh-Turkish University,Turkistan,http://ayu.edu.kz
KIMEP University,Almaty,http://www.kimep.kz
Korkyt Ata Kyzylorda State University,Kyzylorda,http://www.korkyt.kz
Kostanay Social Technical University named after Academician Z. Aldamzhar,Kostanay,http://www.kosstu.kz
Kostanay State Pedagogical University named after U. Sultanigazin,Kostanay,http://www.kspi.kz
Kostanay State University named after Akhmet Baitursynov,Kostanay,http://ksu.edu.kz
L.B. Goncharov Kazakh Automobile and Road Academy,Almaty,http://www.kazadi.kz
L.N. Gumilyov Eurasian National University,Nur-Sultan,http://www.enu.kz
M. Auezov Southern Kazakhstan State University,Shymkent,http://www.ukgu.kz
M. Dulatova Kostanay University of Engineering and Economics,Kostanay,http://kineu.kz
M. H. Dulaty Taraz State University,Taraz,http://www.tarsu.kz
M. Narikbayev KAZGUU University,Nur-Sultan,http://kazguu.kz
