institute,city,url
KCA University,Nairobi,https://www.kcau.ac.ke
Kenyatta University,Nairobi,https://www.ku.ac.ke
Management University of Africa,Nairobi,https://www.mua.ac.ke
Moi University,Eldoret,https://www.mu.ac.ke
Strathmore University,Nairobi,https://strathmore.edu
The Catholic University of Eastern Africa,Nairobi,http://www.cuea.edu
University of Nairobi,Nairobi,https://www.uonbi.ac.ke
Adventist University of Africa,Nairobi,http://www.aua.ac.ke
Africa International University,Nairobi,http://www.aiu.ac.ke
Africa Nazarene University,Nairobi,http://www.anu.ac.ke
Chuka University,Chuka,http://chuka.ac.ke
Daystar University,Nairobi,http://www.daystar.ac.ke
Dedan Kimathi University of Technology,Nyeri,http://www.dkut.ac.ke
Egerton University,Njoro,http://www.egerton.ac.ke
Garissa University College,Garissa,http://www.guc.ac.ke
Great Lakes University of Kisumu,Kisumu,http://www.gluk.ac.ke
Jaramogi Oginga Odinga University of Science and Technology,Bondo,http://www.jooust.ac.ke
Jomo Kenyatta University of Agriculture and Technology,Nairobi,http://www.jkuat.ac.ke
Kabarak University,Kabarak,http://www.kabarak.ac.ke
Karatina University,Karatina,https://www.karu.ac.ke
Kenya Highland Evangelical University,Kericho,http://www.kheu.ac.ke
Kenya Methodist University,Meru,http://www.kemu.ac.ke
"Kenyatta University
Machakos University College",Machakos,http://www.machakosuniversity.ac.ke
Kibabii University,Bungoma,http://www.kibabiiuniversity.ac.ke
Kisii University,Kisii,http://www.kisiiuniversity.ac.ke
Laikipia University,Nyahururu,http://www.laikipia.ac.ke
Maasai Mara University,Narok,http://www.mmarau.ac.ke
Maseno University,Maseno,http://www.maseno.ac.ke
Masinde Muliro University of Science and Technology,Kakamega,http://www.mmust.ac.ke
Meru University of Science and Technology,Meru,http://www.must.ac.ke
"Moi University
Rongo University College",Rongo,http://ruc.ac.ke
Mount Kenya University,Thika,http://www.mku.ac.ke
Multimedia University of Kenya,Nairobi,http://www.mmu.ac.ke
Presbyterian University of East Africa,Kikuyu,http://puea.ac.ke
Pwani University,Kilifi,http://www.pu.ac.ke
Riara University,Nairobi,https://riarauniversity.ac.ke
Scott Theological College,Machakos,http://www.scott.ac.ke
South Eastern Kenya University,Kitui,http://www.seku.ac.ke
St Paul's University,Limuru,http://www.spu.ac.ke
Technical University of Mombasa,Mombasa,http://www.tum.ac.ke
"The Catholic University of Eastern Africa
Hekima University College",Nairobi,http://www.hekima.ac.ke
"The Catholic University of Eastern Africa
Marist International University College",Karen,http://miuc.ac.ke
"The Catholic University of Eastern Africa
Regina Pacis University College",Langata,http://rpuc.ac.ke
"The Catholic University of Eastern Africa
Tangaza University College",Nairobi,http://tangaza.org
"The Catholic University of Eastern Africa
Uzima University College",Kisumu,http://www.uzimauniversity.ac.ke
The Pan Africa Christian University,Nairobi,http://www.pacuniversity.ac.ke
The Technical University of Kenya,Nairobi,http://tukenya.ac.ke
United States International University - Africa,Nairobi,https://www.usiu.ac.ke
"University of Eastern Africa, Baraton",Eldoret,http://www.ueab.ac.ke
University of Eldoret,Eldoret,http://www.uoeld.ac.ke
University of Embu,Embu,http://www.embuni.ac.ke
University of Kabianga,Kericho,http://kabianga.ac.ke
