institute,city,url
Cha Gwan Su University,Not-found,Webpage-Not-Found
Chagang University,Kanggye City,Webpage-Not-Found
Chang Chol Gu University,Pyongsong City,Webpage-Not-Found
Changjasan University,Not-found,Webpage-Not-Found
Changsusan University,Haeju City,Webpage-Not-Found
Chinmyong University,Not-found,Webpage-Not-Found
Chong Jun Taek University of Economics,Wonsan City,Webpage-Not-Found
Chongsong University,Hamhung City,Webpage-Not-Found
Chonrigil University,Not-found,Webpage-Not-Found
Choson University of Physical Education,Pyongyang,Webpage-Not-Found
Hambuk University,Chongjin City,Webpage-Not-Found
Huichon University of Technology,Huichon City,Webpage-Not-Found
Inpung University,Kanggye City,Webpage-Not-Found
Jangsun University of Pharmacy,Not-found,Webpage-Not-Found
Kang Gon University,Sariwon City,Webpage-Not-Found
Karimchon University,Hyesan City,Webpage-Not-Found
Kim Chaek University of Technology,Pyongyang,Webpage-Not-Found
Kim Chol Ju University of Education,Pyongyang,Webpage-Not-Found
Kim Hyong Gwon University of Education,Not-found,Webpage-Not-Found
Kim Hyong Jik University of Education,Pyongyang,Webpage-Not-Found
Kim Il Sung University,Pyongyang,Webpage-Not-Found
Kim Je Won University,Haeju City,Webpage-Not-Found
Kim Jong Suk University of Education,Not-found,Webpage-Not-Found
Kim Jong Tae University,Not-found,Webpage-Not-Found
Koryo University of Pharmacy,Hamhung City,Webpage-Not-Found
Kumgang University,Not-found,Webpage-Not-Found
Kumya University,Hamhung City,Webpage-Not-Found
Kwanje University,Sinuiju City,Webpage-Not-Found
Kwanso University,Not-found,Webpage-Not-Found
Kye Ung San University,Sariwon City,Webpage-Not-Found
Kyongsong University,Chongjin City,Webpage-Not-Found
Manpung University,Sinuiju City,Webpage-Not-Found
Myongsin University,Not-found,Webpage-Not-Found
Nampo University,Nampo City,Webpage-Not-Found
Nampo University of Medicine,Nampo City,Webpage-Not-Found
O Jung Hup University,Not-found,Webpage-Not-Found
Ponghwa University,Pyongsong City,Webpage-Not-Found
Pyongyang Nongop University of Agriculture,Pyongyang,Webpage-Not-Found
Pyongyang University of Cinematics,Pyongyang,Webpage-Not-Found
Pyongyang University of Fine Arts,Pyongyang,Webpage-Not-Found
Pyongyang University of Foreign Studies,Pyongyang,Webpage-Not-Found
Pyongyang University of Light Industry,Pyongyang,Webpage-Not-Found
Pyongyang University of Mechanical Engineering,Pyongyang,Webpage-Not-Found
Pyongyang University of Medicine,Pyongyang,Webpage-Not-Found
Pyongyang University of Music and Dance,Pyongyang,Webpage-Not-Found
Pyongyang University of Railways,Pyongyang,Webpage-Not-Found
Pyongyang University of Surgery,Pyongyang,Webpage-Not-Found
Ri Kye Sun University,Not-found,Webpage-Not-Found
Ri Su Bok University,Not-found,Webpage-Not-Found
Ryanggang University,Hyesan City,Webpage-Not-Found
Ryomyong University,Not-found,Webpage-Not-Found
Saenal University,Not-found,Webpage-Not-Found
Sanmgwang University,Nampo,Webpage-Not-Found
Sariwon University,Not-found,Webpage-Not-Found
Sinuiju University of Light Industry,Sinuiju City,Webpage-Not-Found
Sohae University,Nampo City,Webpage-Not-Found
Songdo University,Kaesong,Webpage-Not-Found
Songdowon University,Wonsan City,Webpage-Not-Found
Tonghae University,Wonsan City,Webpage-Not-Found
University of Chemical Industry,Hamhung City,Webpage-Not-Found
University of Coal Mining,Pyongsong City,Webpage-Not-Found
University of Construction and Building Materials,Pyongyang,Webpage-Not-Found
University of Geology,Sariwon City,Webpage-Not-Found
University of Hydraulics and Dynamics,Hamhung City,Webpage-Not-Found
University of Light Industry,Kaesong,Webpage-Not-Found
University of Mining and Metallurgical Engineering,Chongjin City,Webpage-Not-Found
University of National Economics,Pyongyang,Webpage-Not-Found
University of Printing Technology,Pyongyang,Webpage-Not-Found
University of Science,Pyongsong City,Webpage-Not-Found
University of Sea Transport,Rajin City,Webpage-Not-Found
University of Veterinary Medicine and Animal Husbandry,Pyongsong City,Webpage-Not-Found
Wonsan University of Agriculture,Wonsan City,Webpage-Not-Found
