institute,city,url
Dongseo University,Busan,https://www.dongseo.ac.kr/kr/
Academy of Korean Studies,Seongnam-si,http://intl.aks.ac.kr/english/portal.php
Ajou University,Suwon,http://www.ajou.ac.kr
Andong National University,Andong-si,http://www.andong.ac.kr
Anyang University,Anyang-shi,http://www.anyang.ac.kr
Asian Center for Theological Studies and Missions,Yangpyeong-gun,http://www.acts.ac.kr
Baekseok University,Cheonan-si,http://www.bu.ac.kr
Busan Arts College,Busan,https://www.pia.ac.kr
Busan Digital University,Busan,http://uni.bdu.ac.kr
Busan National University of Education,Busan,http://www.bnue.ac.kr
Busan Presbyterian University,"Gimhae-si,",http://www.bpu.ac.kr/Default.aspx#
Busan University of Foreign Studies,Busan,http://www.pufs.ac.kr
Calvin University,Yongin-si,http://www.calvin.ac.kr
Catholic Kwandong University,Gangneung-si,http://www.cku.ac.kr
Catholic University of Daegu,Gyeongsan-si,http://www.cu.ac.kr
Catholic University of Pusan,Pusan,http://www.cup.ac.kr
CHA University,Pocheon-si,http://en-new.cha.ac.kr
Changshin University,Changwon-si,http://eng.cs.ac.kr
Changwon National University,Changwon-si,http://www.changwon.ac.kr
Cheongju National University of Education,Cheongju-si,Webpage-Not-Found
Cheongju University,Cheongju-si,http://www.chongju.ac.kr
Chinju National University of Education,Jinju-si,http://www.cue.ac.kr
Chodang University,Muangun,http://www.chodang.ac.kr
Chonbuk National University,Jeonju-si,http://www.chonbuk.ac.kr
Chongshin University,Seoul,http://www.chongshin.ac.kr
Chonnam National University,Gwangju,http://www.jnu.ac.kr
Chosun University,Gwangju-si,http://www.chosun.ac.kr/eng
Chugye University for the Arts,Seoul,http://www.chugye.ac.kr
Chuncheon National University of Education,Gangwon-do,http://www.cnue.ac.kr/eng/main/main.jsp
Chung-Ang University,Seoul,http://www.cau.ac.kr/english
Chungbuk National University,Cheongju-si,http://www.chungbuk.ac.kr
Chungnam National University,Daejeon,http://www.chungnam.ac.kr
Chungwoon University,Chungnam-do,http://www.chungwoon.ac.kr
Cyber Hankuk University of Foreign Studies,Seoul,http://www.cufs.ac.kr/eng
Daegu Arts University,Chilgok-gun,http://www.dgau.ac.kr
Daegu Cyber University,Gyeongsan-si,http://english.dcu.ac.kr
Daegu Gyeongbuk Institute of Science and Technology,Daegu,http://en.dgist.ac.kr
Daegu Haany University,Gyeongsan-si,http://www.dhu.ac.kr
Daegu Health College,Daegu,http://www.dhc.ac.kr/eng
Daegu National University of Education,Daegu,http://www.dnue.ac.kr
Daegu University,Gyeongsan-si,http://www.daegu.ac.kr
Daehan Theological University,Anyang,http://www.dtu.ac.kr
Daejeon University,Daejeon,http://www.dju.ac.kr
Daejin University,Pocheon-si,http://www.daejin.ac.kr
Daeshin University,Seongcheong-si,http://www.daeshin.ac.kr
Dankook University,Yongin-si,http://www.dankook.ac.kr
Digital Seoul Culture and Arts University,Seoul,http://www.scau.ac.kr
Dong-A University,Pusan,http://www.donga.ac.kr
Dong-Eui University,Pusan,http://www.deu.ac.kr
Dongbang Culture University,Seoul,http://www.dongbang.ac.kr/eng/html/index
Dongduk Women's University,Seoul,http://www.dongduk.ac.kr
Dongguk University,Seoul,http://www.dongguk.edu
"Dongguk University
Dongguk University Gyeongju",Gyeongju-si,http://web.dongguk.ac.kr/english/main/main.jsp
Dongshin University,Naju-si,http://www.dsu.ac.kr
Dongyang University,Yeongju-si,http://www.dyu.ac.kr
Duksung Women's University,Seoul,http://www.duksung.ac.kr
Eulji University,Daejeon,http://www.eulji.ac.kr
Ewha Womans University,Seoul,https://www.ewha.ac.kr
Far East University,Eumseong,http://www.kdu.ac.kr
Gachon University,Incheon-si,http://www.gachon.ac.kr
Gangneung–Wonju National University,Gangneung-si,http://www.gwnu.ac.kr
Geumgang University,Nonsan-si,http://www.geumgang.ac.kr
Gimcheon University,Gimcheon,http://www.gimcheon.ac.kr
Global Cyber University,Seoul,http://eng.global.ac.kr/home/homeIndex.do
Gongju National University of Education,Gongju-si,http://www.gjue.ac.kr
Gwangju Institute of Science and Technology,Gwangju,http://www.gist.ac.kr
Gwangju National University of Education,Gwangju-si,http://www.gnue.ac.kr
Gwangju University,Gwangju-si,http://www.gwangju.ac.kr
Gwangyang Health Sciences University,Gwangyang,http://gy.ac.kr
Gyeongan Theological Graduate University,Andong,http://www.gyeongan.ac.kr
Gyeongin National University of Education,Incheon-si,http://www.ginue.ac.kr
Gyeongju University,Gyeongju-si,http://www.gu.ac.kr
Gyeongnam National University of Science and Technology,Jinju-si,http://www.gntech.ac.kr
Gyeongsang National University,Gyeongnam,http://www.gsnu.ac.kr/english
Halla University,Wonju-si,http://www.halla.ac.kr
Hallym University,Chuncheon-si,http://www.hallym.ac.kr
Hallym University of Graduate Studies,Seoul,http://www.hugs.ac.kr
Hanbat National University,Daejeon,http://www.hanbat.ac.kr
Handong Global University,Pohang-si,http://www.handong.edu
Hanil University and Presbyterian Theological Seminary,Jeonbuk,http://www.hanil.ac.kr/eng
Hankuk University of Foreign Studies,Seoul,http://www.hufs.ac.kr
Hankyong National University,Anseong-si,http://www.hankyong.ac.kr
Hanlyo University,Gwangyang-si,http://www.hanlyo.ac.kr
Hannam University,Daejeon,http://www.hannam.ac.kr
Hansei University,Gunpo-si,http://www.hansei.ac.kr
Hanseo University,Seosan-si,http://www.hanseo.ac.kr
Hanshin University,Osan-si,http://www.hs.ac.kr
Hansung University,Seoul,http://www.hansung.ac.kr
Hanyang Cyber University,Seoul,http://en.hycu.ac.kr
Hanyang University,Seoul,http://www.hanyang.ac.kr
Honam Theological University and Seminary,Gwangju-si,http://www.htus.ac.kr
Honam University,Gwangju-si,http://www.honam.ac.kr
Hongik University,Seoul,https://www.hongik.ac.kr
Hoseo University,Asan-si,http://www.hoseo.ac.kr
Howon University,Gunsan-si,http://www.howon.ac.kr
Hyupsung University,Hwaseong-si,http://www.uhs.ac.kr
Incheon Catholic University,Incheon-si,http://www.iccu.ac.kr
Incheon National University,Incheon-si,http://www.incheon.ac.kr
Inha University,Incheon-si,http://www.inha.ac.kr
Inje University,Gimhae-si,http://www.inje.ac.kr
International Graduate School of English,Seoul,http://www.igse.ac.kr/en
International University of Korea,Jinju-si,http://www.iuk.ac.kr/main/index.php
Jeju International University,Sogwipo-si,http://www.jeju.ac.kr/en/index.htm
Jeju National University,Jeju-si,http://www.jejunu.ac.kr
Jeonju National University of Education,Jeonju-si,http://www.jnue.ac.kr
Jeonju University,Jeonju-si,http://www.jeonju.ac.kr
Jesus University,Jeonju-si,https://www.jesus.ac.kr
Joong-Ang Sangha University,Gunpo-si,http://www.sangha.ac.kr
Joongbu University,Geumsan-gun,http://web.joongbu.ac.kr/eng.do
Jungwon University,Goesan,http://www.jwu.ac.kr
Kangnam University,Yongin-si,http://www.kangnam.ac.kr
Kangwon National University,Chuncheon-si,http://www.kangwon.ac.kr
"Kangwon National University
Kangwon National University, Samcheok Campus",Samcheok-si,http://foreign.kangwon.ac.kr/eng
Kaya University,Goryeong-gun,http://www.kaya.ac.kr
KDI School of Public Policy and Management,Sejong-si,http://www.kdischool.ac.kr
Keimyung University,Daegu,http://www.kmu.ac.kr
KEPCO International Nuclear Graduate School,Ulsan,http://www.kings.ac.kr/eng/main.do
Kkottongnae University,Cheongju-si,http://www.kkot.ac.kr
Kongju National University,Gongju-si,http://www.kongju.ac.kr
Konkuk University,Seoul,http://www.konkuk.ac.kr
"Konkuk University
Chungju Campus",Chungju-si,http://www.kku.ac.kr
Konyang Cyber University,Daejeon,https://www.kycu.ac.kr/eng.do
Konyang University,Nonsan-si,http://www.konyang.ac.kr
Kookmin University,Seoul,http://www.kookmin.ac.kr
Korea Advanced Institute of Science and Technology,Daejeon,http://www.kaist.edu
Korea Aerospace University,Goyang-si,http://www.kau.ac.kr
Korea Baptist Theological University,Daejeon,http://www.kbtus.ac.kr
Korea Christian College,Jecheon,http://kcc.ac.kr
Korea Christian University,Seoul,http://eng.kcu.ac.kr/eng/index.php
Korea Counseling Graduate University,Seoul,http://www.kcgu.ac.kr/english/portal.php
Korea Maritime and Ocean University,Busan,http://www.kmou.ac.kr
Korea National Open University,Seoul,http://www.knou.ac.kr
Korea National Sport University,Seoul,http://www.knsu.ac.kr/web/kor/home
Korea National University of Arts,Seoul,http://eng.karts.ac.kr
Korea National University of Cultural Heritage,Buyeo-gun,https://www.nuch.ac.kr/english/main.do
Korea National University of Education,Cheongju-si,http://www.knue.ac.kr
Korea National University of Transportation,Chungju-si,http://www.ut.ac.kr
Korea Nazarene University,Cheonan-si,http://www.kornu.ac.kr
Korea Polytechnic University,Siheung-si,http://www.kpu.ac.kr
Korea Soongsil Cyber University,Seoul,http://kcu.ac
Korea University,Seoul,http://www.korea.edu
"Korea University
Sejong Campus",Sejong City,https://sejong.korea.ac.kr/mbshome/mbs/eng/index.do
Korea University of International Studies,Seoul,http://www.kuis.ac.kr/eng/index.asp
Korea University of Technology and Education,Cheonan-si,http://www.kut.ac.kr
Korean Bible University,Seoul,http://www.bible.ac.kr
Kosin University,Busan,http://www.kosin.edu
Kukje Theological University and Seminary,Seoul,http://eng.ktu.ac.kr
Kukje University of Arts,Seoul,http://kua.ac.kr
Kumoh National Institute of Technology,Gumi-si,http://www.kumoh.ac.kr
Kunsan National University,Gunsan-si,http://www.kunsan.ac.kr
Kwangju Women’s University,Gwangju-si,http://www.kwu.ac.kr
Kwangshin University,Gwangju-si,http://www.kwangshin.ac.kr
Kwangwoon University,Seoul,http://www.kw.ac.kr
Kyonggi University,Suwon-si,http://www.kyonggi.ac.kr//KyonggiEng.kgu
Kyung Hee Cyber University,Seoul,http://khcu.ac.kr/en/main.jsp
Kyung Hee University,Seoul,http://www.khu.ac.kr
Kyungbuk Foreign Language Techno College,Kyungsangbuk-do,http://www.yflc.ac.kr
Kyungdong University,Goseong-si,http://www.kyungdong.ac.kr
Kyungil University,Gyeongsan-si,http://www.kiu.ac.kr
Kyungnam University,Changwon-si,http://www.kyungnam.ac.kr
Kyungpook National University,Daegu,http://www.knu.ac.kr
Kyungsung University,Busan,http://ks.ac.kr
Kyungwoon University,Gumi-si,http://www.kyungwoon.ac.kr
Luther University,Yongin-si,http://www.ltu.ac.kr
Mokpo Catholic University,Mokpo-si,http://www.mcu.ac.kr
Mokpo National Maritime University,Mokpo-si,http://www.mmu.ac.kr
Mokpo National University,Jeonnam,http://www.mokpo.ac.kr
Mokwon University,Daejeon,http://www.mokwon.ac.kr
Myongji University,Seoul,http://www.mju.ac.kr
Nambu University,Gwangju-si,http://www.nambu.ac.kr
Namseoul University,Cheonan-si,http://www.nsu.ac.kr
Open Cyber University of Korea,Seoul,http://en.ocu.ac.kr
Pai Chai University,Daejeon,http://www.pcu.ac.kr
Pohang University of Science and Technology,Pohang-si,http://www.postech.ac.kr
Presbyterian University and Theological Seminary,Seoul,http://www.puts.ac.kr
Pukyong National University,Pusan,http://www.pknu.ac.kr
Pusan National University,Pusan,http://www.pusan.ac.kr
Pyeongtaek University,Pyongtaek-si,http://www.ptuniv.ac.kr
Sahmyook University,Seoul,http://www.syu.ac.kr
Sangji University,Wonju-si,http://www.sangji.ac.kr
Sangmyung University,Seoul,http://english.smu.ac.kr
"Sangmyung University
Sangmyung University (Cheonan Campus)",Cheonan,http://www.smuc.ac.kr/mbs/eng/index.jsp
Sehan University,Youngam-si,http://www.sehan.ac.kr
Sejong Cyber University,Seoul,http://portal.sjcu.ac.kr/jsp/english/jsp/introduction/01.jsp?p_showmenu=0
Sejong University,Seoul,http://www.sejong.ac.kr
Semyung University,Jecheon-si,http://www.semyung.ac.kr
Seokyeong University,Seoul,http://www.skuniv.ac.kr
Seoul Bible Graduate School of Theology,Seoul,http://www.sb.ac.kr/board/main_eng.php
Seoul Christian University,Seoul,http://www.scu.ac.kr
Seoul Cyber University,Seoul,http://www.iscu.ac.kr
Seoul Digital University,Seoul,http://en.sdu.ac.kr
Seoul Hanyoung University,Seoul,http://www.hytu.ac.kr
Seoul Institute of the Arts,Ansan,https://www.seoularts.ac.kr/mbs/en
Seoul Jangsin University,Gwangju-si,http://www.sjs.ac.kr
Seoul Media Institute of Technology,Seoul,https://www.smit.ac.kr
Seoul National University,Seoul,http://www.useoul.edu
Seoul National University of Education,Seoul,http://www.snue.ac.kr
Seoul National University of Science and Technology,Seoul,http://www.seoultech.ac.kr
Seoul School of Integrated Sciences and Technologies,Seoul,http://www.assist.ac.kr/English
Seoul Social Welfare Graduate University,Seoul,http://www.ssgu.ac.kr
Seoul Theological University,Bucheon-City,https://stueng.stu.ac.kr
Seoul University of Foreign Studies,Seoul,http://www.sufs.ac.kr/sufseng/info/info_01.asp
Seoul Venture University,Seoul,http://www.svu.ac.kr/main/main.php#
Seoul Women's University,Seoul,http://www.swu.ac.kr
Seowon University,Cheongju-si,http://www.seowon.ac.kr
Shinhan University,Uijeongbu-si,http://en.shinhan.ac.kr
Silla University,Pusan,http://www.silla.ac.kr
Sogang University,Seoul,http://www.sogang.ac.kr
Songwon University,Gwangju,http://www.songwon.ac.kr/english
Sookmyung Women's University,Seoul,http://www.sookmyung.ac.kr
Soonchunhyang University,Asan-si,http://www.sch.ac.kr
Soongsil University,Seoul,http://www.ssu.ac.kr
Specialized Korea Polytechnic (Aviation Campus),Sacheon,http://www.kopo.ac.kr/kapc/index.do
Sun Moon University,Asan-si,http://www.sunmoon.ac.kr
Sunchon National University,Suncheon-si,http://www.sunchon.ac.kr
Sungkonghoe University,Seoul,http://www.skhu.ac.kr
Sungkyul University,Anyang-si,http://www.sungkyul.ac.kr
Sungkyunkwan University,Seoul,http://www.skku.edu
Sungsan Hyo University,Incheon-si,http://www.hyo.ac.kr
Sungshin University,Seoul,http://www.sungshin.ac.kr
Tamna University,Seogwipo,Webpage-Not-Found
The Catholic University of Korea,Bucheon,http://www.catholic.ac.kr
The Cyber University of Korea,Seoul,http://eng.cuk.edu
The University of Suwon,Hwaseong-si,http://www.suwon.ac.kr
TLBU Graduate School of Law In Seoul,Goyang-si,http://www.tlbu.ac.kr
Tongmyong University,Busan,http://www.tu.ac.kr
Torch Trinity Graduate University,Seoul,http://www.ttgu.ac.kr/main.do?lang=en
U1 University,Youngdong-si,http://ydueng.u1.ac.kr/html/en/index.html
Uiduk University,Gyeongju-si,http://www.uiduk.ac.kr
Ulsan National Institute of Science and Technology,Ulsan,http://www.unist.ac.kr
University of Brain Education,[Chungcheongnam-si,http://www.ube.ac.kr/home/hmpg/biz/kor/main/HmpgMain.do
University of North Korean Studies,Seoul,http://www.nk.ac.kr/ENG/UNKS_main.aspx
University of Science and Technology,Daejeon,http://www.ust.ac.kr
University of Seoul,Seoul,http://www.uos.ac.kr
University of Ulsan,Ulsan,http://www.ulsan.ac.kr
"Vision University, College of Jeonju",Jeonju-si,http://en.jvision.ac.kr
Wonkwang Digital University,Seoul,http://www.wdu.ac.kr/eng/index.do
Wonkwang University,Iksan,http://www.wonkwang.ac.kr
Woosong University,Daejeon,http://www.wsu.ac.kr
Woosuk University,Wangju-si,http://www.woosuk.ac.kr
Yeungnam University,Gyeongsan-si,http://www.yu.ac.kr
Yewon Arts University,Imsil-si,http://www.yewon.ac.kr
Yonam College,Cheonan-si,http://www.yonam.ac.kr/mbshome/mbs/eng/index.do
Yong In University,Yongin-si,http://www.yongin.ac.kr
Yongmoon Graduate School of Counseling Psychology,Seoul,https://yongmoon.ac.kr
Yonsei University,Seoul,http://yonsei.ac.kr
"Yonsei University
Yonsei University (Wonju Campus)",Wonju,http://www.yonsei.ac.kr/en_wj
Youngnam Theological University and Seminary,Gyeongsan,http://ytus.ac.kr
Youngsan University,Yangsan-si,http://www.ysu.ac.kr
