institute,city,url
American University of Kuwait,Safat,https://www.auk.edu.kw
American University of the Middle East,Egaila,http://www.aum.edu.kw
Arab Open University - Kuwait Branch,Al-Ardiya,http://www.aou.edu.kw
Australian College of Kuwait,Safat,https://www.ack.edu.kw/en
College of Basic Education,Adailiya,https://pprdportal.paaet.edu.kw/colleges/en/collegeofbasiceducation/Pages/default.aspx
College of Health Sciences,Shuwaikh,http://www.paaet.edu.kw/mysite/Default.aspx?tabid=6899&language=en-US
College of Nursing,Shuwaikh,http://www.paaet.edu.kw/mysite/Default.aspx?alias=www.paaet.edu.kw/mysite/nursing-en
College of Technological Studies,Shuwaikh,http://paaetwp.paaet.edu.kw/cts
Gulf University for Science and Technology,Hawally,http://www.gust.edu.kw
Kuwait International Law College,Doha,https://kilaw.edu.kw
Kuwait University,Safat,http://www.kuniv.edu.kw
Kuwait-Maastricht Business School,Dasma,http://www.msm-kuwait.com
