institute,city,url
Adam University,Biškek,https://adam.kg/en
Avicenna International Medical University,Biškek,https://avicenna.edu.kg
S.Tentishev Asian Medical Institute,Kant,https://asmi.edu.kg
Academy of Arts of the Kyrgyz Republic named after the Academic T.Sadykov,Biškek,Webpage-Not-Found
Academy of Management under the President of the Kyrgyz Republic,Biškek,http://www.amp.kg/
American University in Central Asia,Biškek,http://www.auca.kg
Arabaev Kyrgyz State University,Biškek,http://arabaev.kg/
Bishkek Humanities University,Biškek,http://www.bhu.kg
I.K. Akhunbaev Kyrgyz State Medical Academy,Biškek,http://www.kgma.kg/
"International Academy of Management, Law, Finance and Business",Biškek,http://maupfib.kg
International Atatürk Alatoo University,Biškek,http://www.iaau.edu.kg
International Medical University,Biškek,http://www.imu.edu.kg
International University of Kyrgyzstan,Biškek,http://www.iuk.kg
Issyk-Kul State University named after K. Tynystanov,Karakol,Webpage-Not-Found
Jalalabat State University,Jalal-Abad,http://jasu.edu.kg/
Kyrgyz Economics University,Biškek,http://www.keu.edu.kg
Kyrgyz National Agrarian University named after K.I. Skriabin,Biškek,http://www.knau.kg/index.php/ru/
Kyrgyz National University named after Jusup Balasagyn,Biškek,http://www.university.kg/
Kyrgyz State Academy of Physical Education and Sports,Biškek,Webpage-Not-Found
Kyrgyz State Technical University named after I.Razzakov,Biškek,http://www.kstu.kg
"Kyrgyz State University of Construction, Transport and Architecture",Biškek,http://www.ksucta.kg
Kyrgyz-Russian Slavic University named after the First President of Russian Federation B.N. Yeltsin,Biškek,https://www.krsu.edu.kg
Kyrgyz-Uzbek University,Oš,Webpage-Not-Found
Kyrgyzstan-Turkey Manas University,Biškek,http://manas.edu.kg
Naryn State University,Naryn,http://www.nsu.ktnet.kg
OSCE Academy in Bishkek,Biškek,http://osce-academy.net
Osh State University,Oš,http://www.oshsu.kg/
Osh Technological University named after M.M. Adyshev,Oš,http://www.oshtu.kg
Talas State University,Talas,http://www.tsu.kg/
