institute,city,url
Bankeun Teacher Training College,Thoulakhom District,Webpage-Not-Found
Champasack University,Champasack,http://www.cu.edu.la
Combiz College,Paksanh District,Webpage-Not-Found
Comcenter College,Vientiane,http://www.comcenterblog.com/
Lao-American College,Vientiane,http://www.lac.edu.la/
National University of Laos,Vientiane,http://www.nuol.edu.la/
Rattana Institute of Business Administration,Vientiane Capital,http://www.rbac.info
Savan Institute of Management,Khanthaboury District,http://www.sim.edu.la
Savannakhet Teacher Training College,Khantabouly District,Webpage-Not-Found
Sengsavanh College,Vientiane,http://www.sbc.laopdr.com/
Souphanouvong University,Luang Prabang City,Webpage-Not-Found
Soutsaka College of Management and Technology,Vientiane,http://www.scmt.edu.la
University of Health Sciences of Lao PDR,Ventiane,Webpage-Not-Found
