institute,city,url
Art Academy of Latvia,Riga,http://www.lma.lv
BA School of Business and Finance,Rīga,http://www.ba.lv
Baltic International Academy,Rīga,http://bsa.edu.lv
Daugavpils University,Daugavpils,http://www.du.lv
EKA University of Applied Sciences,Rīga,www.augstskola.lv
ISMA University,Rīga,http://www.isma.lv
Jāzeps Vītols Latvian Academy of Music,Rīga,http://www.jvlma.lv
Latvia University of Life Sciences and Technologies,Jelgava,http://www.llu.lv
Latvian Academy of Culture,Rīga,http://www.lka.edu.lv
Latvian Academy of Sport Education,Rīga,http://www.lspa.lv
Latvian Christian Academy,Jūrmala,http://www.kra.lv
Latvian Maritime Academy,Rīga,http://www.latja.lv
Liepaja University,Liepāja,http://www.liepu.lv
National Defence Academy of Latvia,Rīga,http://www.aic.lv/rec/HE_2002/HE_LV/Progr/STATE/naa.htm
Rezekne Higher Education Institution,Rēzekne,http://www.ru.lv
Riga Aeronautical Institute,Rīga,http://www.rai.lv
Riga Graduate School of Law,Rīga,http://www.rgsl.edu.lv
Riga Stradiņš University,Rīga,http://www.rsu.lv
Riga Technical University,Rīga,http://www.rtu.lv
RISEBA University of Applied Sciences,Rīga,https://www.riseba.lv
Stockholm School of Economics in Riga,Rīga,http://www.sseriga.edu
Transport and Telecommunication Institute,Rīga,http://www.tsi.lv
Turība University,Riga,http://www.turiba.lv
University of Latvia,Riga,https://www.lu.lv
Ventspils University College,Ventspils,http://www.venta.lv
Vidzeme University of Applied Sciences,Valmiera,http://www.va.lv
