institute,city,url
American University of Beirut,Beirut,https://www.aub.edu.lb
Antonine University,Hadat-Baabda,https://ua.edu.lb
Beirut Arab University,Beirut,https://www.bau.edu.lb
Holy Spirit University of Kaslik,Jounieh,https://www.usek.edu.lb
Islamic University of Lebanon,Khaldeh,https://www.iul.edu.lb
Notre Dame University-Louaizé,Zouk Mosbeh,https://www.ndu.edu.lb
Saint-Joseph University of Beirut,Beirut,https://www.usj.edu.lb
University of Balamand,Tripoli,http://www.balamand.edu.lb
Academic University College for Non-Violence and Human Rights,Beirut,https://www.aunohr.edu.lb
American University of Culture and Education,Beirut,https://auce.edu.lb
American University of Science and Technology,Beirut,http://www.aust.edu.lb
American University of Technology,Halat-Fidar,http://aut.edu
Arab Open University - Lebanon Branch,Beirut,http://www.aou.edu.lb
"Arts, Science and Technology University in Lebanon",Beirut,http://www.aul.edu.lb
Beirut Islamic University,Beirut,http://www.biu.edu.lb
City University,Tripoli,https://cityu.edu.lb
ESA Business School,Beirut,http://www.esa.edu.lb
Global University,Beirut,http://www.gu.edu.lb
Haigazian University,Beirut,http://www.haigazian.edu.lb
Holy Family University - Batroon,Batroon,http://www.usf.edu.lb
International University of Beirut,Beirut,http://b-iu.edu.lb
Jinan University,Tripoli,http://www.jinan.edu.lb
Lebanese American University,Beirut,http://www.lau.edu.lb
Lebanese Canadian University,Aintoura,https://www.lcu.edu.lb
Lebanese German University,Jounieh,http://www.lgu.edu.lb
Lebanese International University,Beirut,http://www.liu.edu.lb
Lebanese Red Cross University Institute for Nursing Sciences,Baabda,Webpage-Not-Found
Lebanese University,Beirut,http://www.ul.edu.lb
Lebanese-French University of Technology and Applied Sciences,Beyrouth,http://www.ulf.edu.lb
Makassed University of Beirut,Beirut,https://www.makassed.org/en_us/university
Middle East University,Metn,http://www.meu.edu.lb
Modern University for Business and Science,Damour,http://www.mubs.edu.lb
Phoenicia University,Beirut,https://pu.edu.lb
Rafik Hariri University,Mechref,https://www.rhu.edu.lb
Sagesse University,Beirut,http://www.uls.edu.lb
Saint Paul Institute for Philosophy and Theology,Harissa via Jounieh,Webpage-Not-Found
University of Sciences and Arts in Lebanon,Ghobeiry,http://www.usal.edu.lb
University of Tripoli Lebanon,Tripoli,http://www.ut.edu.lb
