institute,city,url
Attahadi Medical Al-Ahlia University,Tripoli,https://www.attahadi.edu.ly
Academy of Graduate Studies,Tripoli,http://www.alacademia.edu.ly
Al Zawiya University,Al-Zawia,http://zu.edu.ly
Al-Arab Medical University,Benghazi,Webpage-Not-Found
Al-Jabal Al Gharbi University,Gharian,http://jgu.edu.ly
Alrefak University,Tripoli,https://www.alrefak.edu.ly
Asmarya University for the Islamic Sciences,Zliten,http://www.asmarya.edu.ly
Higher Institute of Computer Technology,Tripoli,http://www.cctt.edu.ly
Libyan International Medical University,Benghazi,http://limu.edu.ly/ar
Misurata University,Misurata,http://www.misuratau.edu.ly
Omar-Al-Mukhtar University,El-Beida,http://www.omu.edu.ly
Sebha University,Sebha,http://www.sebhau.edu.ly
The Higher Institute of Industry,Misurata,http://www.hii.edu.ly
The Open University,Tripoli,http://www.libopenuniv-edu.org/
University of Benghazi,Benghazi,http://uob.edu.ly
University of Sirte,Sirte,http://su.edu.ly
University of Tripoli,Tripoli,http://uot.edu.ly
