institute,city,url
Mykolas Romeris University,Vilnius,https://www.mruni.eu
Vilnius University,Vilnius,https://www.vu.lt
European Humanities University,Vilnius,http://www.ehu.lt
ISM University of Management and Economics,Vilnius,http://www.ism.lt
Kaunas University of Technology,Kaunas,http://www.ktu.lt
Kazimieras Simonavičius University,Vilnius,http://www.ksu.lt
Klaipėda University,Klaipėda,http://www.ku.lt
LCC International University,Klaipėda,http://www.lcc.lt
Lithuanian Academy of Music and Theatre,Vilnius,http://www.lmta.lt
Lithuanian Sports University,Kaunas,http://www.lsu.lt
Lithuanian University of Health Sciences,Kaunas,http://www.lsmuni.lt
Šiauliai University,Šiauliai,http://www.su.lt
Vilnius Academy of Arts,Vilnius,http://www.vda.lt
Vilnius Gediminas Technical University,Vilnius,http://www.vgtu.lt
"Vilnius University
International Business School at Vilnius University",Vilnius,https://www.vm.vu.lt/en
Vytautas Magnus University,Kaunas,http://www.vdu.lt
"Vytautas Magnus University
Vytautas Magnus University Education Academy",Kaunas,https://svietimas.vdu.lt
"Vytautas Magnus University
Vytautas Magnus University Agriculture Academy",Kaunas,https://zua.vdu.lt
