institute,city,url
ACEEM University,Antananarivo,http://universiteaceem.com
Athénée Saint Joseph Antsirabe,Antsirabe,http://www.univ-asja.net/asja
Catholic University of Madagascar,Antananarivo,http://www.ucm.mg
EEFPS Condorcet,Antananarivo,Webpage-Not-Found
"Engineering School of Tourism, Informatics, Interpretership and Management",Antananarivo,http://www.estiim.net
EUROI,Antananarivo,http://euroi.mg
FFFMM IMD Fianarantsoa,Fianarantsoa,http://malagasymahomby.org
Gate University,Ambohidratrimo,http://www.gateuniversity-madagascar.com
Hay Soa Private University,Antananarivo,Webpage-Not-Found
Higher Christian Studies in Management and Applied Mathematics,Antananarivo,Webpage-Not-Found
"Higher Institute of Communication, Business and Management",Antananarivo,http://www.iscam.mg
Higher Institute of Computer Science IS-INFO,Antananarivo,http://www.is-info.net
Higher Institute of Electronic and Computer Engineering,Antananarivo,Webpage-Not-Found
Higher Institute of Technology of Antsiranana,Antsiranana,http://www.ist-antsiranana.mg
"Higher Institute of Technology, Antananarivo",Antananarivo,http://www.ist-tana.mg
IMAGE APPLI Institute,Antananarivo,Webpage-Not-Found
IMGAM,Antananarivo,http://imgam.mg
Institute of Computer Engineering and Management,Antananarivo,Webpage-Not-Found
"Institute of Geology, Engineering and Environment of Madagascar",Antananarivo,http://www.isgie.com
Institute of Management and Tourism,Antananarivo,www.institut-imt.com
Institute of Social Work,Antananarivo,Webpage-Not-Found
Institute of Technical Studies,Antananarivo,Webpage-Not-Found
"Institute of Technical Technology, Living and Interdisciplinary Arts of Madagascar",Antananarivo,Webpage-Not-Found
ISM ADVANCEA,Antananarivo,Webpage-Not-Found
Madagascar Institute of Political Studies,Antananarivo,http://www.iep-madagascar.com
National Center for Distance Education of Madagascar,Antananarivo,http://www.cntemad.mg
National Institute of Accountancy and Business Administration,Antananarivo,http://www.inscae.mg
National Institute of Nuclear Sciences and Techniques,Antananarivo,http://www.instn.mg
National Institute of Public and Community Health,Antananarivo,Webpage-Not-Found
Polytechnical Institute of Madagascar,Antananarivo,http://ispm-edu.com
"School of Accountancy, Administration and Management",Antananarivo,Webpage-Not-Found
School of Computer Science and Business Administration,Mahajanga,http://www.esige-majunga.org
School of Information and Communication Studies - SAMIS-ESIC,Antananarivo,http://www.samis-esic.mg
School of Information Technolgy,Antananarivo,http://esti.mg
School of Sacred Heart Antanimena,Antananarivo,http://www.essca.mg
School of Technology,Antananarivo,Webpage-Not-Found
University of Antananarivo,Antananarivo,http://www.univ-antananarivo.mg
"University of Antananarivo
Geophysical Institute and Observatory of Antananarivo",Antananarivo,http://www.ioga.mg
"University of Antananarivo
Institute of Energy Studies",Antananarivo,http://www.univ-antananarivo.mg/Institut-pour-la-Maitrise-de-l-Energie
"University of Antananarivo
Radio-Isotopes Laboratory",Antananarivo,http://www.laboradioisotopes.mg
University of Antsiranana,Antsiranana,http://www.univ-antsiranana.edu.mg
"University of Antsiranana
Teacher Training College for Technical Studies",Antsiranana,http://www.univ-antsiranana.edu.mg/enset
"University of Antsiranana
Higher Polytechnic School",Antsiranana,http://www.univ-antsiranana.edu.mg/polytechnique/lecole-superieure-polytechnique
University of Fianarantsoa,Fianarantsoa,http://www.univ-fianar.mg
"University of Fianarantsoa
National School of Computer Science",Fianarantsoa,http://www.univ-fianar.mg
"University of Fianarantsoa
Higher Pedagogical School",Fianarantsoa,Webpage-Not-Found
"University of Fianarantsoa
Institute of Environmental Techniques and Sciences",Fianarantsoa,Webpage-Not-Found
University of Mahajanga,Mahajanga,http://www.univ-mahajanga.mg
"University of Mahajanga
Institute of Tropical Dentistry",Mahajanga,Webpage-Not-Found
University of Toamasina,Toamasina,http://www.univ-toamasina.mg
University of Toliara,Toliara,http://www.univ-toliara.mg
"University of Toliara
Institute of Marine Science",Toliara,http://www.ihsm.mg
Vocational Institute of Madagascar,Antananarivo,http://is2m-madagascar.com
